1,中里 優子,中里 優子.1,2,北村 寧々,北村 寧々.1,3,松本 怜,松本 怜.1,4,松尾 怜実,松尾 怜実.1,5,水野 望美,水野 望美.1,6,奥村　明日香,奥村　明日香.1
2.0,3.0,10.2,1.0,3.0,40.0,1.0,2.0,76.1,1.0,2.0,162.4,1.0,2.0,63.9,1.0,2.0,1046.0
2.0,4.0,13.9,1.0,4.0,45.2,1.0,4.0,75.3,1.0,3.0,224.1,1.0,3.0,83.5,1.0,3.0,1296.0
2.0,5.0,8.5,1.0,5.0,32.6,1.0,5.0,53.5,1.0,5.0,130.8,1.0,4.0,104.7,1.0,4.0,1465.0
2.0,6.0,61.2,1.0,6.0,148.0,1.0,6.0,205.4,1.0,6.0,351.0,1.0,6.0,172.1,1.0,5.0,956.9
3.0,2.0,14.5,3.0,1.0,69.0,2.0,1.0,107.3,2.0,1.0,229.2,2.0,1.0,111.3,2.0,1.0,1438.0
3.0,4.0,19.8,3.0,4.0,73.8,2.0,4.0,110.3,2.0,3.0,276.9,2.0,3.0,216.7,2.0,3.0,2093.0
3.0,5.0,13.6,3.0,5.0,62.9,2.0,5.0,91.3,2.0,5.0,257.6,2.0,4.0,246.6,2.0,4.0,1846.0
3.0,6.0,62.3,3.0,6.0,210.6,2.0,6.0,264.0,2.0,6.0,389.0,2.0,6.0,276.9,2.0,5.0,1918.0
4.0,2.0,26.7,4.0,1.0,104.3,4.0,1.0,154.5,3.0,1.0,349.1,3.0,1.0,169.4,3.0,1.0,1571.0
4.0,3.0,34.7,4.0,3.0,127.6,4.0,2.0,168.1,3.0,2.0,327.2,3.0,2.0,266.4,3.0,2.0,2138.0
4.0,5.0,28.0,4.0,5.0,107.6,4.0,5.0,151.7,3.0,5.0,401.8,3.0,4.0,366.8,3.0,4.0,2138.0
4.0,6.0,88.9,4.0,6.0,281.1,4.0,6.0,352.9,3.0,6.0,830.9,3.0,6.0,689.0,3.0,5.0,2815.0
5.0,2.0,13.5,5.0,1.0,67.4,5.0,1.0,103.9,5.0,1.0,174.3,4.0,1.0,187.2,4.0,1.0,1937.0
5.0,3.0,19.8,5.0,3.0,108.6,5.0,2.0,150.0,5.0,2.0,238.6,4.0,2.0,286.3,4.0,2.0,2186.0
5.0,4.0,27.2,5.0,4.0,128.7,5.0,4.0,172.0,5.0,3.0,363.0,4.0,3.0,427.2,4.0,3.0,2877.0
5.0,6.0,58.9,5.0,6.0,244.1,5.0,6.0,368.8,5.0,6.0,441.2,4.0,6.0,486.2,4.0,5.0,3010.0
6.0,2.0,208.1,6.0,1.0,536.1,6.0,1.0,604.0,6.0,1.0,856.4,6.0,1.0,425.8,5.0,1.0,1597.0
6.0,3.0,214.6,6.0,3.0,697.6,6.0,2.0,920.9,6.0,2.0,1063.0,6.0,2.0,607.7,5.0,2.0,1976.0
6.0,4.0,237.2,6.0,4.0,745.5,6.0,4.0,998.4,6.0,3.0,1258.0,6.0,3.0,899.7,5.0,3.0,2680.0
6.0,5.0,183.4,6.0,5.0,633.3,6.0,5.0,988.3,6.0,5.0,973.6,6.0,4.0,820.5,5.0,4.0,2756.0
