1,竹下 大樹,竹下 大樹.1,2,篠原 飛翔,篠原 飛翔.1,3,大江 純,大江 純.1,4,山下 大輝,山下 大輝.1,5,佐藤 航,佐藤 航.1,6,大原 祥昌,大原 祥昌.1
2.0,3.0,19.7,1.0,3.0,159.9,1.0,2.0,333.3,1.0,2.0,54.8,1.0,2.0,54.8,1.0,2.0,700.0
2.0,4.0,11.3,1.0,4.0,56.3,1.0,4.0,249.9,1.0,3.0,137.7,1.0,3.0,127.2,1.0,3.0,1241.0
2.0,5.0,12.4,1.0,5.0,59.6,1.0,5.0,260.0,1.0,5.0,31.0,1.0,4.0,37.5,1.0,4.0,595.2
2.0,6.0,40.9,1.0,6.0,218.1,1.0,6.0,533.1,1.0,6.0,71.2,1.0,6.0,77.7,1.0,5.0,625.0
3.0,2.0,30.1,3.0,1.0,405.9,2.0,1.0,546.7,2.0,1.0,98.1,2.0,1.0,111.3,2.0,1.0,1007.0
3.0,4.0,31.3,3.0,4.0,419.2,2.0,4.0,558.9,2.0,3.0,293.1,2.0,3.0,355.2,2.0,3.0,1857.0
3.0,5.0,33.1,3.0,5.0,513.6,2.0,5.0,687.1,2.0,5.0,94.9,2.0,4.0,108.0,2.0,4.0,956.2
3.0,6.0,81.7,3.0,6.0,1019.0,2.0,6.0,1045.0,2.0,6.0,181.1,2.0,6.0,221.6,2.0,5.0,1062.0
4.0,2.0,14.6,4.0,1.0,126.2,4.0,1.0,386.7,3.0,1.0,295.4,3.0,1.0,309.7,3.0,1.0,1945.0
4.0,3.0,31.9,4.0,3.0,331.1,4.0,2.0,544.7,3.0,2.0,434.6,3.0,2.0,477.5,3.0,2.0,2269.0
4.0,5.0,13.1,4.0,5.0,133.1,4.0,5.0,464.2,3.0,5.0,354.7,3.0,4.0,448.0,3.0,4.0,2042.0
4.0,6.0,43.2,4.0,6.0,329.4,4.0,6.0,787.0,3.0,6.0,544.0,3.0,6.0,626.7,3.0,5.0,1979.0
5.0,2.0,15.3,5.0,1.0,133.8,5.0,1.0,386.0,5.0,1.0,28.2,4.0,1.0,35.6,4.0,1.0,616.4
5.0,3.0,31.8,5.0,3.0,393.8,5.0,2.0,647.5,5.0,2.0,51.7,4.0,2.0,63.7,4.0,2.0,776.1
5.0,4.0,16.3,5.0,4.0,135.0,5.0,4.0,526.8,5.0,3.0,150.3,4.0,3.0,176.3,4.0,3.0,1435.0
5.0,6.0,40.2,5.0,6.0,344.6,5.0,6.0,888.1,5.0,6.0,41.5,4.0,6.0,49.8,4.0,5.0,359.8
6.0,2.0,111.7,6.0,1.0,604.0,6.0,1.0,1211.0,6.0,1.0,130.5,6.0,1.0,171.0,5.0,1.0,655.1
6.0,3.0,200.0,6.0,3.0,1221.0,6.0,2.0,1408.0,6.0,2.0,194.8,6.0,2.0,271.0,5.0,2.0,882.9
6.0,4.0,127.2,6.0,4.0,670.7,6.0,4.0,1378.0,6.0,3.0,406.7,6.0,3.0,542.1,5.0,3.0,1422.0
6.0,5.0,122.4,6.0,5.0,666.7,6.0,5.0,1366.0,6.0,5.0,104.5,6.0,4.0,139.2,5.0,4.0,362.7
