1,岩崎 正哉,岩崎 正哉.1,2,中島 真二,中島 真二.1,3,水摩 敦,水摩 敦.1,4,渡邉 優美,渡邉 優美.1,5,竹井 貴史,竹井 貴史.1,6,小川 広大,小川 広大.1
2.0,3.0,26.7,1.0,3.0,154.0,1.0,2.0,104.4,1.0,2.0,74.1,1.0,2.0,115.6,1.0,2.0,3024.0
2.0,4.0,20.4,1.0,4.0,114.2,1.0,4.0,37.8,1.0,3.0,41.3,1.0,3.0,65.7,1.0,3.0,3154.0
2.0,5.0,28.7,1.0,5.0,153.2,1.0,5.0,41.4,1.0,5.0,26.7,1.0,4.0,55.9,1.0,4.0,2222.0
2.0,6.0,165.0,1.0,6.0,539.3,1.0,6.0,277.3,1.0,6.0,161.8,1.0,6.0,200.8,1.0,5.0,2507.0
3.0,2.0,24.7,3.0,1.0,341.1,2.0,1.0,280.5,2.0,1.0,181.9,2.0,1.0,270.1,2.0,1.0,4019.0
3.0,4.0,9.3,3.0,4.0,378.1,2.0,4.0,255.5,2.0,3.0,311.8,2.0,3.0,441.8,2.0,3.0,3964.0
3.0,5.0,11.9,3.0,5.0,464.2,2.0,5.0,293.9,2.0,5.0,194.3,2.0,4.0,322.0,2.0,4.0,2794.0
3.0,6.0,136.6,3.0,6.0,1155.0,2.0,6.0,838.3,2.0,6.0,569.7,2.0,6.0,748.4,2.0,5.0,4191.0
4.0,2.0,19.5,4.0,1.0,187.7,4.0,1.0,62.8,3.0,1.0,65.3,3.0,1.0,106.1,3.0,1.0,3056.0
4.0,3.0,11.2,4.0,3.0,395.9,4.0,2.0,175.5,3.0,2.0,221.6,3.0,2.0,299.0,3.0,2.0,3154.0
4.0,5.0,10.5,4.0,5.0,293.1,4.0,5.0,49.6,3.0,5.0,51.1,3.0,4.0,104.3,3.0,4.0,2551.0
4.0,6.0,117.2,4.0,6.0,1004.0,4.0,6.0,271.4,3.0,6.0,304.6,3.0,6.0,390.6,3.0,5.0,3260.0
5.0,2.0,33.7,5.0,1.0,369.5,5.0,1.0,83.1,5.0,1.0,30.7,4.0,1.0,56.9,4.0,1.0,2529.0
5.0,3.0,18.7,5.0,3.0,568.6,5.0,2.0,222.1,5.0,2.0,98.9,4.0,2.0,169.7,4.0,2.0,2716.0
5.0,4.0,17.4,5.0,4.0,463.5,5.0,4.0,75.0,5.0,3.0,49.6,4.0,3.0,86.8,4.0,3.0,3372.0
5.0,6.0,113.5,5.0,6.0,1078.0,5.0,6.0,339.9,5.0,6.0,97.3,4.0,6.0,173.3,4.0,5.0,1880.0
6.0,2.0,396.4,6.0,1.0,1917.0,6.0,1.0,1086.0,6.0,1.0,477.0,6.0,1.0,540.3,5.0,1.0,2292.0
6.0,3.0,529.6,6.0,3.0,2619.0,6.0,2.0,1377.0,6.0,2.0,870.6,6.0,2.0,908.3,5.0,2.0,2742.0
6.0,4.0,441.2,6.0,4.0,2310.0,6.0,4.0,974.7,6.0,3.0,786.6,6.0,3.0,831.1,5.0,3.0,2934.0
6.0,5.0,484.9,6.0,5.0,2189.0,6.0,5.0,1090.0,6.0,5.0,382.5,6.0,4.0,557.8,5.0,4.0,1639.0
