1,中川 りな,中川 りな.1,2,鈴木 賢一,鈴木 賢一.1,3,伊藤 誠二,伊藤 誠二.1,4,小川　日紀太,小川　日紀太.1,5,菊池 峰晴,菊池 峰晴.1,6,益田 啓司,益田 啓司.1
2.0,3.0,15.2,1.0,3.0,43.2,1.0,2.0,51.5,1.0,2.0,370.1,1.0,2.0,320.3,1.0,2.0,172.4
2.0,4.0,58.9,1.0,4.0,131.4,1.0,4.0,75.7,1.0,3.0,369.0,1.0,3.0,203.8,1.0,3.0,80.4
2.0,5.0,29.1,1.0,5.0,66.6,1.0,5.0,30.6,1.0,5.0,383.2,1.0,4.0,567.6,1.0,4.0,357.5
2.0,6.0,26.0,1.0,6.0,62.8,1.0,6.0,20.9,1.0,6.0,268.1,1.0,6.0,176.4,1.0,5.0,163.7
3.0,2.0,15.3,3.0,1.0,79.2,2.0,1.0,86.7,2.0,1.0,507.5,2.0,1.0,506.8,2.0,1.0,290.1
3.0,4.0,34.0,3.0,4.0,175.7,2.0,4.0,165.4,2.0,3.0,547.9,2.0,3.0,381.6,2.0,3.0,193.3
3.0,5.0,14.1,3.0,5.0,74.3,2.0,5.0,67.9,2.0,5.0,486.0,2.0,4.0,1103.0,2.0,4.0,562.6
3.0,6.0,9.8,3.0,6.0,58.8,2.0,6.0,49.3,2.0,6.0,380.9,2.0,6.0,371.9,2.0,5.0,280.0
4.0,2.0,105.9,4.0,1.0,347.0,4.0,1.0,139.9,3.0,1.0,384.4,3.0,1.0,216.7,3.0,1.0,91.1
4.0,3.0,87.3,4.0,3.0,313.9,4.0,2.0,191.4,3.0,2.0,505.5,3.0,2.0,278.6,3.0,2.0,151.8
4.0,5.0,137.0,4.0,5.0,370.8,4.0,5.0,130.0,3.0,5.0,407.1,3.0,4.0,515.1,3.0,4.0,233.4
4.0,6.0,89.1,4.0,6.0,264.2,4.0,6.0,84.3,3.0,6.0,257.0,3.0,6.0,126.6,3.0,5.0,86.9
5.0,2.0,66.8,5.0,1.0,207.4,5.0,1.0,68.8,5.0,1.0,511.6,4.0,1.0,901.5,4.0,1.0,582.5
5.0,3.0,46.1,5.0,3.0,171.4,5.0,2.0,104.9,5.0,2.0,653.9,4.0,2.0,1088.0,4.0,2.0,678.5
5.0,4.0,156.9,5.0,4.0,530.3,5.0,4.0,153.9,5.0,3.0,599.1,4.0,3.0,785.5,4.0,3.0,415.6
5.0,6.0,47.7,5.0,6.0,168.8,5.0,6.0,36.9,5.0,6.0,327.5,4.0,6.0,597.2,4.0,5.0,522.9
6.0,2.0,56.3,6.0,1.0,142.6,6.0,1.0,32.5,6.0,1.0,426.3,6.0,1.0,227.2,5.0,1.0,240.2
6.0,3.0,27.5,6.0,3.0,100.0,6.0,2.0,57.7,6.0,2.0,512.3,6.0,2.0,320.8,5.0,2.0,367.9
6.0,4.0,113.1,6.0,4.0,309.5,6.0,4.0,84.9,6.0,3.0,293.0,6.0,3.0,136.3,5.0,3.0,151.1
6.0,5.0,55.2,6.0,5.0,149.0,6.0,5.0,30.9,6.0,5.0,327.2,6.0,4.0,498.8,5.0,4.0,486.0
