1,末永 由楽,末永 由楽.1,2,中尾 優香,中尾 優香.1,3,青木　幸太郎,青木　幸太郎.1,4,西山 貴浩,西山 貴浩.1,5,乙藤 智史,乙藤 智史.1,6,仲本 舜,仲本 舜.1
2.0,3.0,70.7,1.0,3.0,637.5,1.0,2.0,268.3,1.0,2.0,66.6,1.0,2.0,370.0,1.0,2.0,3690.0
2.0,4.0,46.6,1.0,4.0,428.3,1.0,4.0,31.4,1.0,3.0,16.2,1.0,3.0,134.9,1.0,3.0,2907.0
2.0,5.0,104.4,1.0,5.0,876.2,1.0,5.0,55.8,1.0,5.0,12.6,1.0,4.0,75.4,1.0,4.0,1853.0
2.0,6.0,492.0,1.0,6.0,2413.0,1.0,6.0,435.6,1.0,6.0,109.0,1.0,6.0,424.0,1.0,5.0,3145.0
3.0,2.0,62.2,3.0,1.0,957.0,2.0,1.0,674.4,2.0,1.0,228.5,2.0,1.0,1051.0,2.0,1.0,5405.0
3.0,4.0,7.4,3.0,4.0,1028.0,2.0,4.0,709.3,2.0,3.0,384.9,2.0,3.0,1318.0,2.0,3.0,5728.0
3.0,5.0,16.8,3.0,5.0,1360.0,2.0,5.0,862.4,2.0,5.0,295.4,2.0,4.0,1109.0,2.0,4.0,5996.0
3.0,6.0,221.8,3.0,6.0,3426.0,2.0,6.0,2541.0,2.0,6.0,792.9,2.0,6.0,2665.0,2.0,5.0,5728.0
4.0,2.0,27.5,4.0,1.0,599.6,4.0,1.0,37.9,3.0,1.0,34.4,3.0,1.0,204.7,3.0,1.0,4039.0
4.0,3.0,6.1,4.0,3.0,903.0,4.0,2.0,291.1,3.0,2.0,220.9,3.0,2.0,896.6,3.0,2.0,6091.0
4.0,5.0,6.4,4.0,5.0,862.4,4.0,5.0,48.1,3.0,5.0,42.2,3.0,4.0,197.0,3.0,4.0,3655.0
4.0,6.0,73.3,4.0,6.0,1948.0,4.0,6.0,341.7,3.0,6.0,295.4,3.0,6.0,961.8,3.0,5.0,3997.0
5.0,2.0,88.3,5.0,1.0,1380.0,5.0,1.0,108.7,5.0,1.0,17.9,4.0,1.0,74.6,4.0,1.0,2085.0
5.0,3.0,26.3,5.0,3.0,1510.0,5.0,2.0,592.2,5.0,2.0,100.3,4.0,2.0,394.4,4.0,2.0,5257.0
5.0,4.0,17.4,5.0,4.0,1279.0,5.0,4.0,100.1,5.0,3.0,33.1,4.0,3.0,128.3,4.0,3.0,3308.0
5.0,6.0,233.7,5.0,6.0,3620.0,5.0,6.0,731.0,5.0,6.0,69.9,4.0,6.0,228.9,4.0,5.0,1296.0
6.0,2.0,1040.0,6.0,1.0,2998.0,6.0,1.0,1785.0,6.0,1.0,271.9,6.0,1.0,1087.0,5.0,1.0,3308.0
6.0,3.0,952.3,6.0,3.0,4797.0,6.0,2.0,3655.0,6.0,2.0,907.2,6.0,2.0,2340.0,5.0,2.0,5561.0
6.0,4.0,490.7,6.0,4.0,4312.0,6.0,4.0,1547.0,6.0,3.0,631.2,6.0,3.0,1566.0,5.0,3.0,3620.0
6.0,5.0,888.3,6.0,5.0,4515.0,6.0,5.0,1909.0,6.0,5.0,275.7,6.0,4.0,680.4,5.0,4.0,1318.0
