1,石塚 裕介,石塚 裕介.1,2,松尾 祭,松尾 祭.1,3,橋口 真樹,橋口 真樹.1,4,永田 啓二,永田 啓二.1,5,森安 弘雅,森安 弘雅.1,6,戸敷 晃美,戸敷 晃美.1
2.0,3.0,47.6,1.0,3.0,129.0,1.0,2.0,436.1,1.0,2.0,15.3,1.0,2.0,250.8,1.0,2.0,532.7
2.0,4.0,11.0,1.0,4.0,35.5,1.0,4.0,300.2,1.0,3.0,48.7,1.0,3.0,500.7,1.0,3.0,1064.0
2.0,5.0,42.7,1.0,5.0,116.6,1.0,5.0,570.2,1.0,5.0,16.7,1.0,4.0,140.3,1.0,4.0,281.5
2.0,6.0,62.9,1.0,6.0,137.6,1.0,6.0,609.2,1.0,6.0,19.8,1.0,6.0,209.4,1.0,5.0,653.1
3.0,2.0,74.8,3.0,1.0,391.2,2.0,1.0,676.1,2.0,1.0,28.9,2.0,1.0,383.1,2.0,1.0,846.5
3.0,4.0,55.1,3.0,4.0,395.1,2.0,4.0,631.5,2.0,3.0,118.1,2.0,3.0,1062.0,2.0,3.0,1930.0
3.0,5.0,112.7,3.0,5.0,692.4,2.0,5.0,1112.0,2.0,5.0,46.6,2.0,4.0,277.7,2.0,4.0,544.4
3.0,6.0,163.7,3.0,6.0,824.9,2.0,6.0,1165.0,2.0,6.0,51.2,2.0,6.0,478.9,2.0,5.0,1186.0
4.0,2.0,9.1,4.0,1.0,48.5,4.0,1.0,380.3,3.0,1.0,128.5,3.0,1.0,1146.0,3.0,1.0,1636.0
4.0,3.0,29.1,4.0,3.0,219.3,4.0,2.0,499.2,3.0,2.0,175.4,3.0,2.0,1428.0,3.0,2.0,2229.0
4.0,5.0,14.0,4.0,5.0,125.1,4.0,5.0,537.1,3.0,5.0,175.6,3.0,4.0,974.1,3.0,4.0,1086.0
4.0,6.0,20.2,4.0,6.0,137.4,4.0,6.0,579.8,3.0,6.0,162.5,3.0,6.0,1357.0,3.0,5.0,1586.0
5.0,2.0,81.7,5.0,1.0,285.4,5.0,1.0,945.6,5.0,1.0,18.9,4.0,1.0,97.1,4.0,1.0,247.1
5.0,3.0,129.4,5.0,3.0,789.7,5.0,2.0,1162.0,5.0,2.0,29.7,4.0,2.0,134.2,4.0,2.0,335.8
5.0,4.0,48.0,5.0,4.0,275.1,5.0,4.0,799.4,5.0,3.0,106.5,4.0,3.0,377.2,4.0,3.0,747.4
5.0,6.0,90.9,5.0,6.0,446.2,5.0,6.0,1170.0,5.0,6.0,18.8,4.0,6.0,83.0,4.0,5.0,253.1
6.0,2.0,144.3,6.0,1.0,436.5,6.0,1.0,1194.0,6.0,1.0,38.9,6.0,1.0,331.3,5.0,1.0,806.9
6.0,3.0,247.0,6.0,3.0,1062.0,6.0,2.0,1316.0,6.0,2.0,53.0,6.0,2.0,473.6,5.0,2.0,1002.0
6.0,4.0,73.3,6.0,4.0,327.1,6.0,4.0,987.1,6.0,3.0,126.6,6.0,3.0,972.2,5.0,3.0,1860.0
6.0,5.0,155.1,6.0,5.0,711.5,6.0,5.0,1405.0,6.0,5.0,35.5,6.0,4.0,196.5,5.0,4.0,341.4
