1,池永 太,池永 太.1,2,渡辺 浩司,渡辺 浩司.1,3,大須賀 友,大須賀 友.1,4,水摩 敦,水摩 敦.1,5,西村 歩,西村 歩.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,5.7,1.0,3.0,22.8,1.0,2.0,75.9,1.0,2.0,39.2,1.0,2.0,537.5,1.0,2.0,496.6
2.0,4.0,6.0,1.0,4.0,25.8,1.0,4.0,99.4,1.0,3.0,63.0,1.0,3.0,983.0,1.0,3.0,966.2
2.0,5.0,29.3,1.0,5.0,95.5,1.0,5.0,216.9,1.0,5.0,56.0,1.0,4.0,621.6,1.0,4.0,659.1
2.0,6.0,16.2,1.0,6.0,60.0,1.0,6.0,202.7,1.0,6.0,47.6,1.0,6.0,801.3,1.0,5.0,1265.0
3.0,2.0,9.6,3.0,1.0,93.8,2.0,1.0,161.2,2.0,1.0,91.7,2.0,1.0,876.8,2.0,1.0,683.7
3.0,4.0,13.4,3.0,4.0,197.1,2.0,4.0,364.4,2.0,3.0,216.0,2.0,3.0,1856.0,2.0,3.0,1775.0
3.0,5.0,49.7,3.0,5.0,442.5,2.0,5.0,713.7,2.0,5.0,229.8,2.0,4.0,1614.0,2.0,4.0,1018.0
3.0,6.0,37.0,3.0,6.0,359.8,2.0,6.0,593.0,2.0,6.0,141.4,2.0,6.0,1483.0,2.0,5.0,2219.0
4.0,2.0,12.4,4.0,1.0,101.5,4.0,1.0,208.1,3.0,1.0,231.8,3.0,1.0,1416.0,3.0,1.0,1464.0
4.0,3.0,18.9,4.0,3.0,210.9,4.0,2.0,336.9,3.0,2.0,335.8,3.0,2.0,1875.0,3.0,2.0,1821.0
4.0,5.0,57.1,4.0,5.0,385.7,4.0,5.0,542.6,3.0,5.0,565.9,3.0,4.0,2228.0,3.0,4.0,1887.0
4.0,6.0,33.3,4.0,6.0,247.0,4.0,6.0,447.7,3.0,6.0,384.6,3.0,6.0,2492.0,3.0,5.0,2692.0
5.0,2.0,94.1,5.0,1.0,463.8,5.0,1.0,721.9,5.0,1.0,142.4,4.0,1.0,773.0,4.0,1.0,909.0
5.0,3.0,144.9,5.0,3.0,887.7,5.0,2.0,855.6,5.0,2.0,172.9,4.0,2.0,1122.0,4.0,2.0,979.6
5.0,4.0,137.8,5.0,4.0,914.9,5.0,4.0,1070.0,5.0,3.0,437.3,4.0,3.0,1781.0,4.0,3.0,2036.0
5.0,6.0,160.2,5.0,6.0,875.4,5.0,6.0,1409.0,5.0,6.0,126.7,4.0,6.0,761.6,4.0,5.0,1276.0
6.0,2.0,73.6,6.0,1.0,387.0,6.0,1.0,740.7,6.0,1.0,134.0,6.0,1.0,1382.0,5.0,1.0,2021.0
6.0,3.0,123.4,6.0,3.0,860.8,6.0,2.0,801.3,6.0,2.0,152.3,6.0,2.0,1856.0,5.0,2.0,2338.0
6.0,4.0,101.5,6.0,4.0,625.0,6.0,4.0,1138.0,6.0,3.0,326.9,6.0,3.0,2771.0,5.0,3.0,3762.0
6.0,5.0,199.2,6.0,5.0,1206.0,6.0,5.0,1809.0,6.0,5.0,185.5,6.0,4.0,1232.0,5.0,4.0,1671.0
