1,小川　日紀太,小川　日紀太.1,2,鈴木 賢一,鈴木 賢一.1,3,山田 丈,山田 丈.1,4,西丸　侑太朗,西丸　侑太朗.1,5,石丸 小槙,石丸 小槙.1,6,三嶌　こころ,三嶌　こころ.1
2.0,3.0,9.5,1.0,3.0,15.9,1.0,2.0,41.4,1.0,2.0,69.6,1.0,2.0,87.6,1.0,2.0,2016.0
2.0,4.0,13.9,1.0,4.0,23.0,1.0,4.0,40.4,1.0,3.0,70.1,1.0,3.0,103.4,1.0,3.0,2167.0
2.0,5.0,25.5,1.0,5.0,33.7,1.0,5.0,55.0,1.0,5.0,90.5,1.0,4.0,148.1,1.0,4.0,2268.0
2.0,6.0,252.9,1.0,6.0,332.2,1.0,6.0,340.0,1.0,6.0,407.8,1.0,6.0,381.0,1.0,5.0,2380.0
3.0,2.0,13.7,3.0,1.0,32.3,2.0,1.0,48.0,2.0,1.0,84.0,2.0,1.0,96.8,2.0,1.0,2419.0
3.0,4.0,17.9,3.0,4.0,36.1,2.0,4.0,45.1,2.0,3.0,91.0,2.0,3.0,110.7,2.0,3.0,3541.0
3.0,5.0,24.6,3.0,5.0,45.5,2.0,5.0,57.3,2.0,5.0,124.3,2.0,4.0,158.5,2.0,4.0,2739.0
3.0,6.0,234.9,3.0,6.0,500.6,2.0,6.0,432.1,2.0,6.0,642.4,2.0,6.0,452.3,2.0,5.0,2847.0
4.0,2.0,25.9,4.0,1.0,50.8,4.0,1.0,58.0,3.0,1.0,102.1,3.0,1.0,155.4,3.0,1.0,3541.0
4.0,3.0,24.7,4.0,3.0,51.2,4.0,2.0,61.7,3.0,2.0,108.4,3.0,2.0,131.9,3.0,2.0,4399.0
4.0,5.0,40.6,4.0,5.0,72.5,4.0,5.0,77.4,3.0,5.0,137.2,3.0,4.0,192.8,3.0,4.0,2903.0
4.0,6.0,279.2,4.0,6.0,422.0,4.0,6.0,438.6,3.0,6.0,698.0,3.0,6.0,797.7,3.0,5.0,2688.0
5.0,2.0,49.9,5.0,1.0,83.9,5.0,1.0,99.0,5.0,1.0,116.1,4.0,1.0,166.8,4.0,1.0,2592.0
5.0,3.0,55.2,5.0,3.0,72.2,5.0,2.0,87.4,5.0,2.0,131.2,4.0,2.0,170.0,4.0,2.0,2460.0
5.0,4.0,69.8,5.0,4.0,110.9,5.0,4.0,119.7,5.0,3.0,157.6,4.0,3.0,239.9,4.0,3.0,2847.0
5.0,6.0,350.7,5.0,6.0,569.4,5.0,6.0,564.9,5.0,6.0,366.6,4.0,6.0,471.4,4.0,5.0,1708.0
6.0,2.0,768.2,6.0,1.0,1512.0,6.0,1.0,1332.0,6.0,1.0,901.8,6.0,1.0,688.1,5.0,1.0,2268.0
6.0,3.0,859.1,6.0,3.0,1749.0,6.0,2.0,1382.0,6.0,2.0,901.8,6.0,2.0,715.2,5.0,2.0,2639.0
6.0,4.0,942.8,6.0,4.0,1544.0,6.0,4.0,1125.0,6.0,3.0,1273.0,6.0,3.0,874.6,5.0,3.0,3089.0
6.0,5.0,864.2,6.0,5.0,1382.0,6.0,5.0,1528.0,6.0,5.0,839.2,6.0,4.0,760.1,5.0,4.0,1837.0
