1,井本 昌也,井本 昌也.1,2,梅原 祥平,梅原 祥平.1,3,堀本 裕也,堀本 裕也.1,4,木山 和幸,木山 和幸.1,5,伊藤 尚汰,伊藤 尚汰.1,6,林 祐介,林 祐介.1
2.0,3.0,19.7,1.0,3.0,25.8,1.0,2.0,144.5,1.0,2.0,153.7,1.0,2.0,122.7,1.0,2.0,509.2
2.0,4.0,15.6,1.0,4.0,24.1,1.0,4.0,105.6,1.0,3.0,153.1,1.0,3.0,168.3,1.0,3.0,507.8
2.0,5.0,16.1,1.0,5.0,20.9,1.0,5.0,91.3,1.0,5.0,99.0,1.0,4.0,154.7,1.0,4.0,413.8
2.0,6.0,32.5,1.0,6.0,41.0,1.0,6.0,151.0,1.0,6.0,123.8,1.0,6.0,133.2,1.0,5.0,402.3
3.0,2.0,27.4,3.0,1.0,56.9,2.0,1.0,191.9,2.0,1.0,192.7,2.0,1.0,160.9,2.0,1.0,766.4
3.0,4.0,17.8,3.0,4.0,89.6,2.0,4.0,274.2,2.0,3.0,392.7,2.0,3.0,423.1,2.0,3.0,1861.0
3.0,5.0,16.0,3.0,5.0,83.0,2.0,5.0,291.1,2.0,5.0,290.6,2.0,4.0,374.1,2.0,4.0,1475.0
3.0,6.0,27.9,3.0,6.0,151.6,2.0,6.0,425.9,2.0,6.0,387.5,2.0,6.0,394.0,2.0,5.0,1493.0
4.0,2.0,26.3,4.0,1.0,59.2,4.0,1.0,225.5,3.0,1.0,290.2,3.0,1.0,348.2,3.0,1.0,860.7
4.0,3.0,25.3,4.0,3.0,118.5,4.0,2.0,377.8,3.0,2.0,579.5,3.0,2.0,752.6,3.0,2.0,2422.0
4.0,5.0,19.6,4.0,5.0,93.4,4.0,5.0,286.9,3.0,5.0,375.5,3.0,4.0,730.8,3.0,4.0,1717.0
4.0,6.0,24.5,4.0,6.0,130.7,4.0,6.0,357.8,3.0,6.0,460.7,3.0,6.0,761.8,3.0,5.0,1799.0
5.0,2.0,30.9,5.0,1.0,51.1,5.0,1.0,220.1,5.0,1.0,157.1,4.0,1.0,231.8,4.0,1.0,635.0
5.0,3.0,30.6,5.0,3.0,116.7,5.0,2.0,418.4,5.0,2.0,338.5,4.0,2.0,433.8,4.0,2.0,1908.0
5.0,4.0,26.4,5.0,4.0,105.1,5.0,4.0,423.1,5.0,3.0,360.5,4.0,3.0,563.9,4.0,3.0,1642.0
5.0,6.0,26.5,5.0,6.0,120.6,5.0,6.0,444.5,5.0,6.0,186.4,4.0,6.0,293.3,4.0,5.0,837.8
6.0,2.0,76.4,6.0,1.0,161.5,6.0,1.0,451.4,6.0,1.0,264.6,6.0,1.0,231.6,5.0,1.0,544.4
6.0,3.0,73.3,6.0,3.0,400.6,6.0,2.0,914.8,6.0,2.0,736.5,6.0,2.0,544.4,5.0,2.0,1447.0
6.0,4.0,50.8,6.0,4.0,296.1,6.0,4.0,782.3,6.0,3.0,658.2,6.0,3.0,754.1,5.0,3.0,1431.0
6.0,5.0,51.6,6.0,5.0,219.4,6.0,5.0,821.4,6.0,5.0,311.7,6.0,4.0,444.5,5.0,4.0,749.7
