1,芦澤 望,芦澤 望.1,2,吉永 浩則,吉永 浩則.1,3,河野 真也,河野 真也.1,4,赤羽 克也,赤羽 克也.1,5,冨田 秀幸,冨田 秀幸.1,6,平野 和明,平野 和明.1
2.0,3.0,16.3,1.0,3.0,101.5,1.0,2.0,62.8,1.0,2.0,111.2,1.0,2.0,397.6,1.0,2.0,602.1
2.0,4.0,19.9,1.0,4.0,130.4,1.0,4.0,24.9,1.0,3.0,47.0,1.0,3.0,338.1,1.0,3.0,337.1
2.0,5.0,48.7,1.0,5.0,194.7,1.0,5.0,63.5,1.0,5.0,130.6,1.0,4.0,318.5,1.0,4.0,338.1
2.0,6.0,45.8,1.0,6.0,205.2,1.0,6.0,31.2,1.0,6.0,63.7,1.0,6.0,370.1,1.0,5.0,751.6
3.0,2.0,13.3,3.0,1.0,203.6,2.0,1.0,155.0,2.0,1.0,254.3,2.0,1.0,537.9,2.0,1.0,1032.0
3.0,4.0,6.5,3.0,4.0,347.8,2.0,4.0,193.8,2.0,3.0,384.3,2.0,3.0,1149.0,2.0,3.0,1556.0
3.0,5.0,23.5,3.0,5.0,613.0,2.0,5.0,365.8,2.0,5.0,535.3,2.0,4.0,1102.0,2.0,4.0,1173.0
3.0,6.0,11.3,3.0,6.0,537.9,2.0,6.0,254.4,2.0,6.0,411.7,2.0,6.0,1170.0,2.0,5.0,1579.0
4.0,2.0,21.1,4.0,1.0,302.9,4.0,1.0,44.6,3.0,1.0,68.8,3.0,1.0,492.6,3.0,1.0,417.2
4.0,3.0,9.0,4.0,3.0,412.5,4.0,2.0,146.4,3.0,2.0,232.7,3.0,2.0,1128.0,3.0,2.0,1310.0
4.0,5.0,38.5,4.0,5.0,689.1,4.0,5.0,117.9,3.0,5.0,192.8,3.0,4.0,756.8,3.0,4.0,455.3
4.0,6.0,17.4,4.0,6.0,530.1,4.0,6.0,63.2,3.0,6.0,98.8,3.0,6.0,822.0,3.0,5.0,1257.0
5.0,2.0,85.9,5.0,1.0,483.4,5.0,1.0,226.9,5.0,1.0,210.7,4.0,1.0,407.9,4.0,1.0,362.7
5.0,3.0,66.9,5.0,3.0,870.9,5.0,2.0,414.1,5.0,2.0,403.8,4.0,2.0,962.6,4.0,2.0,832.9
5.0,4.0,80.5,5.0,4.0,857.3,5.0,4.0,238.0,5.0,3.0,320.8,4.0,3.0,592.4,4.0,3.0,457.2
5.0,6.0,94.8,5.0,6.0,1052.0,5.0,6.0,256.2,5.0,6.0,222.6,4.0,6.0,431.6,4.0,5.0,725.5
6.0,2.0,84.7,6.0,1.0,669.1,6.0,1.0,121.5,6.0,1.0,118.6,6.0,1.0,655.1,5.0,1.0,1254.0
6.0,3.0,45.7,6.0,3.0,1011.0,6.0,2.0,351.1,6.0,2.0,325.4,6.0,2.0,1294.0,5.0,2.0,1968.0
6.0,4.0,49.6,6.0,4.0,854.0,6.0,4.0,125.7,6.0,3.0,154.1,6.0,3.0,1035.0,5.0,3.0,1524.0
6.0,5.0,121.2,6.0,5.0,1176.0,6.0,5.0,288.6,6.0,5.0,237.5,6.0,4.0,643.6,5.0,4.0,1045.0
