1,大橋　純一郎,大橋　純一郎.1,2,藤丸 光一,藤丸 光一.1,3,佐藤 旭,佐藤 旭.1,4,石倉 洋行,石倉 洋行.1,5,杉山 太陽,杉山 太陽.1,6,香月 大輝,香月 大輝.1
2.0,3.0,16.4,1.0,3.0,77.9,1.0,2.0,55.5,1.0,2.0,15.7,1.0,2.0,356.7,1.0,2.0,1469.0
2.0,4.0,11.3,1.0,4.0,59.2,1.0,4.0,31.3,1.0,3.0,16.6,1.0,3.0,359.7,1.0,3.0,1622.0
2.0,5.0,89.3,1.0,5.0,274.0,1.0,5.0,112.5,1.0,5.0,31.7,1.0,4.0,269.8,1.0,4.0,1457.0
2.0,6.0,199.9,1.0,6.0,477.0,1.0,6.0,287.0,1.0,6.0,94.1,1.0,6.0,875.4,1.0,5.0,2228.0
3.0,2.0,14.0,3.0,1.0,150.4,2.0,1.0,127.9,2.0,1.0,36.2,2.0,1.0,518.4,2.0,1.0,2216.0
3.0,4.0,7.7,3.0,4.0,169.6,2.0,4.0,140.4,2.0,3.0,65.2,2.0,3.0,764.9,2.0,3.0,2602.0
3.0,5.0,59.8,3.0,5.0,673.3,2.0,5.0,422.0,2.0,5.0,98.2,2.0,4.0,727.6,2.0,4.0,1882.0
3.0,6.0,141.3,3.0,6.0,964.7,2.0,6.0,839.4,2.0,6.0,266.9,2.0,6.0,1514.0,2.0,5.0,2656.0
4.0,2.0,7.4,4.0,1.0,87.1,4.0,1.0,40.4,3.0,1.0,32.9,3.0,1.0,529.0,3.0,1.0,2241.0
4.0,3.0,6.7,4.0,3.0,163.0,4.0,2.0,83.6,3.0,2.0,63.5,3.0,2.0,969.5,3.0,2.0,2731.0
4.0,5.0,35.4,4.0,5.0,458.9,4.0,5.0,139.5,3.0,5.0,103.2,3.0,4.0,793.0,3.0,4.0,2534.0
4.0,6.0,89.1,4.0,6.0,767.9,4.0,6.0,378.7,3.0,6.0,271.3,3.0,6.0,1812.0,3.0,5.0,3006.0
5.0,2.0,184.5,5.0,1.0,648.5,5.0,1.0,284.9,5.0,1.0,58.1,4.0,1.0,269.3,4.0,1.0,1563.0
5.0,3.0,187.4,5.0,3.0,1007.0,5.0,2.0,550.1,5.0,2.0,92.6,4.0,2.0,460.5,4.0,2.0,1855.0
5.0,4.0,154.3,5.0,4.0,867.6,5.0,4.0,390.9,5.0,3.0,137.0,4.0,3.0,628.5,4.0,3.0,2228.0
5.0,6.0,443.2,5.0,6.0,1497.0,5.0,6.0,1023.0,5.0,6.0,157.0,4.0,6.0,718.1,4.0,5.0,1829.0
6.0,2.0,532.7,6.0,1.0,1664.0,6.0,1.0,910.3,6.0,1.0,225.4,6.0,1.0,1557.0,5.0,1.0,2142.0
6.0,3.0,559.6,6.0,3.0,1846.0,6.0,2.0,1251.0,6.0,2.0,349.0,6.0,2.0,1958.0,5.0,2.0,2294.0
6.0,4.0,409.0,6.0,4.0,1469.0,6.0,4.0,1168.0,6.0,3.0,492.1,6.0,3.0,2051.0,5.0,3.0,2674.0
6.0,5.0,609.7,6.0,5.0,1731.0,6.0,5.0,1365.0,6.0,5.0,254.9,6.0,4.0,1360.0,5.0,4.0,1901.0
