1,山川 雄大,山川 雄大.1,2,北村 寧々,北村 寧々.1,3,坂野　さくら,坂野　さくら.1,4,香月 大輝,香月 大輝.1,5,上平 真二,上平 真二.1,6,鶴本 崇文,鶴本 崇文.1
2.0,3.0,60.3,1.0,3.0,182.9,1.0,2.0,172.2,1.0,2.0,1972.0,1.0,2.0,28.6,1.0,2.0,216.8
2.0,4.0,341.1,1.0,4.0,747.7,1.0,4.0,667.7,1.0,3.0,1724.0,1.0,3.0,20.2,1.0,3.0,159.1
2.0,5.0,27.4,1.0,5.0,97.5,1.0,5.0,66.2,1.0,5.0,1056.0,1.0,4.0,158.5,1.0,4.0,493.1
2.0,6.0,64.4,1.0,6.0,170.5,1.0,6.0,115.7,1.0,6.0,1136.0,1.0,6.0,11.9,1.0,5.0,81.6
3.0,2.0,56.3,3.0,1.0,262.9,2.0,1.0,245.8,2.0,1.0,2469.0,2.0,1.0,64.5,2.0,1.0,352.7
3.0,4.0,259.8,3.0,4.0,1062.0,2.0,4.0,877.7,2.0,3.0,2505.0,2.0,3.0,75.6,2.0,3.0,390.9
3.0,5.0,18.8,3.0,5.0,147.2,2.0,5.0,133.9,2.0,5.0,2092.0,2.0,4.0,420.6,2.0,4.0,1234.0
3.0,6.0,40.5,3.0,6.0,237.0,2.0,6.0,217.0,2.0,6.0,2350.0,2.0,6.0,53.4,2.0,5.0,208.7
4.0,2.0,709.1,4.0,1.0,1707.0,4.0,1.0,1400.0,3.0,1.0,2580.0,3.0,1.0,36.3,3.0,1.0,256.1
4.0,3.0,656.2,4.0,3.0,1855.0,4.0,2.0,1574.0,3.0,2.0,2908.0,3.0,2.0,66.1,3.0,2.0,401.4
4.0,5.0,456.4,4.0,5.0,1442.0,4.0,5.0,956.0,3.0,5.0,1815.0,3.0,4.0,250.7,3.0,4.0,1021.0
4.0,6.0,596.8,4.0,6.0,1835.0,4.0,6.0,1492.0,3.0,6.0,2366.0,3.0,6.0,29.2,3.0,5.0,138.9
5.0,2.0,15.2,5.0,1.0,102.5,5.0,1.0,51.4,5.0,1.0,1466.0,4.0,1.0,535.4,4.0,1.0,1658.0
5.0,3.0,12.1,5.0,3.0,119.5,5.0,2.0,82.2,5.0,2.0,2158.0,4.0,2.0,766.1,4.0,2.0,2055.0
5.0,4.0,152.6,5.0,4.0,597.9,5.0,4.0,373.8,5.0,3.0,1505.0,4.0,3.0,627.4,4.0,3.0,1928.0
5.0,6.0,8.2,5.0,6.0,87.2,5.0,6.0,41.8,5.0,6.0,680.9,4.0,6.0,286.2,4.0,5.0,683.6
6.0,2.0,83.6,6.0,1.0,289.3,6.0,1.0,153.4,6.0,1.0,1658.0,6.0,1.0,13.9,5.0,1.0,55.6
6.0,3.0,65.3,6.0,3.0,300.5,6.0,2.0,232.0,6.0,2.0,2702.0,6.0,2.0,27.6,5.0,2.0,106.1
6.0,4.0,316.9,6.0,4.0,1171.0,6.0,4.0,749.3,6.0,3.0,2272.0,6.0,3.0,20.5,5.0,3.0,78.1
6.0,5.0,26.2,6.0,5.0,162.5,6.0,5.0,84.8,6.0,5.0,875.5,6.0,4.0,80.3,5.0,4.0,240.3
