1,山田 哲也,山田 哲也.1,2,石田 政吾,石田 政吾.1,3,青木 蓮,青木 蓮.1,4,上原　健次郎,上原　健次郎.1,5,山本 兼士,山本 兼士.1,6,宮本 琉正,宮本 琉正.1
2.0,3.0,4.7,1.0,3.0,42.8,1.0,2.0,20.1,1.0,2.0,253.9,1.0,2.0,272.0,1.0,2.0,2157.0
2.0,4.0,14.9,1.0,4.0,90.3,1.0,4.0,22.6,1.0,3.0,190.0,1.0,3.0,193.6,1.0,3.0,1958.0
2.0,5.0,27.4,1.0,5.0,139.6,1.0,5.0,33.8,1.0,5.0,336.3,1.0,4.0,448.6,1.0,4.0,3604.0
2.0,6.0,123.9,1.0,6.0,617.1,1.0,6.0,166.0,1.0,6.0,1113.0,1.0,6.0,1033.0,1.0,5.0,3339.0
3.0,2.0,4.4,3.0,1.0,73.3,2.0,1.0,47.1,2.0,1.0,441.8,2.0,1.0,488.7,2.0,1.0,2992.0
3.0,4.0,6.4,3.0,4.0,177.5,2.0,4.0,105.4,2.0,3.0,499.5,2.0,3.0,625.6,2.0,3.0,3204.0
3.0,5.0,12.1,3.0,5.0,319.7,2.0,5.0,159.0,2.0,5.0,845.9,2.0,4.0,944.1,2.0,4.0,3868.0
3.0,6.0,83.3,3.0,6.0,1157.0,2.0,6.0,595.1,2.0,6.0,2202.0,2.0,6.0,2033.0,2.0,5.0,3646.0
4.0,2.0,27.8,4.0,1.0,313.1,4.0,1.0,65.9,3.0,1.0,222.4,3.0,1.0,263.9,3.0,1.0,2298.0
4.0,3.0,23.5,4.0,3.0,354.4,4.0,2.0,110.7,3.0,2.0,361.2,3.0,2.0,545.9,3.0,2.0,3050.0
4.0,5.0,73.7,4.0,5.0,640.8,4.0,5.0,110.9,3.0,5.0,384.5,3.0,4.0,570.5,3.0,4.0,3965.0
4.0,6.0,286.8,4.0,6.0,1982.0,4.0,6.0,516.6,3.0,6.0,1678.0,3.0,6.0,1428.0,3.0,5.0,4734.0
5.0,2.0,63.6,5.0,1.0,426.3,5.0,1.0,103.1,5.0,1.0,519.1,4.0,1.0,474.1,4.0,1.0,4467.0
5.0,3.0,44.1,5.0,3.0,611.2,5.0,2.0,200.1,5.0,2.0,700.2,4.0,2.0,582.0,4.0,2.0,4734.0
5.0,4.0,113.8,5.0,4.0,901.1,5.0,4.0,177.6,5.0,3.0,569.5,4.0,3.0,529.5,4.0,3.0,5376.0
5.0,6.0,386.8,5.0,6.0,2497.0,5.0,6.0,647.3,5.0,6.0,1475.0,4.0,6.0,1082.0,4.0,5.0,4665.0
6.0,2.0,467.8,6.0,1.0,2114.0,6.0,1.0,930.2,6.0,1.0,2964.0,6.0,1.0,3079.0,5.0,1.0,4597.0
6.0,3.0,417.9,6.0,3.0,3524.0,6.0,2.0,1570.0,6.0,2.0,3204.0,6.0,2.0,3646.0,5.0,2.0,5035.0
6.0,4.0,742.9,6.0,4.0,3374.0,6.0,4.0,1696.0,6.0,3.0,3485.0,6.0,3.0,2910.0,5.0,3.0,4880.0
6.0,5.0,881.1,6.0,5.0,4467.0,6.0,5.0,2143.0,6.0,5.0,3374.0,6.0,4.0,2688.0,5.0,4.0,4066.0
