1,川島 拓郎,川島 拓郎.1,2,久田 武,久田 武.1,3,永田 義紘,永田 義紘.1,4,待鳥 雄紀,待鳥 雄紀.1,5,上野　真之介,上野　真之介.1,6,木場　雄二郎,木場　雄二郎.1
2.0,3.0,31.8,1.0,3.0,92.8,1.0,2.0,272.6,1.0,2.0,71.0,1.0,2.0,37.4,1.0,2.0,725.9
2.0,4.0,17.5,1.0,4.0,37.7,1.0,4.0,321.3,1.0,3.0,186.0,1.0,3.0,113.7,1.0,3.0,1529.0
2.0,5.0,11.6,1.0,5.0,28.5,1.0,5.0,231.4,1.0,5.0,48.7,1.0,4.0,49.0,1.0,4.0,974.3
2.0,6.0,77.0,1.0,6.0,119.5,1.0,6.0,569.6,1.0,6.0,105.6,1.0,6.0,86.2,1.0,5.0,797.9
3.0,2.0,46.5,3.0,1.0,243.2,2.0,1.0,291.5,2.0,1.0,83.2,2.0,1.0,36.7,2.0,1.0,921.0
3.0,4.0,61.8,3.0,4.0,283.0,2.0,4.0,286.5,2.0,3.0,222.7,2.0,3.0,112.8,2.0,3.0,1135.0
3.0,5.0,41.6,3.0,5.0,201.4,2.0,5.0,267.1,2.0,5.0,50.5,2.0,4.0,26.8,2.0,4.0,673.1
3.0,6.0,189.4,3.0,6.0,589.5,2.0,6.0,515.6,2.0,6.0,135.5,2.0,6.0,58.2,2.0,5.0,580.3
4.0,2.0,25.3,4.0,1.0,65.4,4.0,1.0,546.0,3.0,1.0,398.1,3.0,1.0,237.9,3.0,1.0,1969.0
4.0,3.0,64.0,4.0,3.0,174.1,4.0,2.0,518.5,3.0,2.0,488.4,3.0,2.0,284.8,3.0,2.0,1638.0
4.0,5.0,22.4,4.0,5.0,37.1,4.0,5.0,382.4,3.0,5.0,308.5,3.0,4.0,375.4,3.0,4.0,1714.0
4.0,6.0,107.5,4.0,6.0,135.4,4.0,6.0,1006.0,3.0,6.0,567.8,3.0,6.0,390.5,3.0,5.0,1908.0
5.0,2.0,14.4,5.0,1.0,41.5,5.0,1.0,326.4,5.0,1.0,36.9,4.0,1.0,41.9,4.0,1.0,944.4
5.0,3.0,42.0,5.0,3.0,130.4,5.0,2.0,320.2,5.0,2.0,32.1,4.0,2.0,29.6,4.0,2.0,714.7
5.0,4.0,21.8,5.0,4.0,34.2,5.0,4.0,345.3,5.0,3.0,129.9,4.0,3.0,176.3,4.0,3.0,2203.0
5.0,6.0,60.0,5.0,6.0,84.6,5.0,6.0,712.0,5.0,6.0,41.1,4.0,6.0,40.3,4.0,5.0,358.7
6.0,2.0,270.2,6.0,1.0,475.8,6.0,1.0,1285.0,6.0,1.0,250.8,6.0,1.0,155.0,5.0,1.0,647.2
6.0,3.0,435.5,6.0,3.0,822.7,6.0,2.0,995.2,6.0,2.0,241.0,6.0,2.0,113.6,5.0,2.0,455.9
6.0,4.0,358.7,6.0,4.0,421.6,6.0,4.0,1171.0,6.0,3.0,560.9,6.0,3.0,376.2,5.0,3.0,1480.0
6.0,5.0,162.5,6.0,5.0,245.5,6.0,5.0,934.9,6.0,5.0,143.8,6.0,4.0,110.2,5.0,4.0,342.1
