1,森作 雄大,森作 雄大.1,2,仲本 舜,仲本 舜.1,3,岡村 慶太,岡村 慶太.1,4,乙津 康志,乙津 康志.1,5,小林 文彦,小林 文彦.1,6,丸岡 正典,丸岡 正典.1
2.0,3.0,86.9,1.0,3.0,337.5,1.0,2.0,79.3,1.0,2.0,564.6,1.0,2.0,455.6,1.0,2.0,527.7
2.0,4.0,151.8,1.0,4.0,578.3,1.0,4.0,16.0,1.0,3.0,167.0,1.0,3.0,124.6,1.0,3.0,103.2
2.0,5.0,178.4,1.0,5.0,628.8,1.0,5.0,11.7,1.0,5.0,239.3,1.0,4.0,321.9,1.0,4.0,327.6
2.0,6.0,149.5,1.0,6.0,619.2,1.0,6.0,10.2,1.0,6.0,186.0,1.0,6.0,158.9,1.0,5.0,201.7
3.0,2.0,44.0,3.0,1.0,422.3,2.0,1.0,247.0,2.0,1.0,956.6,2.0,1.0,1310.0,2.0,1.0,1094.0
3.0,4.0,13.5,3.0,4.0,628.8,2.0,4.0,292.5,2.0,3.0,761.7,2.0,3.0,1004.0,2.0,3.0,767.5
3.0,5.0,10.4,3.0,5.0,641.8,2.0,5.0,279.9,2.0,5.0,936.7,2.0,4.0,1354.0,2.0,4.0,1298.0
3.0,6.0,9.3,3.0,6.0,523.6,2.0,6.0,221.4,2.0,6.0,851.7,2.0,6.0,1160.0,2.0,5.0,1406.0
4.0,2.0,164.9,4.0,1.0,1103.0,4.0,1.0,43.1,3.0,1.0,155.3,3.0,1.0,131.6,3.0,1.0,86.6
4.0,3.0,40.3,4.0,3.0,987.0,4.0,2.0,173.5,3.0,2.0,490.5,3.0,2.0,551.5,3.0,2.0,420.9
4.0,5.0,70.2,4.0,5.0,1341.0,4.0,5.0,40.9,3.0,5.0,137.7,3.0,4.0,205.9,3.0,4.0,134.5
4.0,6.0,60.4,4.0,6.0,1328.0,4.0,6.0,33.8,3.0,6.0,110.3,3.0,6.0,99.1,3.0,5.0,107.6
5.0,2.0,173.8,5.0,1.0,1506.0,5.0,1.0,34.3,5.0,1.0,339.5,4.0,1.0,475.5,4.0,1.0,535.4
5.0,3.0,32.2,5.0,3.0,1022.0,5.0,2.0,193.3,5.0,2.0,782.4,4.0,2.0,1070.0,4.0,2.0,1190.0
5.0,4.0,85.2,5.0,4.0,1786.0,5.0,4.0,47.2,5.0,3.0,241.0,4.0,3.0,322.9,4.0,3.0,281.9
5.0,6.0,47.6,5.0,6.0,1535.0,5.0,6.0,24.5,5.0,6.0,205.5,4.0,6.0,306.5,4.0,5.0,410.7
6.0,2.0,190.2,6.0,1.0,1377.0,6.0,1.0,25.6,6.0,1.0,272.4,6.0,1.0,200.7,5.0,1.0,265.2
6.0,3.0,33.6,6.0,3.0,989.5,6.0,2.0,143.6,6.0,2.0,710.7,6.0,2.0,707.0,5.0,2.0,949.9
6.0,4.0,89.0,6.0,4.0,1696.0,6.0,4.0,37.9,6.0,3.0,178.9,6.0,3.0,121.8,5.0,3.0,153.7
6.0,5.0,70.9,6.0,5.0,1529.0,6.0,5.0,26.9,6.0,5.0,235.5,6.0,4.0,271.5,5.0,4.0,375.5
