1,鳥飼 眞,鳥飼 眞.1,2,竹上 真司,竹上 真司.1,3,松本 博昭,松本 博昭.1,4,宗行 治哉,宗行 治哉.1,5,白井 友晴,白井 友晴.1,6,鈴木 博,鈴木 博.1
2.0,3.0,36.5,1.0,3.0,282.8,1.0,2.0,143.7,1.0,2.0,127.8,1.0,2.0,516.7,1.0,2.0,614.9
2.0,4.0,36.9,1.0,4.0,216.1,1.0,4.0,28.0,1.0,3.0,43.7,1.0,3.0,264.2,1.0,3.0,301.9
2.0,5.0,68.6,1.0,5.0,369.1,1.0,5.0,49.3,1.0,5.0,48.8,1.0,4.0,208.4,1.0,4.0,271.9
2.0,6.0,69.1,1.0,6.0,369.1,1.0,6.0,42.3,1.0,6.0,42.0,1.0,6.0,230.8,1.0,5.0,454.6
3.0,2.0,27.6,3.0,1.0,399.8,2.0,1.0,393.4,2.0,1.0,337.5,2.0,1.0,1110.0,2.0,1.0,1317.0
3.0,4.0,6.9,3.0,4.0,464.1,2.0,4.0,347.1,2.0,3.0,447.1,2.0,3.0,1452.0,2.0,3.0,1518.0
3.0,5.0,13.9,3.0,5.0,973.6,2.0,5.0,590.5,2.0,5.0,509.8,2.0,4.0,1452.0,2.0,4.0,831.9
3.0,6.0,15.5,3.0,6.0,821.7,2.0,6.0,488.5,2.0,6.0,300.5,2.0,6.0,1285.0,2.0,5.0,2583.0
4.0,2.0,27.9,4.0,1.0,368.1,4.0,1.0,47.2,3.0,1.0,71.2,3.0,1.0,364.6,3.0,1.0,371.1
4.0,3.0,9.9,4.0,3.0,503.2,4.0,2.0,199.3,3.0,2.0,261.1,3.0,2.0,1062.0,3.0,2.0,1002.0
4.0,5.0,17.3,4.0,5.0,966.5,4.0,5.0,62.8,3.0,5.0,82.8,3.0,4.0,362.1,3.0,4.0,232.6
4.0,6.0,16.2,4.0,6.0,473.0,4.0,6.0,44.7,3.0,6.0,60.7,3.0,6.0,494.8,3.0,5.0,790.3
5.0,2.0,93.8,5.0,1.0,1014.0,5.0,1.0,135.8,5.0,1.0,98.6,4.0,1.0,314.2,4.0,1.0,314.6
5.0,3.0,36.2,5.0,3.0,1399.0,5.0,2.0,481.5,5.0,2.0,316.1,4.0,2.0,926.6,4.0,2.0,575.4
5.0,4.0,37.6,5.0,4.0,1414.0,5.0,4.0,130.3,5.0,3.0,125.0,4.0,3.0,352.1,4.0,3.0,219.5
5.0,6.0,54.9,5.0,6.0,1571.0,5.0,6.0,163.1,5.0,6.0,77.7,4.0,6.0,230.4,4.0,5.0,338.4
6.0,2.0,119.8,6.0,1.0,847.6,6.0,1.0,138.5,6.0,1.0,80.3,6.0,1.0,446.3,5.0,1.0,742.3
6.0,3.0,51.4,6.0,3.0,1285.0,6.0,2.0,393.4,6.0,2.0,220.6,6.0,2.0,1255.0,5.0,2.0,1767.0
6.0,4.0,49.5,6.0,4.0,692.5,6.0,4.0,97.3,6.0,3.0,86.0,6.0,3.0,597.1,5.0,3.0,850.3
6.0,5.0,83.3,6.0,5.0,1468.0,6.0,5.0,216.8,6.0,5.0,92.0,6.0,4.0,347.1,5.0,4.0,409.6
