1,林 恵祐,林 恵祐.1,2,山崎 善庸,山崎 善庸.1,3,山根 大樹,山根 大樹.1,4,齊藤 廉,齊藤 廉.1,5,畑 竜生,畑 竜生.1,6,浮田 圭浩,浮田 圭浩.1
2.0,3.0,28.7,1.0,3.0,86.3,1.0,2.0,177.9,1.0,2.0,628.3,1.0,2.0,17.4,1.0,2.0,104.8
2.0,4.0,107.2,1.0,4.0,282.4,1.0,4.0,457.2,1.0,3.0,679.1,1.0,3.0,39.5,1.0,3.0,224.1
2.0,5.0,11.7,1.0,5.0,36.9,1.0,5.0,121.6,1.0,5.0,855.1,1.0,4.0,106.6,1.0,4.0,353.8
2.0,6.0,23.5,1.0,6.0,63.0,1.0,6.0,238.6,1.0,6.0,628.3,1.0,6.0,14.4,1.0,5.0,65.4
3.0,2.0,47.6,3.0,1.0,180.3,2.0,1.0,257.2,2.0,1.0,669.2,2.0,1.0,29.6,2.0,1.0,171.9
3.0,4.0,196.0,3.0,4.0,710.4,2.0,4.0,533.8,2.0,3.0,1026.0,2.0,3.0,83.9,2.0,3.0,362.1
3.0,5.0,33.7,3.0,5.0,219.3,2.0,5.0,295.0,2.0,5.0,669.2,2.0,4.0,204.7,2.0,4.0,769.6
3.0,6.0,67.0,3.0,6.0,362.1,2.0,6.0,496.5,2.0,6.0,1061.0,2.0,6.0,27.1,2.0,5.0,105.6
4.0,2.0,192.8,4.0,1.0,624.0,4.0,1.0,803.1,3.0,1.0,1086.0,3.0,1.0,80.8,3.0,1.0,437.7
4.0,3.0,327.5,4.0,3.0,879.6,4.0,2.0,803.1,3.0,2.0,1338.0,3.0,2.0,122.9,3.0,2.0,533.8
4.0,5.0,267.7,4.0,5.0,684.1,4.0,5.0,832.0,3.0,5.0,1061.0,3.0,4.0,486.1,3.0,4.0,1154.0
4.0,6.0,291.3,4.0,6.0,611.6,4.0,6.0,871.3,3.0,6.0,1282.0,3.0,6.0,100.0,3.0,5.0,253.0
5.0,2.0,11.3,5.0,1.0,56.5,5.0,1.0,145.2,5.0,1.0,763.3,4.0,1.0,292.2,4.0,1.0,611.6
5.0,3.0,24.8,5.0,3.0,149.9,5.0,2.0,241.7,5.0,2.0,705.0,4.0,2.0,345.9,4.0,2.0,962.0
5.0,4.0,90.2,5.0,4.0,399.8,5.0,4.0,636.9,5.0,3.0,1169.0,4.0,3.0,566.6,4.0,3.0,1338.0
5.0,6.0,12.6,5.0,6.0,83.2,5.0,6.0,170.7,5.0,6.0,727.2,4.0,6.0,206.6,4.0,5.0,655.0
6.0,2.0,38.7,6.0,1.0,155.4,6.0,1.0,383.2,6.0,1.0,769.6,6.0,1.0,16.5,5.0,1.0,52.8
6.0,3.0,78.9,6.0,3.0,357.9,6.0,2.0,481.0,6.0,2.0,1248.0,6.0,2.0,17.8,5.0,2.0,57.9
6.0,4.0,168.2,6.0,4.0,619.8,6.0,4.0,932.9,6.0,3.0,1319.0,6.0,3.0,53.2,5.0,3.0,136.4
6.0,5.0,31.1,6.0,5.0,126.8,6.0,5.0,244.3,6.0,5.0,839.6,6.0,4.0,73.9,5.0,4.0,204.7
