1,伊藤 誠二,伊藤 誠二.1,2,水原 慎,水原 慎.1,3,黒崎 竜也,黒崎 竜也.1,4,西丸　侑太朗,西丸　侑太朗.1,5,粟田 祥,粟田 祥.1,6,仲本 舜,仲本 舜.1
2.0,3.0,12.5,1.0,3.0,70.8,1.0,2.0,12.1,1.0,2.0,183.2,1.0,2.0,626.8,1.0,2.0,1775.0
2.0,4.0,36.6,1.0,4.0,171.3,1.0,4.0,9.5,1.0,3.0,83.6,1.0,3.0,281.5,1.0,3.0,1008.0
2.0,5.0,84.4,1.0,5.0,349.7,1.0,5.0,18.2,1.0,5.0,183.8,1.0,4.0,652.3,1.0,4.0,2605.0
2.0,6.0,172.7,1.0,6.0,544.3,1.0,6.0,40.3,1.0,6.0,311.2,1.0,6.0,1245.0,1.0,5.0,3110.0
3.0,2.0,5.7,3.0,1.0,88.7,2.0,1.0,41.4,2.0,1.0,393.3,2.0,1.0,1242.0,2.0,1.0,2656.0
3.0,4.0,5.8,3.0,4.0,172.0,2.0,4.0,67.5,2.0,3.0,344.3,2.0,3.0,1047.0,2.0,3.0,2729.0
3.0,5.0,14.0,3.0,5.0,280.1,2.0,5.0,103.3,2.0,5.0,792.8,2.0,4.0,1637.0,2.0,4.0,3820.0
3.0,6.0,34.9,3.0,6.0,522.3,2.0,6.0,182.6,2.0,6.0,1053.0,2.0,6.0,2639.0,2.0,5.0,4136.0
4.0,2.0,52.5,4.0,1.0,321.2,4.0,1.0,23.4,3.0,1.0,97.3,3.0,1.0,356.9,3.0,1.0,1020.0
4.0,3.0,24.7,4.0,3.0,300.2,4.0,2.0,48.0,3.0,2.0,188.7,3.0,2.0,701.3,3.0,2.0,2180.0
4.0,5.0,86.6,4.0,5.0,742.9,4.0,5.0,41.6,3.0,5.0,158.5,3.0,4.0,533.5,3.0,4.0,1549.0
4.0,6.0,181.0,4.0,6.0,1010.0,4.0,6.0,72.9,3.0,6.0,250.5,3.0,6.0,1169.0,3.0,5.0,1791.0
5.0,2.0,184.4,5.0,1.0,883.6,5.0,1.0,62.7,5.0,1.0,339.1,4.0,1.0,815.4,4.0,1.0,2747.0
5.0,3.0,80.5,5.0,3.0,747.1,5.0,2.0,134.0,5.0,2.0,618.1,4.0,2.0,1269.0,4.0,2.0,3714.0
5.0,4.0,190.8,5.0,4.0,1169.0,5.0,4.0,87.3,5.0,3.0,297.8,4.0,3.0,665.3,4.0,3.0,1685.0
5.0,6.0,397.6,5.0,6.0,1598.0,5.0,6.0,149.2,5.0,6.0,548.8,4.0,6.0,1355.0,4.0,5.0,3134.0
6.0,2.0,485.7,6.0,1.0,1549.0,6.0,1.0,163.4,6.0,1.0,736.1,6.0,1.0,2571.0,5.0,1.0,3343.0
6.0,3.0,236.1,6.0,3.0,1485.0,6.0,2.0,340.2,6.0,2.0,1208.0,6.0,2.0,3550.0,5.0,2.0,4611.0
6.0,4.0,443.3,6.0,4.0,2241.0,6.0,4.0,215.2,6.0,3.0,728.1,6.0,3.0,2346.0,5.0,3.0,3110.0
6.0,5.0,573.1,6.0,5.0,2674.0,6.0,5.0,256.6,6.0,5.0,1053.0,6.0,4.0,2766.0,5.0,4.0,3371.0
