1,赤峰 和也,赤峰 和也.1,2,後藤 陽介,後藤 陽介.1,3,天野 誠,天野 誠.1,4,渡邉 英児,渡邉 英児.1,5,柴田 光,柴田 光.1,6,松村 敏,松村 敏.1
2.0,3.0,127.8,1.0,3.0,192.6,1.0,2.0,456.0,1.0,2.0,123.0,1.0,2.0,110.2,1.0,2.0,221.8
2.0,4.0,71.0,1.0,4.0,95.2,1.0,4.0,301.7,1.0,3.0,243.1,1.0,3.0,296.5,1.0,3.0,517.0
2.0,5.0,75.3,1.0,5.0,96.9,1.0,5.0,454.5,1.0,5.0,58.0,1.0,4.0,79.0,1.0,4.0,117.5
2.0,6.0,71.2,1.0,6.0,89.1,1.0,6.0,445.8,1.0,6.0,53.0,1.0,6.0,57.9,1.0,5.0,146.5
3.0,2.0,169.2,3.0,1.0,426.6,2.0,1.0,620.9,2.0,1.0,121.5,2.0,1.0,131.9,2.0,1.0,244.4
3.0,4.0,115.8,3.0,4.0,278.7,2.0,4.0,491.4,2.0,3.0,323.4,2.0,3.0,289.7,2.0,3.0,421.4
3.0,5.0,173.2,3.0,5.0,285.6,2.0,5.0,434.6,2.0,5.0,57.0,2.0,4.0,70.1,2.0,4.0,131.7
3.0,6.0,166.5,3.0,6.0,248.8,2.0,6.0,380.0,2.0,6.0,50.6,2.0,6.0,48.9,2.0,5.0,128.0
4.0,2.0,66.2,4.0,1.0,135.6,4.0,1.0,659.1,3.0,1.0,363.1,3.0,1.0,602.1,3.0,1.0,681.8
4.0,3.0,104.6,4.0,3.0,293.4,4.0,2.0,537.0,3.0,2.0,481.2,3.0,2.0,507.6,3.0,2.0,607.3
4.0,5.0,33.5,4.0,5.0,67.1,4.0,5.0,384.2,3.0,5.0,300.4,3.0,4.0,319.0,3.0,4.0,547.6
4.0,6.0,30.5,4.0,6.0,68.4,4.0,6.0,340.9,3.0,6.0,238.5,3.0,6.0,221.1,3.0,5.0,500.3
5.0,2.0,80.6,5.0,1.0,136.4,5.0,1.0,586.8,5.0,1.0,40.8,4.0,1.0,73.2,4.0,1.0,61.2
5.0,3.0,158.7,5.0,3.0,280.4,5.0,2.0,526.8,5.0,2.0,38.0,4.0,2.0,58.2,4.0,2.0,86.1
5.0,4.0,49.1,5.0,4.0,75.7,5.0,4.0,395.1,5.0,3.0,146.7,4.0,3.0,195.3,4.0,3.0,273.2
5.0,6.0,38.2,5.0,6.0,58.3,5.0,6.0,316.8,5.0,6.0,11.3,4.0,6.0,20.4,4.0,5.0,23.2
6.0,2.0,102.5,6.0,1.0,197.2,6.0,1.0,716.9,6.0,1.0,41.0,6.0,1.0,62.1,5.0,1.0,79.1
6.0,3.0,192.3,6.0,3.0,297.2,6.0,2.0,522.8,6.0,2.0,39.8,6.0,2.0,47.3,5.0,2.0,96.8
6.0,4.0,41.8,6.0,4.0,99.5,6.0,4.0,417.6,6.0,3.0,138.3,6.0,3.0,136.0,5.0,3.0,258.5
6.0,5.0,52.9,6.0,5.0,87.4,6.0,5.0,411.5,6.0,5.0,14.5,6.0,4.0,24.9,5.0,4.0,25.1
