1,石川 吉鎬,石川 吉鎬.1,2,杉山 貴博,杉山 貴博.1,3,向後 龍一,向後 龍一.1,4,大神 康司,大神 康司.1,5,深澤 達徳,深澤 達徳.1,6,木村 仁紀,木村 仁紀.1
2.0,3.0,10.4,1.0,3.0,21.6,1.0,2.0,60.6,1.0,2.0,82.1,1.0,2.0,227.1,1.0,2.0,546.8
2.0,4.0,14.2,1.0,4.0,36.9,1.0,4.0,83.4,1.0,3.0,112.7,1.0,3.0,259.4,1.0,3.0,651.9
2.0,5.0,19.4,1.0,5.0,31.2,1.0,5.0,74.1,1.0,5.0,134.7,1.0,4.0,326.1,1.0,4.0,951.5
2.0,6.0,32.2,1.0,6.0,45.0,1.0,6.0,87.7,1.0,6.0,182.3,1.0,6.0,346.0,1.0,5.0,1002.0
3.0,2.0,16.1,3.0,1.0,35.1,2.0,1.0,66.1,2.0,1.0,129.1,2.0,1.0,252.8,2.0,1.0,692.2
3.0,4.0,22.2,3.0,4.0,68.7,2.0,4.0,107.9,2.0,3.0,206.9,2.0,3.0,268.2,2.0,3.0,513.3
3.0,5.0,25.8,3.0,5.0,36.3,2.0,5.0,67.9,2.0,5.0,268.5,2.0,4.0,484.8,2.0,4.0,1036.0
3.0,6.0,45.0,3.0,6.0,41.9,2.0,6.0,71.2,2.0,6.0,316.2,2.0,6.0,341.4,2.0,5.0,887.9
4.0,2.0,18.8,4.0,1.0,86.1,4.0,1.0,146.6,3.0,1.0,222.1,3.0,1.0,252.2,3.0,1.0,700.7
4.0,3.0,26.0,4.0,3.0,129.4,4.0,2.0,176.2,3.0,2.0,229.5,3.0,2.0,264.3,3.0,2.0,522.8
4.0,5.0,36.1,4.0,5.0,161.1,4.0,5.0,217.6,3.0,5.0,305.2,3.0,4.0,421.8,3.0,4.0,913.3
4.0,6.0,61.9,4.0,6.0,181.9,4.0,6.0,213.7,3.0,6.0,364.6,3.0,6.0,264.5,3.0,5.0,664.7
5.0,2.0,42.4,5.0,1.0,71.3,5.0,1.0,84.1,5.0,1.0,301.0,4.0,1.0,500.0,4.0,1.0,1276.0
5.0,3.0,52.0,5.0,3.0,69.2,5.0,2.0,94.1,5.0,2.0,425.6,4.0,2.0,697.7,4.0,2.0,1241.0
5.0,4.0,62.8,5.0,4.0,149.5,5.0,4.0,153.2,5.0,3.0,434.4,4.0,3.0,666.1,4.0,3.0,1224.0
5.0,6.0,83.9,5.0,6.0,94.9,5.0,6.0,79.3,5.0,6.0,451.8,4.0,6.0,721.4,4.0,5.0,1232.0
6.0,2.0,115.6,6.0,1.0,140.5,6.0,1.0,142.1,6.0,1.0,576.7,6.0,1.0,569.5,5.0,1.0,1125.0
6.0,3.0,135.9,6.0,3.0,121.1,6.0,2.0,139.5,6.0,2.0,691.6,6.0,2.0,547.3,5.0,2.0,977.3
6.0,4.0,157.1,6.0,4.0,258.6,6.0,4.0,230.1,6.0,3.0,714.9,6.0,3.0,445.6,5.0,3.0,769.6
6.0,5.0,161.3,6.0,5.0,166.0,6.0,5.0,122.7,6.0,5.0,652.2,6.0,4.0,712.4,5.0,4.0,1256.0
