1,今井 美亜,今井 美亜.1,2,冨名腰　桃奈,冨名腰　桃奈.1,3,赤澤 文香,赤澤 文香.1,4,金田 幸子,金田 幸子.1,5,川野 芽唯,川野 芽唯.1,6,藤堂 里香,藤堂 里香.1
2.0,3.0,21.3,1.0,3.0,105.8,1.0,2.0,330.3,1.0,2.0,114.0,1.0,2.0,60.8,1.0,2.0,281.1
2.0,4.0,10.3,1.0,4.0,53.2,1.0,4.0,291.2,1.0,3.0,293.5,1.0,3.0,188.9,1.0,3.0,598.3
2.0,5.0,7.7,1.0,5.0,43.5,1.0,5.0,244.0,1.0,5.0,57.5,1.0,4.0,52.7,1.0,4.0,369.3
2.0,6.0,25.8,1.0,6.0,97.5,1.0,6.0,555.1,1.0,6.0,161.3,1.0,6.0,95.9,1.0,5.0,320.9
3.0,2.0,32.6,3.0,1.0,293.7,2.0,1.0,458.1,2.0,1.0,217.8,2.0,1.0,136.6,2.0,1.0,413.5
3.0,4.0,28.4,3.0,4.0,440.5,2.0,4.0,616.3,2.0,3.0,710.1,2.0,3.0,603.2,2.0,3.0,1105.0
3.0,5.0,26.3,3.0,5.0,431.5,2.0,5.0,581.2,2.0,5.0,221.6,2.0,4.0,239.8,2.0,4.0,710.9
3.0,6.0,64.7,3.0,6.0,652.7,2.0,6.0,881.7,2.0,6.0,504.1,2.0,6.0,353.5,2.0,5.0,587.5
4.0,2.0,14.7,4.0,1.0,139.3,4.0,1.0,566.6,3.0,1.0,644.3,3.0,1.0,508.0,3.0,1.0,1124.0
4.0,3.0,33.3,4.0,3.0,423.4,4.0,2.0,847.4,3.0,2.0,1045.0,3.0,2.0,898.7,3.0,2.0,1358.0
4.0,5.0,10.9,4.0,5.0,151.0,4.0,5.0,622.2,3.0,5.0,723.5,3.0,4.0,850.7,3.0,4.0,1751.0
4.0,6.0,30.6,4.0,6.0,327.4,4.0,6.0,1053.0,3.0,6.0,1065.0,3.0,6.0,1190.0,3.0,5.0,1877.0
5.0,2.0,11.6,5.0,1.0,92.1,5.0,1.0,438.1,5.0,1.0,69.2,4.0,1.0,88.6,4.0,1.0,775.0
5.0,3.0,28.4,5.0,3.0,350.5,5.0,2.0,790.9,5.0,2.0,160.9,4.0,2.0,217.4,4.0,2.0,1164.0
5.0,4.0,12.8,5.0,4.0,145.2,5.0,4.0,675.6,5.0,3.0,366.8,4.0,3.0,511.2,4.0,3.0,1866.0
5.0,6.0,23.1,5.0,6.0,211.9,5.0,6.0,989.9,5.0,6.0,145.6,4.0,6.0,205.8,4.0,5.0,714.8
6.0,2.0,58.1,6.0,1.0,303.6,6.0,1.0,1144.0,6.0,1.0,390.2,6.0,1.0,256.1,5.0,1.0,533.3
6.0,3.0,130.5,6.0,3.0,679.1,6.0,2.0,1311.0,6.0,2.0,684.1,6.0,2.0,486.4,5.0,2.0,885.3
6.0,4.0,77.3,6.0,4.0,514.4,6.0,4.0,1617.0,6.0,3.0,1187.0,6.0,3.0,1047.0,5.0,3.0,1710.0
6.0,5.0,54.2,6.0,5.0,388.4,6.0,5.0,1432.0,6.0,5.0,352.4,6.0,4.0,338.8,5.0,4.0,683.4
