1,平野 和明,平野 和明.1,2,秋元 哲,秋元 哲.1,3,林 恵祐,林 恵祐.1,4,梶野 学志,梶野 学志.1,5,嶋田 有里,嶋田 有里.1,6,坂元 浩仁,坂元 浩仁.1
2.0,3.0,18.4,1.0,3.0,32.9,1.0,2.0,167.3,1.0,2.0,39.7,1.0,2.0,971.2,1.0,2.0,111.7
2.0,4.0,7.2,1.0,4.0,10.4,1.0,4.0,212.4,1.0,3.0,127.4,1.0,3.0,1482.0,1.0,3.0,305.2
2.0,5.0,97.4,1.0,5.0,98.8,1.0,5.0,593.5,1.0,5.0,193.0,1.0,4.0,973.8,1.0,4.0,144.9
2.0,6.0,11.3,1.0,6.0,15.3,1.0,6.0,206.1,1.0,6.0,43.6,1.0,6.0,879.5,1.0,5.0,698.5
3.0,2.0,38.8,3.0,1.0,87.6,2.0,1.0,196.0,2.0,1.0,44.9,2.0,1.0,1094.0,2.0,1.0,120.2
3.0,4.0,40.5,3.0,4.0,89.8,2.0,4.0,196.1,2.0,3.0,142.7,2.0,3.0,1984.0,2.0,3.0,254.1
3.0,5.0,152.8,3.0,5.0,265.7,2.0,5.0,671.4,2.0,5.0,207.6,2.0,4.0,1110.0,2.0,4.0,134.3
3.0,6.0,51.7,3.0,6.0,116.4,2.0,6.0,228.1,2.0,6.0,49.2,2.0,6.0,908.1,2.0,5.0,686.6
4.0,2.0,13.7,4.0,1.0,27.3,4.0,1.0,290.8,3.0,1.0,269.6,3.0,1.0,2006.0,3.0,1.0,444.0
4.0,3.0,40.1,4.0,3.0,78.0,4.0,2.0,253.6,3.0,2.0,248.4,3.0,2.0,2328.0,3.0,2.0,572.9
4.0,5.0,120.8,4.0,5.0,172.3,4.0,5.0,670.1,3.0,5.0,521.1,3.0,4.0,2075.0,3.0,4.0,655.6
4.0,6.0,19.5,4.0,6.0,28.9,4.0,6.0,278.3,3.0,6.0,277.4,3.0,6.0,1643.0,3.0,5.0,1673.0
5.0,2.0,315.3,5.0,1.0,405.4,5.0,1.0,1355.0,5.0,1.0,265.5,4.0,1.0,981.7,4.0,1.0,166.3
5.0,3.0,368.4,5.0,3.0,617.7,5.0,2.0,1274.0,5.0,2.0,261.3,4.0,2.0,1000.0,4.0,2.0,159.1
5.0,4.0,332.6,5.0,4.0,418.0,5.0,4.0,1252.0,5.0,3.0,597.4,4.0,3.0,1963.0,4.0,3.0,486.9
5.0,6.0,333.5,5.0,6.0,393.5,5.0,6.0,1223.0,5.0,6.0,220.0,4.0,6.0,653.3,4.0,5.0,514.5
6.0,2.0,31.0,6.0,1.0,47.7,6.0,1.0,335.0,6.0,1.0,55.9,6.0,1.0,1000.0,5.0,1.0,1325.0
6.0,3.0,86.1,6.0,3.0,129.3,6.0,2.0,336.9,6.0,2.0,53.5,6.0,2.0,1090.0,5.0,2.0,1355.0
6.0,4.0,37.6,6.0,4.0,47.9,6.0,4.0,372.5,6.0,3.0,187.1,6.0,3.0,1558.0,5.0,3.0,1862.0
6.0,5.0,213.7,6.0,5.0,246.7,6.0,5.0,943.4,6.0,5.0,168.7,6.0,4.0,748.9,5.0,4.0,848.7
