1,大原 祥昌,大原 祥昌.1,2,向後 龍一,向後 龍一.1,3,板橋 侑我,板橋 侑我.1,4,山本 修一,山本 修一.1,5,川崎 智稔,川崎 智稔.1,6,飯山 晃三,飯山 晃三.1
2.0,3.0,10.3,1.0,3.0,35.4,1.0,2.0,94.3,1.0,2.0,44.9,1.0,2.0,159.7,1.0,2.0,1921.0
2.0,4.0,8.7,1.0,4.0,27.1,1.0,4.0,65.1,1.0,3.0,58.5,1.0,3.0,191.0,1.0,3.0,3049.0
2.0,5.0,18.2,1.0,5.0,57.8,1.0,5.0,105.9,1.0,5.0,42.5,1.0,4.0,137.8,1.0,4.0,1499.0
2.0,6.0,162.5,1.0,6.0,254.8,1.0,6.0,426.0,1.0,6.0,156.0,1.0,6.0,385.5,1.0,5.0,2209.0
3.0,2.0,17.8,3.0,1.0,92.0,2.0,1.0,158.4,2.0,1.0,68.2,2.0,1.0,285.3,2.0,1.0,3024.0
3.0,4.0,14.1,3.0,4.0,65.5,2.0,4.0,93.8,2.0,3.0,76.2,2.0,3.0,499.2,2.0,3.0,3024.0
3.0,5.0,24.2,3.0,5.0,166.8,2.0,5.0,239.7,2.0,5.0,87.0,2.0,4.0,291.4,2.0,4.0,2038.0
3.0,6.0,213.0,3.0,6.0,586.5,2.0,6.0,663.6,2.0,6.0,232.1,2.0,6.0,791.7,2.0,5.0,2951.0
4.0,2.0,11.9,4.0,1.0,52.8,4.0,1.0,118.2,3.0,1.0,112.7,3.0,1.0,381.5,3.0,1.0,3480.0
4.0,3.0,15.0,4.0,3.0,62.6,4.0,2.0,95.3,3.0,2.0,107.1,3.0,2.0,709.5,3.0,2.0,3843.0
4.0,5.0,16.7,4.0,5.0,96.2,4.0,5.0,160.5,3.0,5.0,150.4,3.0,4.0,353.7,3.0,4.0,3153.0
4.0,6.0,126.5,4.0,6.0,321.9,4.0,6.0,504.0,3.0,6.0,466.4,3.0,6.0,1493.0,3.0,5.0,4099.0
5.0,2.0,30.4,5.0,1.0,155.3,5.0,1.0,258.7,5.0,1.0,52.7,4.0,1.0,145.4,4.0,1.0,1941.0
5.0,3.0,35.5,5.0,3.0,223.3,5.0,2.0,401.9,5.0,2.0,67.2,4.0,2.0,202.5,4.0,2.0,2712.0
5.0,4.0,33.5,5.0,4.0,167.7,5.0,4.0,239.7,5.0,3.0,98.0,4.0,3.0,242.9,4.0,3.0,3324.0
5.0,6.0,175.0,5.0,6.0,624.3,5.0,6.0,1118.0,5.0,6.0,107.9,4.0,6.0,255.5,4.0,5.0,1351.0
6.0,2.0,484.2,6.0,1.0,1054.0,6.0,1.0,1057.0,6.0,1.0,333.9,6.0,1.0,823.5,5.0,1.0,2411.0
6.0,3.0,677.0,6.0,3.0,1854.0,6.0,2.0,1550.0,6.0,2.0,431.0,6.0,2.0,1149.0,5.0,2.0,2527.0
6.0,4.0,459.4,6.0,4.0,1242.0,6.0,4.0,1392.0,6.0,3.0,572.9,6.0,3.0,1692.0,5.0,3.0,4145.0
6.0,5.0,508.2,6.0,5.0,1435.0,6.0,5.0,1892.0,6.0,5.0,290.5,6.0,4.0,742.3,5.0,4.0,1430.0
