1,江本 真治,江本 真治.1,2,平池 仁志,平池 仁志.1,3,村上 純,村上 純.1,4,横井 光弘,横井 光弘.1,5,川原 正明,川原 正明.1,6,立間 充宏,立間 充宏.1
2.0,3.0,39.4,1.0,3.0,196.7,1.0,2.0,154.9,1.0,2.0,382.0,1.0,2.0,137.3,1.0,2.0,58.3
2.0,4.0,48.4,1.0,4.0,297.0,1.0,4.0,166.6,1.0,3.0,477.8,1.0,3.0,109.4,1.0,3.0,44.2
2.0,5.0,42.8,1.0,5.0,244.4,1.0,5.0,75.5,1.0,5.0,258.0,1.0,4.0,131.3,1.0,4.0,48.3
2.0,6.0,26.2,1.0,6.0,165.1,1.0,6.0,57.8,1.0,6.0,177.9,1.0,6.0,44.9,1.0,5.0,30.2
3.0,2.0,35.3,3.0,1.0,417.4,2.0,1.0,432.4,2.0,1.0,683.2,2.0,1.0,332.3,2.0,1.0,163.5
3.0,4.0,38.7,3.0,4.0,1041.0,2.0,4.0,881.8,2.0,3.0,1273.0,2.0,3.0,575.8,2.0,3.0,317.7
3.0,5.0,15.9,3.0,5.0,560.4,2.0,5.0,502.0,2.0,5.0,920.6,2.0,4.0,717.0,2.0,4.0,285.4
3.0,6.0,12.5,3.0,6.0,447.9,2.0,6.0,410.4,2.0,6.0,572.3,2.0,6.0,268.9,2.0,5.0,241.0
4.0,2.0,72.8,4.0,1.0,819.0,4.0,1.0,545.7,3.0,1.0,897.2,3.0,1.0,206.6,3.0,1.0,88.4
4.0,3.0,72.9,4.0,3.0,1400.0,4.0,2.0,1064.0,3.0,2.0,1458.0,3.0,2.0,488.6,3.0,2.0,257.2
4.0,5.0,62.4,4.0,5.0,1273.0,4.0,5.0,604.2,3.0,5.0,1024.0,3.0,4.0,538.5,3.0,4.0,234.1
4.0,6.0,35.9,4.0,6.0,761.6,4.0,6.0,454.0,3.0,6.0,654.7,3.0,6.0,150.2,3.0,5.0,108.1
5.0,2.0,40.6,5.0,1.0,438.1,5.0,1.0,150.7,5.0,1.0,283.7,4.0,1.0,261.5,4.0,1.0,106.3
5.0,3.0,24.0,5.0,3.0,765.7,5.0,2.0,432.7,5.0,2.0,621.5,4.0,2.0,548.9,4.0,2.0,241.0
5.0,4.0,47.6,5.0,4.0,1161.0,5.0,4.0,410.7,5.0,3.0,844.8,4.0,3.0,665.5,4.0,3.0,261.5
5.0,6.0,13.6,5.0,6.0,358.0,5.0,6.0,113.3,5.0,6.0,187.5,4.0,6.0,165.4,4.0,5.0,133.3
6.0,2.0,23.1,6.0,1.0,281.6,6.0,1.0,88.1,6.0,1.0,208.9,6.0,1.0,42.9,5.0,1.0,41.3
6.0,3.0,14.3,6.0,3.0,492.0,6.0,2.0,250.3,6.0,2.0,451.1,6.0,2.0,121.5,5.0,2.0,128.8
6.0,4.0,22.1,6.0,4.0,613.4,6.0,4.0,266.9,6.0,3.0,519.1,6.0,3.0,87.6,5.0,3.0,80.8
6.0,5.0,13.2,6.0,5.0,378.0,6.0,5.0,103.5,6.0,5.0,201.6,6.0,4.0,77.9,5.0,4.0,79.2
