1,森 悠稀,森 悠稀.1,2,魚谷 香織,魚谷 香織.1,3,稗田 聖也,稗田 聖也.1,4,坂井 康嗣,坂井 康嗣.1,5,林 祐介,林 祐介.1,6,松崎　祐太郎,松崎　祐太郎.1
2.0,3.0,5.9,1.0,3.0,22.3,1.0,2.0,71.1,1.0,2.0,245.0,1.0,2.0,335.0,1.0,2.0,72.6
2.0,4.0,24.5,1.0,4.0,62.6,1.0,4.0,129.2,1.0,3.0,333.9,1.0,3.0,472.4,1.0,3.0,113.6
2.0,5.0,13.7,1.0,5.0,40.1,1.0,5.0,103.2,1.0,5.0,287.8,1.0,4.0,798.1,1.0,4.0,280.0
2.0,6.0,9.3,1.0,6.0,26.0,1.0,6.0,71.5,1.0,6.0,280.7,1.0,6.0,363.1,1.0,5.0,213.2
3.0,2.0,9.0,3.0,1.0,87.5,2.0,1.0,120.1,2.0,1.0,498.0,2.0,1.0,460.8,2.0,1.0,117.8
3.0,4.0,27.0,3.0,4.0,416.4,2.0,4.0,485.7,2.0,3.0,932.6,2.0,3.0,1255.0,2.0,3.0,212.1
3.0,5.0,16.3,3.0,5.0,271.2,2.0,5.0,309.3,2.0,5.0,764.2,2.0,4.0,1791.0,2.0,4.0,456.4
3.0,6.0,13.5,3.0,6.0,165.7,2.0,6.0,169.4,2.0,6.0,530.4,2.0,6.0,792.3,2.0,5.0,358.0
4.0,2.0,43.4,4.0,1.0,291.3,4.0,1.0,278.7,3.0,1.0,669.4,3.0,1.0,690.9,3.0,1.0,211.8
4.0,3.0,62.9,4.0,3.0,728.1,4.0,2.0,463.8,3.0,2.0,920.7,3.0,2.0,1375.0,3.0,2.0,287.8
4.0,5.0,75.2,4.0,5.0,747.0,4.0,5.0,459.8,3.0,5.0,988.1,3.0,4.0,1953.0,3.0,4.0,697.6
4.0,6.0,64.4,4.0,6.0,490.7,4.0,6.0,371.6,3.0,6.0,765.6,3.0,6.0,972.5,3.0,5.0,623.1
5.0,2.0,35.9,5.0,1.0,173.4,5.0,1.0,240.1,5.0,1.0,548.6,4.0,1.0,1063.0,4.0,1.0,603.0
5.0,3.0,50.9,5.0,3.0,467.3,5.0,2.0,452.1,5.0,2.0,861.9,4.0,2.0,1509.0,4.0,2.0,753.6
5.0,4.0,122.1,5.0,4.0,914.8,5.0,4.0,616.0,5.0,3.0,1130.0,4.0,3.0,1945.0,4.0,3.0,895.8
5.0,6.0,55.1,5.0,6.0,353.6,5.0,6.0,341.8,5.0,6.0,499.2,4.0,6.0,992.6,4.0,5.0,988.1
6.0,2.0,23.0,6.0,1.0,101.4,6.0,1.0,154.0,6.0,1.0,451.6,6.0,1.0,533.7,5.0,1.0,420.8
6.0,3.0,34.3,6.0,3.0,227.3,6.0,2.0,273.1,6.0,2.0,606.4,6.0,2.0,830.4,5.0,2.0,571.9
6.0,4.0,94.4,6.0,4.0,475.5,6.0,4.0,487.3,6.0,3.0,855.0,6.0,3.0,1074.0,5.0,3.0,789.4
6.0,5.0,67.2,6.0,5.0,360.1,6.0,5.0,411.6,6.0,5.0,609.0,6.0,4.0,1104.0,5.0,4.0,846.7
