1,仲本 舜,仲本 舜.1,2,三原 司,三原 司.1,3,黒井 達矢,黒井 達矢.1,4,重成 一人,重成 一人.1,5,岡村 慶太,岡村 慶太.1,6,桂林 寛,桂林 寛.1
2.0,3.0,111.4,1.0,3.0,166.6,1.0,2.0,153.6,1.0,2.0,173.8,1.0,2.0,196.9,1.0,2.0,1370.0
2.0,4.0,133.0,1.0,4.0,172.3,1.0,4.0,59.4,1.0,3.0,98.4,1.0,3.0,99.2,1.0,3.0,1397.0
2.0,5.0,126.8,1.0,5.0,166.6,1.0,5.0,54.1,1.0,5.0,69.2,1.0,4.0,114.5,1.0,4.0,1518.0
2.0,6.0,394.3,1.0,6.0,650.6,1.0,6.0,282.9,1.0,6.0,203.1,1.0,6.0,220.9,1.0,5.0,1238.0
3.0,2.0,100.9,3.0,1.0,174.7,2.0,1.0,162.2,2.0,1.0,209.7,2.0,1.0,207.3,2.0,1.0,1764.0
3.0,4.0,54.9,3.0,4.0,72.8,2.0,4.0,57.6,2.0,3.0,102.2,2.0,3.0,80.0,2.0,3.0,2241.0
3.0,5.0,45.9,3.0,5.0,66.3,2.0,5.0,48.4,2.0,5.0,74.1,2.0,4.0,97.1,2.0,4.0,2139.0
3.0,6.0,276.2,3.0,6.0,375.4,2.0,6.0,247.6,2.0,6.0,231.8,2.0,6.0,262.4,2.0,5.0,1721.0
4.0,2.0,126.2,4.0,1.0,203.7,4.0,1.0,48.0,3.0,1.0,74.7,3.0,1.0,74.3,3.0,1.0,1604.0
4.0,3.0,63.7,4.0,3.0,96.7,4.0,2.0,45.2,3.0,2.0,72.0,3.0,2.0,64.4,3.0,2.0,2107.0
4.0,5.0,56.3,4.0,5.0,78.4,4.0,5.0,12.2,3.0,5.0,16.9,3.0,4.0,23.2,3.0,4.0,669.1
4.0,6.0,284.6,4.0,6.0,326.0,4.0,6.0,62.9,3.0,6.0,76.4,3.0,6.0,93.6,3.0,5.0,659.7
5.0,2.0,150.1,5.0,1.0,193.4,5.0,1.0,44.0,5.0,1.0,34.9,4.0,1.0,56.6,4.0,1.0,1641.0
5.0,3.0,74.1,5.0,3.0,81.6,5.0,2.0,38.8,5.0,2.0,29.9,4.0,2.0,50.9,4.0,2.0,1534.0
5.0,4.0,79.0,5.0,4.0,86.9,5.0,4.0,14.3,5.0,3.0,13.5,4.0,3.0,19.5,4.0,3.0,688.7
5.0,6.0,251.2,5.0,6.0,337.7,5.0,6.0,58.2,5.0,6.0,25.3,4.0,6.0,40.0,4.0,5.0,278.4
6.0,2.0,1001.0,6.0,1.0,1227.0,6.0,1.0,585.8,6.0,1.0,371.5,6.0,1.0,287.5,5.0,1.0,1103.0
6.0,3.0,855.6,6.0,3.0,1069.0,6.0,2.0,497.1,6.0,2.0,349.4,6.0,2.0,381.5,5.0,2.0,1283.0
6.0,4.0,840.3,6.0,4.0,855.6,6.0,4.0,225.1,6.0,3.0,201.9,6.0,3.0,208.8,5.0,3.0,692.0
6.0,5.0,485.1,6.0,5.0,928.8,6.0,5.0,178.0,6.0,5.0,101.4,6.0,4.0,126.8,5.0,4.0,275.2
