1,岡村 慶太,岡村 慶太.1,2,溝口　海義也,溝口　海義也.1,3,中島 真二,中島 真二.1,4,奈須 啓太,奈須 啓太.1,5,大庭 元明,大庭 元明.1,6,水摩 敦,水摩 敦.1
2.0,3.0,12.5,1.0,3.0,107.2,1.0,2.0,336.1,1.0,2.0,36.9,1.0,2.0,267.7,1.0,2.0,156.8
2.0,4.0,4.9,1.0,4.0,41.2,1.0,4.0,397.9,1.0,3.0,170.6,1.0,3.0,800.7,1.0,3.0,392.6
2.0,5.0,22.5,1.0,5.0,141.2,1.0,5.0,574.1,1.0,5.0,52.5,1.0,4.0,311.1,1.0,4.0,178.0
2.0,6.0,11.4,1.0,6.0,69.5,1.0,6.0,503.9,1.0,6.0,37.7,1.0,6.0,264.3,1.0,5.0,467.3
3.0,2.0,28.1,3.0,1.0,386.2,2.0,1.0,538.4,2.0,1.0,79.7,2.0,1.0,755.9,2.0,1.0,246.6
3.0,4.0,27.8,3.0,4.0,536.2,2.0,4.0,876.5,2.0,3.0,386.2,2.0,3.0,2398.0,2.0,3.0,568.0
3.0,5.0,67.5,3.0,5.0,991.8,2.0,5.0,1238.0,2.0,5.0,139.0,2.0,4.0,1042.0,2.0,4.0,313.3
3.0,6.0,54.8,3.0,6.0,748.4,2.0,6.0,995.6,2.0,6.0,100.6,2.0,6.0,995.6,2.0,5.0,838.9
4.0,2.0,7.3,4.0,1.0,101.4,4.0,1.0,751.6,3.0,1.0,620.8,3.0,1.0,1685.0,3.0,1.0,1022.0
4.0,3.0,23.3,4.0,3.0,392.3,4.0,2.0,1162.0,3.0,2.0,828.3,3.0,2.0,2915.0,3.0,2.0,1335.0
4.0,5.0,23.9,4.0,5.0,379.9,4.0,5.0,1529.0,3.0,5.0,971.7,3.0,4.0,2720.0,3.0,4.0,1473.0
4.0,6.0,12.6,4.0,6.0,182.8,4.0,6.0,1032.0,3.0,6.0,681.7,3.0,6.0,2304.0,3.0,5.0,2189.0
5.0,2.0,52.6,5.0,1.0,576.7,5.0,1.0,1312.0,5.0,1.0,69.4,4.0,1.0,259.4,4.0,1.0,246.1
5.0,3.0,127.1,5.0,3.0,1589.0,5.0,2.0,2304.0,5.0,2.0,106.3,4.0,2.0,380.7,4.0,2.0,379.0
5.0,4.0,60.8,5.0,4.0,917.7,5.0,4.0,2207.0,5.0,3.0,444.5,4.0,3.0,1377.0,4.0,3.0,1010.0
5.0,6.0,85.9,5.0,6.0,937.2,5.0,6.0,2102.0,5.0,6.0,75.4,4.0,6.0,274.1,4.0,5.0,576.0
6.0,2.0,35.5,6.0,1.0,251.3,6.0,1.0,1079.0,6.0,1.0,70.8,6.0,1.0,685.3,5.0,1.0,845.6
6.0,3.0,91.8,6.0,3.0,905.1,6.0,2.0,1511.0,6.0,2.0,94.1,6.0,2.0,880.9,5.0,2.0,1101.0
6.0,4.0,39.2,6.0,4.0,352.2,6.0,4.0,1426.0,6.0,3.0,365.4,6.0,3.0,1925.0,5.0,3.0,2045.0
6.0,5.0,103.9,6.0,5.0,789.9,6.0,5.0,2171.0,6.0,5.0,102.5,6.0,4.0,699.8,5.0,4.0,975.3
