1,大原 祥昌,大原 祥昌.1,2,坂井 滉哉,坂井 滉哉.1,3,上野 俊樹,上野 俊樹.1,4,大森 翼,大森 翼.1,5,加藤 優弥,加藤 優弥.1,6,飛田 江己,飛田 江己.1
2.0,3.0,29.8,1.0,3.0,206.7,1.0,2.0,142.4,1.0,2.0,185.5,1.0,2.0,289.3,1.0,2.0,143.3
2.0,4.0,46.0,1.0,4.0,271.2,1.0,4.0,69.5,1.0,3.0,111.4,1.0,3.0,114.3,1.0,3.0,76.4
2.0,5.0,48.9,1.0,5.0,245.4,1.0,5.0,42.9,1.0,5.0,73.8,1.0,4.0,154.1,1.0,4.0,105.5
2.0,6.0,43.3,1.0,6.0,225.1,1.0,6.0,40.4,1.0,6.0,58.4,1.0,6.0,80.0,1.0,5.0,71.8
3.0,2.0,30.1,3.0,1.0,338.7,2.0,1.0,324.4,2.0,1.0,354.8,2.0,1.0,570.1,2.0,1.0,427.2
3.0,4.0,15.6,3.0,4.0,542.5,2.0,4.0,302.2,2.0,3.0,498.0,2.0,3.0,939.8,2.0,3.0,687.1
3.0,5.0,12.6,3.0,5.0,498.9,2.0,5.0,419.8,2.0,5.0,405.8,2.0,4.0,867.1,2.0,4.0,714.1
3.0,6.0,11.7,3.0,6.0,421.0,2.0,6.0,314.6,2.0,6.0,327.3,2.0,6.0,638.9,2.0,5.0,737.6
4.0,2.0,52.8,4.0,1.0,488.0,4.0,1.0,136.4,3.0,1.0,202.1,3.0,1.0,193.5,3.0,1.0,168.9
4.0,3.0,20.4,4.0,3.0,690.4,4.0,2.0,338.0,3.0,2.0,495.5,3.0,2.0,732.0,3.0,2.0,507.6
4.0,5.0,33.5,4.0,5.0,660.6,4.0,5.0,146.6,3.0,5.0,233.2,3.0,4.0,410.3,3.0,4.0,316.7
4.0,6.0,22.7,4.0,6.0,537.5,4.0,6.0,111.4,3.0,6.0,169.0,3.0,6.0,185.3,3.0,5.0,191.1
5.0,2.0,62.0,5.0,1.0,588.6,5.0,1.0,88.5,5.0,1.0,80.5,4.0,1.0,171.3,4.0,1.0,177.8
5.0,3.0,22.3,5.0,3.0,776.9,5.0,2.0,312.2,5.0,2.0,216.9,4.0,2.0,512.0,4.0,2.0,498.0
5.0,4.0,48.3,5.0,4.0,904.8,5.0,4.0,167.7,5.0,3.0,144.3,4.0,3.0,373.0,4.0,3.0,336.0
5.0,6.0,25.2,5.0,6.0,592.2,5.0,6.0,72.2,5.0,6.0,49.2,4.0,6.0,110.4,4.0,5.0,145.3
6.0,2.0,53.2,6.0,1.0,438.1,6.0,1.0,82.3,6.0,1.0,72.6,6.0,1.0,98.4,5.0,1.0,91.3
6.0,3.0,23.3,6.0,3.0,682.3,6.0,2.0,269.0,6.0,2.0,212.3,6.0,2.0,396.9,5.0,2.0,434.2
6.0,4.0,37.4,6.0,4.0,719.4,6.0,4.0,142.6,6.0,3.0,129.9,6.0,3.0,147.0,5.0,3.0,174.9
6.0,5.0,31.7,6.0,5.0,619.9,6.0,5.0,85.0,6.0,5.0,57.8,6.0,4.0,110.8,5.0,4.0,139.3
