1,黒崎 竜也,黒崎 竜也.1,2,佐竹 太一,佐竹 太一.1,3,市川 猛,市川 猛.1,4,山本　稔太朗,山本　稔太朗.1,5,田中 駿兵,田中 駿兵.1,6,水原 慎,水原 慎.1
2.0,3.0,15.5,1.0,3.0,121.3,1.0,2.0,495.4,1.0,2.0,24.9,1.0,2.0,205.5,1.0,2.0,1086.0
2.0,4.0,4.2,1.0,4.0,40.4,1.0,4.0,452.0,1.0,3.0,141.0,1.0,3.0,570.6,1.0,3.0,1697.0
2.0,5.0,16.7,1.0,5.0,141.4,1.0,5.0,791.2,1.0,5.0,31.8,1.0,4.0,141.4,1.0,4.0,873.4
2.0,6.0,22.5,1.0,6.0,134.6,1.0,6.0,826.7,1.0,6.0,42.2,1.0,6.0,253.7,1.0,5.0,1523.0
3.0,2.0,42.3,3.0,1.0,421.9,2.0,1.0,698.4,2.0,1.0,56.9,2.0,1.0,459.5,2.0,1.0,1352.0
3.0,4.0,41.4,3.0,4.0,590.7,2.0,4.0,1144.0,2.0,3.0,354.0,2.0,3.0,1476.0,2.0,3.0,3394.0
3.0,5.0,100.3,3.0,5.0,1115.0,2.0,5.0,1994.0,2.0,5.0,146.8,2.0,4.0,529.3,2.0,4.0,1625.0
3.0,6.0,99.3,3.0,6.0,1367.0,2.0,6.0,2149.0,2.0,6.0,157.1,2.0,6.0,812.8,2.0,5.0,3224.0
4.0,2.0,5.0,4.0,1.0,95.2,4.0,1.0,854.1,3.0,1.0,503.8,3.0,1.0,1236.0,3.0,1.0,1906.0
4.0,3.0,23.8,4.0,3.0,418.7,4.0,2.0,1560.0,3.0,2.0,741.2,3.0,2.0,2330.0,3.0,2.0,4251.0
4.0,5.0,11.1,4.0,5.0,354.9,4.0,5.0,2198.0,3.0,5.0,825.0,3.0,4.0,1984.0,3.0,4.0,3948.0
4.0,6.0,15.9,4.0,6.0,318.9,4.0,6.0,2262.0,3.0,6.0,846.6,3.0,6.0,2173.0,3.0,5.0,4116.0
5.0,2.0,38.4,5.0,1.0,505.1,5.0,1.0,1190.0,5.0,1.0,53.1,4.0,1.0,184.2,4.0,1.0,1080.0
5.0,3.0,125.3,5.0,3.0,1298.0,5.0,2.0,2887.0,5.0,2.0,95.2,4.0,2.0,315.3,4.0,2.0,1660.0
5.0,4.0,35.3,5.0,4.0,818.0,5.0,4.0,2824.0,5.0,3.0,364.3,4.0,3.0,962.5,4.0,3.0,3095.0
5.0,6.0,86.0,5.0,6.0,1252.0,5.0,6.0,2632.0,5.0,6.0,84.8,4.0,6.0,281.8,4.0,5.0,1401.0
6.0,2.0,94.9,6.0,1.0,669.4,6.0,1.0,1244.0,6.0,1.0,107.8,6.0,1.0,592.5,5.0,1.0,1974.0
6.0,3.0,152.8,6.0,3.0,1298.0,6.0,2.0,3394.0,6.0,2.0,176.1,6.0,2.0,1012.0,5.0,2.0,2953.0
6.0,4.0,89.7,6.0,4.0,1045.0,6.0,4.0,2909.0,6.0,3.0,579.2,6.0,3.0,1560.0,5.0,3.0,3616.0
6.0,5.0,168.7,6.0,5.0,1860.0,6.0,5.0,2866.0,6.0,5.0,144.9,6.0,4.0,644.8,5.0,4.0,1667.0
