1,宮武 英司,宮武 英司.1,2,眞鳥 康太,眞鳥 康太.1,3,齊藤 優,齊藤 優.1,4,水原 慎,水原 慎.1,5,山田 理央,山田 理央.1,6,西原 明生,西原 明生.1
2.0,3.0,6.9,1.0,3.0,12.4,1.0,2.0,44.4,1.0,2.0,75.2,1.0,2.0,137.0,1.0,2.0,498.9
2.0,4.0,11.5,1.0,4.0,17.5,1.0,4.0,62.1,1.0,3.0,121.0,1.0,3.0,184.9,1.0,3.0,679.1
2.0,5.0,21.1,1.0,5.0,26.0,1.0,5.0,75.1,1.0,5.0,125.1,1.0,4.0,216.1,1.0,4.0,859.6
2.0,6.0,30.4,1.0,6.0,39.4,1.0,6.0,146.6,1.0,6.0,149.1,1.0,6.0,296.1,1.0,5.0,1020.0
3.0,2.0,10.3,3.0,1.0,39.0,2.0,1.0,89.2,2.0,1.0,89.6,2.0,1.0,207.3,2.0,1.0,633.0
3.0,4.0,18.7,3.0,4.0,70.6,2.0,4.0,180.6,2.0,3.0,218.3,2.0,3.0,427.4,2.0,3.0,1007.0
3.0,5.0,27.5,3.0,5.0,96.8,2.0,5.0,247.5,2.0,5.0,154.4,2.0,4.0,373.8,2.0,4.0,754.3
3.0,6.0,37.0,3.0,6.0,120.5,2.0,6.0,280.2,2.0,6.0,169.4,2.0,6.0,469.4,2.0,5.0,1479.0
4.0,2.0,28.2,4.0,1.0,45.8,4.0,1.0,170.3,3.0,1.0,251.2,3.0,1.0,405.6,3.0,1.0,1081.0
4.0,3.0,36.9,4.0,3.0,85.5,4.0,2.0,272.2,3.0,2.0,371.6,3.0,2.0,722.9,3.0,2.0,1485.0
4.0,5.0,57.1,4.0,5.0,88.6,4.0,5.0,415.7,3.0,5.0,581.8,3.0,4.0,904.5,3.0,4.0,1339.0
4.0,6.0,70.7,4.0,6.0,101.8,4.0,6.0,396.7,3.0,6.0,509.6,3.0,6.0,1239.0,3.0,5.0,1545.0
5.0,2.0,59.5,5.0,1.0,93.4,5.0,1.0,266.7,5.0,1.0,159.9,4.0,1.0,313.3,4.0,1.0,1031.0
5.0,3.0,76.5,5.0,3.0,160.8,5.0,2.0,472.4,5.0,2.0,173.5,4.0,2.0,410.4,4.0,2.0,924.2
5.0,4.0,117.4,5.0,4.0,173.2,5.0,4.0,563.8,5.0,3.0,391.8,4.0,3.0,746.9,4.0,3.0,1652.0
5.0,6.0,161.6,5.0,6.0,272.4,5.0,6.0,702.9,5.0,6.0,196.2,4.0,6.0,528.6,4.0,5.0,1200.0
6.0,2.0,108.5,6.0,1.0,199.5,6.0,1.0,463.2,6.0,1.0,264.5,6.0,1.0,826.1,5.0,1.0,1590.0
6.0,3.0,175.4,6.0,3.0,338.3,6.0,2.0,610.7,6.0,2.0,264.3,6.0,2.0,838.9,5.0,2.0,1758.0
6.0,4.0,209.3,6.0,4.0,291.8,6.0,4.0,575.7,6.0,3.0,536.8,6.0,3.0,1178.0,5.0,3.0,2052.0
6.0,5.0,233.4,6.0,5.0,447.4,6.0,5.0,727.0,6.0,5.0,315.1,6.0,4.0,867.5,5.0,4.0,1181.0
