1,高橋 正男,高橋 正男.1,2,山崎 裕司,山崎 裕司.1,3,浦田 信義,浦田 信義.1,4,小川 知行,小川 知行.1,5,吉田 翔悟,吉田 翔悟.1,6,津田 裕絵,津田 裕絵.1
2.0,3.0,15.4,1.0,3.0,71.8,1.0,2.0,240.8,1.0,2.0,75.3,1.0,2.0,65.9,1.0,2.0,579.7
2.0,4.0,9.6,1.0,4.0,49.9,1.0,4.0,199.8,1.0,3.0,151.1,1.0,3.0,137.6,1.0,3.0,941.4
2.0,5.0,8.3,1.0,5.0,39.6,1.0,5.0,167.8,1.0,5.0,62.1,1.0,4.0,77.1,1.0,4.0,997.0
2.0,6.0,32.6,1.0,6.0,80.3,1.0,6.0,357.6,1.0,6.0,127.4,1.0,6.0,109.6,1.0,5.0,683.1
3.0,2.0,25.9,3.0,1.0,237.6,2.0,1.0,431.0,2.0,1.0,138.6,2.0,1.0,106.0,2.0,1.0,759.4
3.0,4.0,24.2,3.0,4.0,380.3,2.0,4.0,570.9,2.0,3.0,419.9,2.0,3.0,319.5,2.0,3.0,1604.0
3.0,5.0,21.5,3.0,5.0,324.7,2.0,5.0,469.2,2.0,5.0,135.4,2.0,4.0,199.2,2.0,4.0,1234.0
3.0,6.0,59.8,3.0,6.0,505.7,2.0,6.0,795.2,2.0,6.0,230.9,2.0,6.0,202.3,2.0,5.0,1202.0
4.0,2.0,15.2,4.0,1.0,128.2,4.0,1.0,317.3,3.0,1.0,342.5,3.0,1.0,285.4,3.0,1.0,1397.0
4.0,3.0,24.5,4.0,3.0,350.5,4.0,2.0,543.0,3.0,2.0,574.5,3.0,2.0,433.9,3.0,2.0,1732.0
4.0,5.0,14.3,4.0,5.0,196.9,4.0,5.0,255.9,3.0,5.0,272.5,3.0,4.0,343.6,3.0,4.0,1656.0
4.0,6.0,49.1,4.0,6.0,312.9,4.0,6.0,607.5,3.0,6.0,514.2,3.0,6.0,546.3,3.0,5.0,1669.0
5.0,2.0,12.3,5.0,1.0,98.7,5.0,1.0,269.9,5.0,1.0,67.2,4.0,1.0,97.8,4.0,1.0,1419.0
5.0,3.0,24.9,5.0,3.0,299.7,5.0,2.0,471.2,5.0,2.0,100.2,4.0,2.0,150.3,4.0,2.0,1208.0
5.0,4.0,16.9,5.0,4.0,195.1,5.0,4.0,328.0,5.0,3.0,200.5,4.0,3.0,265.2,4.0,3.0,1875.0
5.0,6.0,37.8,5.0,6.0,229.0,5.0,6.0,590.2,5.0,6.0,109.6,4.0,6.0,166.2,4.0,5.0,1460.0
6.0,2.0,116.7,6.0,1.0,274.1,6.0,1.0,986.2,6.0,1.0,288.0,6.0,1.0,314.0,5.0,1.0,935.6
6.0,3.0,173.9,6.0,3.0,736.1,6.0,2.0,1376.0,6.0,2.0,359.3,6.0,2.0,432.3,5.0,2.0,1265.0
6.0,4.0,162.3,6.0,4.0,496.8,6.0,4.0,1165.0,6.0,3.0,642.6,6.0,3.0,678.0,5.0,3.0,1593.0
6.0,5.0,129.7,6.0,5.0,502.3,6.0,5.0,961.2,6.0,5.0,265.6,6.0,4.0,518.3,5.0,4.0,1380.0
