1,佐竹 太一,佐竹 太一.1,2,岡崎 恭裕,岡崎 恭裕.1,3,中野 和裕,中野 和裕.1,4,檀 将太,檀 将太.1,5,桑原 将光,桑原 将光.1,6,川田 正人,川田 正人.1
2.0,3.0,7.6,1.0,3.0,11.6,1.0,2.0,93.0,1.0,2.0,527.1,1.0,2.0,52.2,1.0,2.0,608.1
2.0,4.0,30.6,1.0,4.0,40.7,1.0,4.0,375.0,1.0,3.0,1258.0,1.0,3.0,155.3,1.0,3.0,1843.0
2.0,5.0,6.2,1.0,5.0,7.1,1.0,5.0,120.6,1.0,5.0,773.9,1.0,4.0,399.3,1.0,4.0,2186.0
2.0,6.0,20.8,1.0,6.0,20.9,1.0,6.0,331.5,1.0,6.0,1111.0,1.0,6.0,112.2,1.0,5.0,866.0
3.0,2.0,18.7,3.0,1.0,42.4,2.0,1.0,120.9,2.0,1.0,687.5,2.0,1.0,52.5,2.0,1.0,694.6
3.0,4.0,88.6,3.0,4.0,172.8,2.0,4.0,481.5,2.0,3.0,1709.0,2.0,3.0,151.2,2.0,3.0,1786.0
3.0,5.0,28.4,3.0,5.0,49.0,2.0,5.0,137.8,2.0,5.0,730.1,2.0,4.0,347.3,2.0,4.0,2858.0
3.0,6.0,83.2,3.0,6.0,105.4,2.0,6.0,307.0,2.0,6.0,1219.0,2.0,6.0,85.4,2.0,5.0,635.1
4.0,2.0,100.1,4.0,1.0,170.3,4.0,1.0,952.6,3.0,1.0,2051.0,3.0,1.0,318.8,3.0,1.0,3362.0
4.0,3.0,189.3,4.0,3.0,300.8,4.0,2.0,909.3,3.0,2.0,2051.0,3.0,2.0,332.3,3.0,2.0,3226.0
4.0,5.0,173.5,4.0,5.0,200.0,4.0,5.0,1025.0,3.0,5.0,2381.0,3.0,4.0,1418.0,3.0,4.0,4939.0
4.0,6.0,275.7,4.0,6.0,290.5,4.0,6.0,1527.0,3.0,6.0,3201.0,3.0,6.0,655.9,3.0,5.0,3054.0
5.0,2.0,17.9,5.0,1.0,19.5,5.0,1.0,238.0,5.0,1.0,881.3,4.0,1.0,1099.0,4.0,1.0,4168.0
5.0,3.0,42.9,5.0,3.0,43.5,5.0,2.0,234.1,5.0,2.0,869.8,4.0,2.0,909.3,4.0,2.0,3774.0
5.0,4.0,157.7,5.0,4.0,133.9,5.0,4.0,871.7,5.0,3.0,2010.0,4.0,3.0,2020.0,4.0,3.0,5798.0
5.0,6.0,58.7,5.0,6.0,36.2,5.0,6.0,492.1,5.0,6.0,1194.0,4.0,6.0,1423.0,4.0,5.0,4879.0
6.0,2.0,120.7,6.0,1.0,116.3,6.0,1.0,1036.0,6.0,1.0,2010.0,6.0,1.0,216.2,5.0,1.0,926.2
6.0,3.0,298.6,6.0,3.0,243.3,6.0,2.0,945.9,6.0,2.0,1802.0,6.0,2.0,186.3,5.0,2.0,667.9
6.0,4.0,491.5,6.0,4.0,389.2,6.0,4.0,2235.0,6.0,3.0,3704.0,6.0,3.0,577.3,5.0,3.0,2139.0
6.0,5.0,188.8,6.0,5.0,111.5,6.0,5.0,1216.0,6.0,5.0,2299.0,6.0,4.0,1173.0,5.0,4.0,3390.0
