1,三川 昂暁,三川 昂暁.1,2,小川　竜太朗,小川　竜太朗.1,3,佐々木　翔斗,佐々木　翔斗.1,4,本岡 勝利,本岡 勝利.1,5,田中　太一郎,田中　太一郎.1,6,鈴木 秀茉,鈴木 秀茉.1
2.0,3.0,20.9,1.0,3.0,96.9,1.0,2.0,26.6,1.0,2.0,309.6,1.0,2.0,564.0,1.0,2.0,653.4
2.0,4.0,44.3,1.0,4.0,190.3,1.0,4.0,10.1,1.0,3.0,108.1,1.0,3.0,311.5,1.0,3.0,241.3
2.0,5.0,78.6,1.0,5.0,386.3,1.0,5.0,21.4,1.0,5.0,268.9,1.0,4.0,522.7,1.0,4.0,571.7
2.0,6.0,78.2,1.0,6.0,372.4,1.0,6.0,17.0,1.0,6.0,215.3,1.0,6.0,669.7,1.0,5.0,992.2
3.0,2.0,10.7,3.0,1.0,149.5,2.0,1.0,90.2,2.0,1.0,550.4,2.0,1.0,1373.0,2.0,1.0,1143.0
3.0,4.0,5.1,3.0,4.0,296.8,2.0,4.0,140.8,2.0,3.0,615.6,2.0,3.0,1403.0,2.0,3.0,1461.0
3.0,5.0,14.2,3.0,5.0,547.1,2.0,5.0,214.7,2.0,5.0,1169.0,2.0,4.0,2321.0,2.0,4.0,1890.0
3.0,6.0,12.1,3.0,6.0,540.0,2.0,6.0,209.1,2.0,6.0,1000.0,2.0,6.0,2069.0,2.0,5.0,2394.0
4.0,2.0,42.1,4.0,1.0,451.1,4.0,1.0,25.6,3.0,1.0,110.0,3.0,1.0,390.2,3.0,1.0,232.3
4.0,3.0,16.9,4.0,3.0,510.5,4.0,2.0,88.6,3.0,2.0,309.4,3.0,2.0,937.3,3.0,2.0,816.8
4.0,5.0,55.8,4.0,5.0,1213.0,4.0,5.0,52.2,3.0,5.0,227.6,3.0,4.0,620.6,3.0,4.0,460.1
4.0,6.0,49.8,4.0,6.0,998.7,4.0,6.0,41.9,3.0,6.0,168.3,3.0,6.0,811.0,3.0,5.0,952.9
5.0,2.0,115.7,5.0,1.0,1135.0,5.0,1.0,69.9,5.0,1.0,456.5,4.0,1.0,886.4,4.0,1.0,900.4
5.0,3.0,52.4,5.0,3.0,1135.0,5.0,2.0,227.3,5.0,2.0,1099.0,4.0,2.0,1921.0,4.0,2.0,2079.0
5.0,4.0,103.3,5.0,4.0,2032.0,5.0,4.0,114.7,5.0,3.0,451.1,4.0,3.0,896.8,4.0,3.0,836.2
5.0,6.0,134.2,5.0,6.0,1745.0,5.0,6.0,103.9,5.0,6.0,605.0,4.0,6.0,1213.0,4.0,5.0,2069.0
6.0,2.0,151.5,6.0,1.0,1000.0,6.0,1.0,57.4,6.0,1.0,443.2,6.0,1.0,1322.0,5.0,1.0,1577.0
6.0,3.0,59.8,6.0,3.0,1143.0,6.0,2.0,190.5,6.0,2.0,943.1,6.0,2.0,2433.0,5.0,2.0,3090.0
6.0,4.0,126.7,6.0,4.0,1588.0,6.0,4.0,83.0,6.0,3.0,454.6,6.0,3.0,1416.0,5.0,3.0,1509.0
6.0,5.0,203.1,6.0,5.0,2137.0,6.0,5.0,154.3,6.0,5.0,734.2,6.0,4.0,1681.0,5.0,4.0,2333.0
