1,安河内 将,安河内 将.1,2,正木 聖賢,正木 聖賢.1,3,横田 貴満,横田 貴満.1,4,畑 竜生,畑 竜生.1,5,山本 浩輔,山本 浩輔.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,3.7,1.0,3.0,15.1,1.0,2.0,49.7,1.0,2.0,97.1,1.0,2.0,701.9,1.0,2.0,1487.0
2.0,4.0,5.9,1.0,4.0,23.5,1.0,4.0,68.7,1.0,3.0,109.2,1.0,3.0,938.9,1.0,3.0,3171.0
2.0,5.0,27.0,1.0,5.0,66.6,1.0,5.0,162.2,1.0,5.0,209.9,1.0,4.0,1047.0,1.0,4.0,2846.0
2.0,6.0,121.5,1.0,6.0,233.2,1.0,6.0,654.9,1.0,6.0,780.7,1.0,6.0,2054.0,1.0,5.0,4355.0
3.0,2.0,6.2,3.0,1.0,47.7,2.0,1.0,77.4,2.0,1.0,141.8,2.0,1.0,1060.0,2.0,1.0,1902.0
3.0,4.0,8.6,3.0,4.0,98.1,2.0,4.0,146.5,2.0,3.0,218.1,2.0,3.0,1673.0,2.0,3.0,3378.0
3.0,5.0,32.5,3.0,5.0,225.3,2.0,5.0,352.0,2.0,5.0,373.0,2.0,4.0,1079.0,2.0,4.0,2217.0
3.0,6.0,173.5,3.0,6.0,586.8,2.0,6.0,1079.0,2.0,6.0,1102.0,2.0,6.0,2658.0,2.0,5.0,3805.0
4.0,2.0,15.1,4.0,1.0,95.5,4.0,1.0,158.2,3.0,1.0,225.2,3.0,1.0,1606.0,3.0,1.0,4303.0
4.0,3.0,16.4,4.0,3.0,159.9,4.0,2.0,230.7,3.0,2.0,328.6,3.0,2.0,2114.0,3.0,2.0,4634.0
4.0,5.0,56.3,4.0,5.0,325.3,4.0,5.0,466.4,3.0,5.0,604.5,3.0,4.0,2802.0,3.0,4.0,4518.0
4.0,6.0,262.9,4.0,6.0,808.7,4.0,6.0,1309.0,3.0,6.0,1689.0,3.0,6.0,4155.0,3.0,5.0,6572.0
5.0,2.0,98.7,5.0,1.0,335.9,5.0,1.0,497.2,5.0,1.0,371.9,4.0,1.0,1277.0,4.0,1.0,3765.0
5.0,3.0,127.0,5.0,3.0,494.5,5.0,2.0,696.5,5.0,2.0,457.6,4.0,2.0,1213.0,4.0,2.0,4756.0
5.0,4.0,158.9,5.0,4.0,548.5,5.0,4.0,787.5,5.0,3.0,680.8,4.0,3.0,2151.0,4.0,3.0,4820.0
5.0,6.0,616.9,5.0,6.0,1506.0,5.0,6.0,1943.0,5.0,6.0,1379.0,4.0,6.0,3615.0,4.0,5.0,6127.0
6.0,2.0,438.7,6.0,1.0,1085.0,6.0,1.0,2139.0,6.0,1.0,2042.0,6.0,1.0,4518.0,5.0,1.0,5316.0
6.0,3.0,754.7,6.0,3.0,2273.0,6.0,2.0,2892.0,6.0,2.0,2459.0,6.0,2.0,4756.0,5.0,2.0,5020.0
6.0,4.0,780.7,6.0,4.0,1551.0,6.0,4.0,2426.0,6.0,3.0,2217.0,6.0,3.0,3579.0,5.0,3.0,5316.0
6.0,5.0,971.7,6.0,5.0,2347.0,6.0,5.0,2987.0,6.0,5.0,2869.0,6.0,4.0,5239.0,5.0,4.0,6025.0
