1,四宮 与寛,四宮 与寛.1,2,西村 秀樹,西村 秀樹.1,3,山下 流心,山下 流心.1,4,山地 正樹,山地 正樹.1,5,中 亮太,中 亮太.1,6,藤田 俊祐,藤田 俊祐.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,127.8,1,2,36.1,1,2,111.2
2,4,25.8,1,4,94.6,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,14.6,1,5,68.2,1,5,欠場,1,5,56.8,1,4,34.4,1,4,94.9
2,6,26.7,1,6,95.5,1,6,欠場,1,6,67.0,1,6,16.6,1,5,50.7
3,2,欠場,3,1,欠場,2,1,欠場,2,1,256.1,2,1,102.3,2,1,269.0
3,4,欠場,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,欠場,3,5,欠場,2,5,欠場,2,5,244.5,2,4,179.2,2,4,395.9
3,6,欠場,3,6,欠場,2,6,欠場,2,6,289.1,2,6,106.1,2,5,265.3
4,2,28.6,4,1,198.6,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,10.7,4,5,199.5,4,5,欠場,3,5,欠場,3,4,欠場,3,4,欠場
4,6,18.2,4,6,254.1,4,6,欠場,3,6,欠場,3,6,欠場,3,5,欠場
5,2,11.5,5,1,116.4,5,1,欠場,5,1,81.9,4,1,66.4,4,1,193.7
5,3,欠場,5,3,欠場,5,2,欠場,5,2,178.5,4,2,158.7,4,2,384.2
5,4,10.0,5,4,176.4,5,4,欠場,5,3,欠場,4,3,欠場,4,3,欠場
5,6,6.6,5,6,136.9,5,6,欠場,5,6,73.4,4,6,62.0,4,5,179.6
6,2,32.8,6,1,260.4,6,1,欠場,6,1,134.9,6,1,22.8,5,1,53.6
6,3,欠場,6,3,欠場,6,2,欠場,6,2,325.0,6,2,65.9,5,2,150.4
6,4,28.3,6,4,433.9,6,4,欠場,6,3,欠場,6,3,欠場,5,3,欠場
6,5,15.3,6,5,269.5,6,5,欠場,6,5,113.9,6,4,48.3,5,4,112.9
