1,川北 浩貴,川北 浩貴.1,2,柳生 泰二,柳生 泰二.1,3,川上 剛,川上 剛.1,4,大野 芳顕,大野 芳顕.1,5,伊藤 将吉,伊藤 将吉.1,6,永嶋 裕一,永嶋 裕一.1
2.0,3.0,7.9,1.0,3.0,30.2,1.0,2.0,69.7,1.0,2.0,73.4,1.0,2.0,82.3,1.0,2.0,923.5
2.0,4.0,8.7,1.0,4.0,34.3,1.0,4.0,81.9,1.0,3.0,138.6,1.0,3.0,117.0,1.0,3.0,1272.0
2.0,5.0,10.8,1.0,5.0,33.4,1.0,5.0,72.1,1.0,5.0,67.1,1.0,4.0,104.7,1.0,4.0,1226.0
2.0,6.0,55.0,1.0,6.0,157.0,1.0,6.0,233.9,1.0,6.0,150.1,1.0,6.0,153.3,1.0,5.0,897.1
3.0,2.0,12.8,3.0,1.0,90.1,2.0,1.0,123.5,2.0,1.0,151.1,2.0,1.0,129.6,2.0,1.0,1289.0
3.0,4.0,16.4,3.0,4.0,170.1,2.0,4.0,206.8,2.0,3.0,358.4,2.0,3.0,211.6,2.0,3.0,1864.0
3.0,5.0,18.8,3.0,5.0,131.2,2.0,5.0,167.6,2.0,5.0,182.7,2.0,4.0,234.2,2.0,4.0,1700.0
3.0,6.0,71.9,3.0,6.0,459.6,2.0,6.0,492.6,2.0,6.0,373.1,2.0,6.0,316.2,2.0,5.0,1330.0
4.0,2.0,16.0,4.0,1.0,127.9,4.0,1.0,201.2,3.0,1.0,297.6,3.0,1.0,233.5,3.0,1.0,1864.0
4.0,3.0,23.0,4.0,3.0,251.1,4.0,2.0,280.8,3.0,2.0,466.5,3.0,2.0,274.6,3.0,2.0,1936.0
4.0,5.0,22.1,4.0,5.0,189.1,4.0,5.0,239.0,3.0,5.0,415.1,3.0,4.0,396.7,3.0,4.0,2022.0
4.0,6.0,66.1,4.0,6.0,481.2,4.0,6.0,580.4,3.0,6.0,619.9,3.0,6.0,518.0,3.0,5.0,1892.0
5.0,2.0,24.0,5.0,1.0,111.6,5.0,1.0,184.8,5.0,1.0,82.9,4.0,1.0,145.7,4.0,1.0,1428.0
5.0,3.0,36.1,5.0,3.0,190.8,5.0,2.0,219.2,5.0,2.0,130.3,4.0,2.0,204.6,4.0,2.0,1850.0
5.0,4.0,38.2,5.0,4.0,227.1,5.0,4.0,302.4,5.0,3.0,254.4,4.0,3.0,376.7,4.0,3.0,2209.0
5.0,6.0,76.9,5.0,6.0,442.6,5.0,6.0,498.5,5.0,6.0,148.3,4.0,6.0,230.3,4.0,5.0,1295.0
6.0,2.0,217.3,6.0,1.0,872.1,6.0,1.0,960.7,6.0,1.0,382.2,6.0,1.0,378.2,5.0,1.0,1049.0
6.0,3.0,252.3,6.0,3.0,1217.0,6.0,2.0,1152.0,6.0,2.0,550.5,6.0,2.0,529.0,5.0,2.0,1436.0
6.0,4.0,222.6,6.0,4.0,1064.0,6.0,4.0,1177.0,6.0,3.0,851.4,6.0,3.0,776.3,5.0,3.0,1572.0
6.0,5.0,214.8,6.0,5.0,953.4,6.0,5.0,1001.0,6.0,5.0,360.0,6.0,4.0,528.4,5.0,4.0,1306.0
