1,岡部 貴司,岡部 貴司.1,2,黒柳 浩孝,黒柳 浩孝.1,3,新田 泰章,新田 泰章.1,4,金子 順一,金子 順一.1,5,岩永 節也,岩永 節也.1,6,吉島 祥之,吉島 祥之.1
2.0,3.0,11.3,1.0,3.0,15.4,1.0,2.0,13.6,1.0,2.0,784.9,1.0,2.0,831.3,1.0,2.0,314.5
2.0,4.0,80.9,1.0,4.0,89.2,1.0,4.0,69.1,1.0,3.0,909.7,1.0,3.0,727.4,1.0,3.0,286.7
2.0,5.0,107.3,1.0,5.0,102.4,1.0,5.0,60.9,1.0,5.0,1436.0,1.0,4.0,2109.0,1.0,4.0,958.9
2.0,6.0,41.3,1.0,6.0,39.9,1.0,6.0,27.1,1.0,6.0,1176.0,1.0,6.0,1155.0,1.0,5.0,1288.0
3.0,2.0,10.0,3.0,1.0,13.1,2.0,1.0,13.3,2.0,1.0,841.7,2.0,1.0,835.4,2.0,1.0,280.1
3.0,4.0,57.7,3.0,4.0,33.6,2.0,4.0,39.7,2.0,3.0,570.1,2.0,3.0,464.9,2.0,3.0,128.9
3.0,5.0,65.5,3.0,5.0,29.4,2.0,5.0,33.2,2.0,5.0,1389.0,2.0,4.0,1520.0,2.0,4.0,598.4
3.0,6.0,29.2,3.0,6.0,11.8,2.0,6.0,13.1,2.0,6.0,861.0,2.0,6.0,703.1,2.0,5.0,760.2
4.0,2.0,238.0,4.0,1.0,276.8,4.0,1.0,159.9,3.0,1.0,821.2,3.0,1.0,688.8,3.0,1.0,233.5
4.0,3.0,212.5,4.0,3.0,144.7,4.0,2.0,110.8,3.0,2.0,545.2,3.0,2.0,440.6,3.0,2.0,122.1
4.0,5.0,525.7,4.0,5.0,381.3,4.0,5.0,209.5,3.0,5.0,1041.0,3.0,4.0,1541.0,3.0,4.0,519.2
4.0,6.0,362.5,4.0,6.0,231.9,4.0,6.0,116.5,3.0,6.0,827.2,3.0,6.0,525.7,3.0,5.0,503.7
5.0,2.0,291.4,5.0,1.0,264.7,5.0,1.0,123.0,5.0,1.0,1785.0,4.0,1.0,2744.0,4.0,1.0,2191.0
5.0,3.0,254.7,5.0,3.0,123.1,5.0,2.0,77.2,5.0,2.0,1962.0,4.0,2.0,2657.0,4.0,2.0,1293.0
5.0,4.0,684.6,5.0,4.0,432.1,5.0,4.0,259.2,5.0,3.0,1394.0,4.0,3.0,2096.0,4.0,3.0,1303.0
5.0,6.0,478.7,5.0,6.0,220.6,5.0,6.0,83.7,5.0,6.0,1412.0,4.0,6.0,2149.0,4.0,5.0,1962.0
6.0,2.0,126.4,6.0,1.0,89.0,6.0,1.0,50.3,6.0,1.0,1776.0,6.0,1.0,1461.0,5.0,1.0,1687.0
6.0,3.0,116.4,6.0,3.0,38.1,6.0,2.0,29.5,6.0,2.0,1167.0,6.0,2.0,958.9,5.0,2.0,1113.0
6.0,4.0,429.9,6.0,4.0,231.5,6.0,4.0,123.0,6.0,3.0,1293.0,6.0,3.0,710.5,5.0,3.0,781.3
6.0,5.0,524.1,6.0,5.0,221.7,6.0,5.0,91.0,6.0,5.0,2033.0,6.0,4.0,2191.0,5.0,4.0,1298.0
