1,山崎 哲司,山崎 哲司.1,2,筒井 美琴,筒井 美琴.1,3,今坂 晃広,今坂 晃広.1,4,杉村 賢也,杉村 賢也.1,5,木村 光宏,木村 光宏.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,45.8,1.0,3.0,307.9,1.0,2.0,209.4,1.0,2.0,341.3,1.0,2.0,488.1,1.0,2.0,127.1
2.0,4.0,63.8,1.0,4.0,454.0,1.0,4.0,86.6,1.0,3.0,167.4,1.0,3.0,112.3,1.0,3.0,49.2
2.0,5.0,64.3,1.0,5.0,478.5,1.0,5.0,50.6,1.0,5.0,135.0,1.0,4.0,232.4,1.0,4.0,72.8
2.0,6.0,61.7,1.0,6.0,390.4,1.0,6.0,80.8,1.0,6.0,140.6,1.0,6.0,92.9,1.0,5.0,61.6
3.0,2.0,34.4,3.0,1.0,441.7,2.0,1.0,413.6,2.0,1.0,606.3,2.0,1.0,1135.0,2.0,1.0,242.2
3.0,4.0,9.4,3.0,4.0,697.3,2.0,4.0,545.3,2.0,3.0,895.6,2.0,3.0,1038.0,2.0,3.0,272.6
3.0,5.0,7.8,3.0,5.0,677.9,2.0,5.0,449.8,2.0,5.0,1284.0,2.0,4.0,1251.0,2.0,4.0,430.0
3.0,6.0,8.5,3.0,6.0,780.9,2.0,6.0,687.4,2.0,6.0,820.3,2.0,6.0,929.7,2.0,5.0,418.9
4.0,2.0,59.5,4.0,1.0,673.2,4.0,1.0,203.3,3.0,1.0,271.1,3.0,1.0,221.8,3.0,1.0,109.5
4.0,3.0,15.7,4.0,3.0,806.8,4.0,2.0,646.5,3.0,2.0,895.6,3.0,2.0,1049.0,3.0,2.0,342.5
4.0,5.0,20.0,4.0,5.0,1374.0,4.0,5.0,249.6,3.0,5.0,420.7,3.0,4.0,598.9,3.0,4.0,186.6
4.0,6.0,21.0,4.0,6.0,976.2,4.0,6.0,292.2,3.0,6.0,447.8,3.0,6.0,378.3,3.0,5.0,185.5
5.0,2.0,70.6,5.0,1.0,1072.0,5.0,1.0,104.6,5.0,1.0,225.4,4.0,1.0,385.8,4.0,1.0,172.7
5.0,3.0,16.0,5.0,3.0,1049.0,5.0,2.0,629.8,5.0,2.0,664.1,4.0,2.0,1205.0,4.0,2.0,460.4
5.0,4.0,25.5,5.0,4.0,1627.0,5.0,4.0,357.5,5.0,3.0,401.7,4.0,3.0,682.6,4.0,3.0,282.1
5.0,6.0,14.1,5.0,6.0,1176.0,5.0,6.0,199.6,5.0,6.0,332.0,4.0,6.0,533.4,4.0,5.0,321.1
6.0,2.0,78.6,6.0,1.0,734.0,6.0,1.0,215.9,6.0,1.0,294.9,6.0,1.0,206.8,5.0,1.0,131.2
6.0,3.0,18.2,6.0,3.0,1148.0,6.0,2.0,806.8,6.0,2.0,947.7,6.0,2.0,1084.0,5.0,2.0,574.2
6.0,4.0,26.7,6.0,4.0,1301.0,6.0,4.0,493.0,6.0,3.0,633.9,6.0,3.0,382.8,5.0,3.0,197.2
6.0,5.0,20.7,6.0,5.0,1600.0,6.0,5.0,308.9,6.0,5.0,584.5,6.0,4.0,633.9,5.0,4.0,274.9
