1,瓜生 正義,瓜生 正義.1,2,前田 将太,前田 将太.1,3,宮地 元輝,宮地 元輝.1,4,下條　雄太郎,下條　雄太郎.1,5,山田 祐也,山田 祐也.1,6,馬場 貴也,馬場 貴也.1
2.0,3.0,8.2,1.0,3.0,46.4,1.0,2.0,60.0,1.0,2.0,52.7,1.0,2.0,293.5,1.0,2.0,387.9
2.0,4.0,7.6,1.0,4.0,37.7,1.0,4.0,50.2,1.0,3.0,81.1,1.0,3.0,347.8,1.0,3.0,537.8
2.0,5.0,30.3,1.0,5.0,103.3,1.0,5.0,101.1,1.0,5.0,93.2,1.0,4.0,305.1,1.0,4.0,459.0
2.0,6.0,17.6,1.0,6.0,70.1,1.0,6.0,66.2,1.0,6.0,66.6,1.0,6.0,324.5,1.0,5.0,867.7
3.0,2.0,12.8,3.0,1.0,138.9,2.0,1.0,158.5,2.0,1.0,106.3,2.0,1.0,565.0,2.0,1.0,628.1
3.0,4.0,13.3,3.0,4.0,196.8,2.0,4.0,224.0,2.0,3.0,250.7,2.0,3.0,1086.0,2.0,3.0,1265.0
3.0,5.0,36.4,3.0,5.0,457.9,2.0,5.0,449.6,2.0,5.0,258.1,2.0,4.0,924.7,2.0,4.0,958.8
3.0,6.0,22.2,3.0,6.0,325.1,2.0,6.0,342.8,2.0,6.0,197.9,2.0,6.0,1006.0,2.0,5.0,1703.0
4.0,2.0,11.5,4.0,1.0,105.2,4.0,1.0,145.9,3.0,1.0,210.0,3.0,1.0,755.1,3.0,1.0,936.8
4.0,3.0,16.3,4.0,3.0,210.6,4.0,2.0,243.5,3.0,2.0,335.3,3.0,2.0,1232.0,3.0,2.0,1471.0
4.0,5.0,37.2,4.0,5.0,387.1,4.0,5.0,366.7,3.0,5.0,483.0,3.0,4.0,1054.0,3.0,4.0,1262.0
4.0,6.0,20.8,4.0,6.0,249.1,4.0,6.0,252.7,3.0,6.0,325.9,3.0,6.0,1187.0,3.0,5.0,2301.0
5.0,2.0,55.8,5.0,1.0,465.8,5.0,1.0,375.0,5.0,1.0,149.3,4.0,1.0,483.0,4.0,1.0,579.3
5.0,3.0,64.3,5.0,3.0,812.7,5.0,2.0,677.4,5.0,2.0,219.8,4.0,2.0,711.9,4.0,2.0,858.6
5.0,4.0,66.4,5.0,4.0,764.2,5.0,4.0,562.3,5.0,3.0,385.2,4.0,3.0,909.0,4.0,3.0,1160.0
5.0,6.0,74.0,5.0,6.0,867.7,5.0,6.0,631.3,5.0,6.0,158.2,4.0,6.0,521.6,4.0,5.0,1000.0
6.0,2.0,53.7,6.0,1.0,335.0,6.0,1.0,303.6,6.0,1.0,129.3,6.0,1.0,685.8,5.0,1.0,1393.0
6.0,3.0,64.5,6.0,3.0,677.6,6.0,2.0,616.1,6.0,2.0,188.4,6.0,2.0,1183.0,5.0,2.0,2099.0
6.0,4.0,59.1,6.0,4.0,553.2,6.0,4.0,541.8,6.0,3.0,285.0,6.0,3.0,1368.0,5.0,3.0,2342.0
6.0,5.0,107.2,6.0,5.0,1059.0,6.0,5.0,898.1,6.0,5.0,194.7,6.0,4.0,830.4,5.0,4.0,1261.0
