1,平高 奈菜,平高 奈菜.1,2,川原 愛未,川原 愛未.1,3,鈴木 成美,鈴木 成美.1,4,今井 美亜,今井 美亜.1,5,土屋　実沙希,土屋　実沙希.1,6,野田部　宏子,野田部　宏子.1
2.0,3.0,52.4,1.0,3.0,367.3,1.0,2.0,234.4,1.0,2.0,128.0,1.0,2.0,285.5,1.0,2.0,742.6
2.0,4.0,43.1,1.0,4.0,303.9,1.0,4.0,40.6,1.0,3.0,48.0,1.0,3.0,112.4,1.0,3.0,473.1
2.0,5.0,52.7,1.0,5.0,358.2,1.0,5.0,49.8,1.0,5.0,27.2,1.0,4.0,73.9,1.0,4.0,323.0
2.0,6.0,125.8,1.0,6.0,636.8,1.0,6.0,102.2,1.0,6.0,48.9,1.0,6.0,124.5,1.0,5.0,426.2
3.0,2.0,40.3,3.0,1.0,696.9,2.0,1.0,591.0,2.0,1.0,442.4,2.0,1.0,778.2,2.0,1.0,1552.0
3.0,4.0,9.5,3.0,4.0,1152.0,2.0,4.0,763.6,2.0,3.0,925.6,2.0,3.0,1458.0,2.0,3.0,2397.0
3.0,5.0,11.4,3.0,5.0,1405.0,2.0,5.0,860.6,2.0,5.0,632.8,2.0,4.0,1211.0,2.0,4.0,2004.0
3.0,6.0,31.1,3.0,6.0,1973.0,2.0,6.0,1093.0,2.0,6.0,779.6,2.0,6.0,1313.0,2.0,5.0,2511.0
4.0,2.0,28.4,4.0,1.0,578.7,4.0,1.0,65.2,3.0,1.0,88.1,3.0,1.0,222.5,3.0,1.0,761.0
4.0,3.0,9.3,4.0,3.0,1226.0,4.0,2.0,434.2,3.0,2.0,495.1,3.0,2.0,1098.0,3.0,2.0,2286.0
4.0,5.0,7.7,4.0,5.0,1021.0,4.0,5.0,80.2,3.0,5.0,111.9,3.0,4.0,322.4,3.0,4.0,801.2
4.0,6.0,16.6,4.0,6.0,1399.0,4.0,6.0,123.9,3.0,6.0,160.0,3.0,6.0,403.3,3.0,5.0,1047.0
5.0,2.0,36.8,5.0,1.0,863.9,5.0,1.0,107.0,5.0,1.0,45.3,4.0,1.0,98.7,4.0,1.0,417.6
5.0,3.0,17.1,5.0,3.0,1674.0,5.0,2.0,655.0,5.0,2.0,285.7,4.0,2.0,606.6,4.0,2.0,1726.0
5.0,4.0,15.1,5.0,4.0,1365.0,5.0,4.0,131.4,5.0,3.0,118.7,4.0,3.0,249.0,4.0,3.0,711.3
5.0,6.0,31.6,5.0,6.0,1802.0,5.0,6.0,198.1,5.0,6.0,78.2,4.0,6.0,169.0,4.0,5.0,507.4
6.0,2.0,157.3,6.0,1.0,1495.0,6.0,1.0,312.9,6.0,1.0,137.0,6.0,1.0,265.4,5.0,1.0,601.7
6.0,3.0,89.5,6.0,3.0,2637.0,6.0,2.0,1105.0,6.0,2.0,634.1,6.0,2.0,1032.0,5.0,2.0,2186.0
6.0,4.0,54.6,6.0,4.0,2197.0,6.0,4.0,338.3,6.0,3.0,281.1,6.0,3.0,467.1,5.0,3.0,946.2
6.0,5.0,70.3,6.0,5.0,2497.0,6.0,5.0,399.1,6.0,5.0,170.0,6.0,4.0,298.7,5.0,4.0,538.3
