1,篠原 飛翔,篠原 飛翔.1,2,檀 将太,檀 将太.1,3,柴田 大輔,柴田 大輔.1,4,富永 修一,富永 修一.1,5,池永 太,池永 太.1,6,田中 宏樹,田中 宏樹.1
2.0,3.0,51.3,1.0,3.0,108.1,1.0,2.0,222.4,1.0,2.0,262.9,1.0,2.0,59.9,1.0,2.0,66.8
2.0,4.0,53.5,1.0,4.0,113.7,1.0,4.0,144.6,1.0,3.0,230.3,1.0,3.0,53.2,1.0,3.0,95.2
2.0,5.0,26.0,1.0,5.0,62.0,1.0,5.0,89.1,1.0,5.0,72.6,1.0,4.0,39.7,1.0,4.0,94.2
2.0,6.0,53.9,1.0,6.0,93.4,1.0,6.0,180.6,1.0,6.0,140.6,1.0,6.0,32.8,1.0,5.0,54.0
3.0,2.0,58.4,3.0,1.0,195.4,2.0,1.0,319.3,2.0,1.0,388.9,2.0,1.0,100.4,2.0,1.0,81.7
3.0,4.0,43.7,3.0,4.0,327.2,2.0,4.0,404.2,2.0,3.0,583.8,2.0,3.0,222.0,2.0,3.0,134.0
3.0,5.0,24.0,3.0,5.0,175.6,2.0,5.0,251.5,2.0,5.0,232.6,2.0,4.0,161.7,2.0,4.0,149.7
3.0,6.0,59.3,3.0,6.0,253.6,2.0,6.0,373.3,2.0,6.0,415.6,2.0,6.0,92.4,2.0,5.0,73.0
4.0,2.0,76.2,4.0,1.0,215.0,4.0,1.0,198.5,3.0,1.0,336.7,3.0,1.0,105.2,3.0,1.0,188.8
4.0,3.0,62.1,4.0,3.0,370.8,4.0,2.0,404.2,3.0,2.0,602.8,3.0,2.0,267.5,3.0,2.0,218.0
4.0,5.0,24.2,4.0,5.0,185.5,4.0,5.0,132.6,3.0,5.0,179.7,3.0,4.0,138.1,3.0,4.0,266.0
4.0,6.0,55.8,4.0,6.0,294.7,4.0,6.0,235.2,3.0,6.0,324.5,3.0,6.0,127.6,3.0,5.0,149.8
5.0,2.0,27.1,5.0,1.0,88.8,5.0,1.0,101.3,5.0,1.0,60.2,4.0,1.0,51.2,4.0,1.0,167.3
5.0,3.0,22.1,5.0,3.0,156.6,5.0,2.0,217.7,5.0,2.0,137.0,4.0,2.0,144.4,4.0,2.0,244.3
5.0,4.0,19.3,5.0,4.0,146.8,5.0,4.0,113.0,5.0,3.0,126.9,4.0,3.0,124.5,4.0,3.0,281.3
5.0,6.0,20.0,5.0,6.0,89.6,5.0,6.0,121.9,5.0,6.0,57.7,4.0,6.0,52.7,4.0,5.0,111.0
6.0,2.0,78.8,6.0,1.0,170.3,6.0,1.0,300.1,6.0,1.0,198.0,6.0,1.0,48.4,5.0,1.0,61.1
6.0,3.0,106.9,6.0,3.0,315.4,6.0,2.0,447.7,6.0,2.0,388.9,6.0,2.0,80.2,5.0,2.0,74.8
6.0,4.0,78.6,6.0,4.0,351.2,6.0,4.0,314.6,6.0,3.0,353.8,6.0,3.0,109.6,5.0,3.0,116.1
6.0,5.0,46.6,6.0,5.0,129.5,6.0,5.0,186.2,6.0,5.0,107.1,6.0,4.0,64.0,5.0,4.0,80.3
