1,今坂 晃広,今坂 晃広.1,2,筒井 美琴,筒井 美琴.1,3,宮本 裕之,宮本 裕之.1,4,豊田 泰洋,豊田 泰洋.1,5,中村 将隆,中村 将隆.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,64.2,1.0,3.0,262.0,1.0,2.0,136.9,1.0,2.0,232.8,1.0,2.0,97.0,1.0,2.0,242.8
2.0,4.0,59.6,1.0,4.0,332.0,1.0,4.0,73.5,1.0,3.0,122.9,1.0,3.0,35.2,1.0,3.0,103.8
2.0,5.0,57.7,1.0,5.0,255.3,1.0,5.0,37.6,1.0,5.0,73.7,1.0,4.0,56.4,1.0,4.0,149.2
2.0,6.0,100.2,1.0,6.0,309.7,1.0,6.0,43.8,1.0,6.0,104.6,1.0,6.0,28.2,1.0,5.0,106.3
3.0,2.0,72.0,3.0,1.0,387.6,2.0,1.0,260.6,2.0,1.0,393.8,2.0,1.0,211.3,2.0,1.0,458.2
3.0,4.0,31.4,3.0,4.0,599.0,2.0,4.0,344.0,2.0,3.0,611.9,2.0,3.0,238.7,2.0,3.0,608.2
3.0,5.0,22.7,3.0,5.0,340.5,2.0,5.0,221.4,2.0,5.0,478.0,2.0,4.0,330.9,2.0,4.0,808.4
3.0,6.0,33.7,3.0,6.0,516.5,2.0,6.0,224.4,2.0,6.0,623.4,2.0,6.0,196.1,2.0,5.0,524.7
4.0,2.0,52.1,4.0,1.0,554.0,4.0,1.0,124.8,3.0,1.0,183.1,3.0,1.0,40.1,3.0,1.0,101.0
4.0,3.0,29.3,4.0,3.0,671.9,4.0,2.0,312.2,3.0,2.0,473.5,3.0,2.0,115.9,3.0,2.0,263.0
4.0,5.0,19.4,4.0,5.0,591.9,4.0,5.0,106.5,3.0,5.0,174.4,3.0,4.0,89.1,3.0,4.0,194.0
4.0,6.0,33.6,4.0,6.0,753.3,4.0,6.0,113.0,3.0,6.0,221.4,3.0,6.0,33.8,3.0,5.0,91.7
5.0,2.0,49.9,5.0,1.0,355.1,5.0,1.0,45.4,5.0,1.0,94.5,4.0,1.0,93.0,4.0,1.0,251.4
5.0,3.0,20.0,5.0,3.0,312.7,5.0,2.0,139.7,5.0,2.0,305.0,4.0,2.0,285.7,4.0,2.0,705.2
5.0,4.0,21.9,5.0,4.0,560.2,5.0,4.0,81.4,5.0,3.0,160.0,4.0,3.0,137.2,4.0,3.0,338.2
5.0,6.0,20.0,5.0,6.0,424.9,5.0,6.0,33.5,5.0,6.0,114.9,4.0,6.0,85.0,4.0,5.0,253.0
6.0,2.0,135.7,6.0,1.0,563.4,6.0,1.0,49.4,6.0,1.0,175.8,6.0,1.0,35.1,5.0,1.0,118.1
6.0,3.0,61.2,6.0,3.0,629.3,6.0,2.0,124.1,6.0,2.0,457.2,6.0,2.0,121.1,5.0,2.0,295.5
6.0,4.0,70.9,6.0,4.0,773.8,6.0,4.0,85.9,6.0,3.0,273.9,6.0,3.0,45.0,5.0,3.0,112.3
6.0,5.0,44.5,6.0,5.0,597.2,6.0,5.0,43.5,6.0,5.0,172.9,6.0,4.0,84.9,5.0,4.0,208.2
