1,河合 佑樹,河合 佑樹.1,2,永嶋 裕一,永嶋 裕一.1,3,松田　大志郎,松田　大志郎.1,4,熊本 英一,熊本 英一.1,5,渡 修平,渡 修平.1,6,松尾 昂明,松尾 昂明.1
2.0,3.0,5.3,1.0,3.0,67.2,1.0,2.0,30.5,1.0,2.0,827.4,1.0,2.0,885.0,1.0,2.0,509.3
2.0,4.0,26.6,1.0,4.0,261.1,1.0,4.0,50.8,1.0,3.0,703.4,1.0,3.0,666.5,1.0,3.0,235.2
2.0,5.0,25.0,1.0,5.0,206.8,1.0,5.0,44.5,1.0,5.0,995.2,1.0,4.0,1587.0,1.0,4.0,1199.0
2.0,6.0,19.2,1.0,6.0,182.3,1.0,6.0,29.1,1.0,6.0,837.0,1.0,6.0,1118.0,1.0,5.0,1277.0
3.0,2.0,3.7,3.0,1.0,122.3,2.0,1.0,99.5,2.0,1.0,1285.0,2.0,1.0,1333.0,2.0,1.0,911.2
3.0,4.0,8.9,3.0,4.0,821.1,2.0,4.0,444.3,2.0,3.0,1636.0,2.0,3.0,2399.0,2.0,3.0,1293.0
3.0,5.0,11.0,3.0,5.0,755.1,2.0,5.0,458.5,2.0,5.0,2958.0,2.0,4.0,5267.0,2.0,4.0,4074.0
3.0,6.0,6.6,3.0,6.0,440.7,2.0,6.0,215.5,2.0,6.0,1814.0,2.0,6.0,2841.0,2.0,5.0,4908.0
4.0,2.0,71.3,4.0,1.0,995.2,4.0,1.0,295.8,3.0,1.0,1038.0,3.0,1.0,791.0,3.0,1.0,305.8
4.0,3.0,49.4,4.0,3.0,1520.0,4.0,2.0,629.6,3.0,2.0,1981.0,3.0,2.0,2511.0,3.0,2.0,1074.0
4.0,5.0,140.6,4.0,5.0,2373.0,4.0,5.0,681.2,3.0,5.0,2601.0,3.0,4.0,2768.0,3.0,4.0,2273.0
4.0,6.0,106.6,4.0,6.0,2570.0,4.0,6.0,494.1,3.0,6.0,1674.0,3.0,6.0,1255.0,3.0,5.0,1845.0
5.0,2.0,95.7,5.0,1.0,1227.0,5.0,1.0,223.3,5.0,1.0,1648.0,4.0,1.0,2454.0,4.0,1.0,3175.0
5.0,3.0,70.9,5.0,3.0,1553.0,5.0,2.0,624.1,5.0,2.0,3788.0,4.0,2.0,4694.0,4.0,2.0,6170.0
5.0,4.0,237.5,5.0,4.0,2841.0,5.0,4.0,856.9,5.0,3.0,2804.0,4.0,3.0,3788.0,4.0,3.0,3926.0
5.0,6.0,135.9,5.0,6.0,2958.0,5.0,6.0,454.6,5.0,6.0,2699.0,4.0,6.0,4908.0,4.0,5.0,5836.0
6.0,2.0,54.6,6.0,1.0,821.1,6.0,1.0,124.4,6.0,1.0,1830.0,6.0,1.0,1366.0,5.0,1.0,2347.0
6.0,3.0,33.6,6.0,3.0,1063.0,6.0,2.0,335.3,6.0,2.0,3540.0,6.0,2.0,4499.0,5.0,2.0,4694.0
6.0,4.0,148.5,6.0,4.0,2570.0,6.0,4.0,468.4,6.0,3.0,2666.0,6.0,3.0,1999.0,5.0,3.0,2633.0
6.0,5.0,158.2,6.0,5.0,3041.0,6.0,5.0,416.1,6.0,5.0,3272.0,6.0,4.0,3926.0,5.0,4.0,5267.0
