1,江夏 満,江夏 満.1,2,江藤 敦宏,江藤 敦宏.1,3,村上 彰一,村上 彰一.1,4,山田 丈,山田 丈.1,5,関 裕也,関 裕也.1,6,楠原 翔太,楠原 翔太.1
2.0,3.0,14.6,1.0,3.0,142.6,1.0,2.0,226.1,1.0,2.0,91.9,1.0,2.0,348.4,1.0,2.0,350.8
2.0,4.0,10.7,1.0,4.0,97.2,1.0,4.0,117.2,1.0,3.0,86.5,1.0,3.0,329.1,1.0,3.0,447.8
2.0,5.0,31.4,1.0,5.0,220.6,1.0,5.0,221.6,1.0,5.0,68.3,1.0,4.0,233.5,1.0,4.0,297.7
2.0,6.0,27.9,1.0,6.0,186.2,1.0,6.0,185.3,1.0,6.0,51.5,1.0,6.0,222.4,1.0,5.0,430.9
3.0,2.0,18.3,3.0,1.0,477.8,2.0,1.0,429.7,2.0,1.0,260.7,2.0,1.0,883.6,2.0,1.0,993.0
3.0,4.0,7.8,3.0,4.0,955.6,2.0,4.0,748.8,2.0,3.0,767.7,2.0,3.0,1770.0,2.0,3.0,2751.0
3.0,5.0,20.3,3.0,5.0,1464.0,2.0,5.0,1168.0,2.0,5.0,602.6,2.0,4.0,1543.0,2.0,4.0,1335.0
3.0,6.0,17.5,3.0,6.0,1388.0,2.0,6.0,1139.0,2.0,6.0,411.1,2.0,6.0,1171.0,2.0,5.0,2610.0
4.0,2.0,11.8,4.0,1.0,296.2,4.0,1.0,227.5,3.0,1.0,243.6,3.0,1.0,818.6,3.0,1.0,1042.0
4.0,3.0,8.6,4.0,3.0,990.9,4.0,2.0,682.8,3.0,2.0,804.2,3.0,2.0,2206.0,3.0,2.0,2482.0
4.0,5.0,15.2,4.0,5.0,1092.0,4.0,5.0,543.8,3.0,5.0,690.0,3.0,4.0,1375.0,3.0,4.0,1441.0
4.0,6.0,10.1,4.0,6.0,643.4,4.0,6.0,400.0,3.0,6.0,448.7,3.0,6.0,1685.0,3.0,5.0,2523.0
5.0,2.0,55.4,5.0,1.0,1001.0,5.0,1.0,645.2,5.0,1.0,126.6,4.0,1.0,311.6,4.0,1.0,460.0
5.0,3.0,45.8,5.0,3.0,1842.0,5.0,2.0,1492.0,5.0,2.0,363.4,4.0,2.0,751.3,4.0,2.0,1153.0
5.0,4.0,35.6,5.0,4.0,1619.0,5.0,4.0,995.2,5.0,3.0,536.8,4.0,3.0,969.9,4.0,3.0,1192.0
5.0,6.0,39.1,5.0,6.0,1704.0,5.0,6.0,1116.0,5.0,6.0,159.5,4.0,6.0,384.8,4.0,5.0,932.2
6.0,2.0,50.4,6.0,1.0,779.5,6.0,1.0,631.8,6.0,1.0,122.7,6.0,1.0,398.2,5.0,1.0,787.6
6.0,3.0,44.6,6.0,3.0,1911.0,6.0,2.0,1517.0,6.0,2.0,369.0,6.0,2.0,978.2,5.0,2.0,2295.0
6.0,4.0,29.0,6.0,4.0,901.0,6.0,4.0,839.7,6.0,3.0,397.9,6.0,3.0,1244.0,5.0,3.0,2366.0
6.0,5.0,51.5,6.0,5.0,1994.0,6.0,5.0,1502.0,6.0,5.0,204.1,6.0,4.0,619.8,5.0,4.0,1211.0
