1,大串 重幸,大串 重幸.1,2,末永 和也,末永 和也.1,3,竹田 広樹,竹田 広樹.1,4,植竹 玲奈,植竹 玲奈.1,5,岡本 猛,岡本 猛.1,6,濱崎 誠,濱崎 誠.1
2.0,3.0,10.1,1.0,3.0,15.2,1.0,2.0,202.3,1.0,2.0,583.2,1.0,2.0,67.6,1.0,2.0,78.2
2.0,4.0,80.9,1.0,4.0,116.3,1.0,4.0,738.7,1.0,3.0,1502.0,1.0,3.0,208.0,1.0,3.0,289.7
2.0,5.0,6.2,1.0,5.0,6.7,1.0,5.0,241.5,1.0,5.0,1323.0,1.0,4.0,561.0,1.0,4.0,784.5
2.0,6.0,7.2,1.0,6.0,9.8,1.0,6.0,395.7,1.0,6.0,1166.0,1.0,6.0,86.9,1.0,5.0,120.4
3.0,2.0,35.3,3.0,1.0,69.6,2.0,1.0,245.5,2.0,1.0,598.9,2.0,1.0,72.9,2.0,1.0,81.2
3.0,4.0,266.2,3.0,4.0,420.1,2.0,4.0,1042.0,2.0,3.0,1809.0,2.0,3.0,202.8,2.0,3.0,200.5
3.0,5.0,71.4,3.0,5.0,105.1,2.0,5.0,263.0,2.0,5.0,1303.0,2.0,4.0,637.7,2.0,4.0,430.3
3.0,6.0,121.2,3.0,6.0,114.0,2.0,6.0,318.8,2.0,6.0,1429.0,2.0,6.0,78.1,2.0,5.0,92.5
4.0,2.0,256.2,4.0,1.0,484.4,4.0,1.0,1477.0,3.0,1.0,1846.0,3.0,1.0,298.4,3.0,1.0,521.4
4.0,3.0,456.9,4.0,3.0,751.2,4.0,2.0,1182.0,3.0,2.0,1927.0,3.0,2.0,325.9,3.0,2.0,464.1
4.0,5.0,561.0,4.0,5.0,860.6,4.0,5.0,1453.0,3.0,5.0,2216.0,3.0,4.0,1477.0,3.0,4.0,1738.0
4.0,6.0,512.4,4.0,6.0,554.0,4.0,6.0,1583.0,3.0,6.0,2395.0,3.0,6.0,283.2,3.0,5.0,603.0
5.0,2.0,22.2,5.0,1.0,34.1,5.0,1.0,342.2,5.0,1.0,1197.0,4.0,1.0,933.1,4.0,1.0,2110.0
5.0,3.0,73.0,5.0,3.0,104.5,5.0,2.0,338.3,5.0,2.0,1197.0,4.0,2.0,1323.0,4.0,2.0,1108.0
5.0,4.0,332.0,5.0,4.0,474.0,5.0,4.0,1094.0,5.0,3.0,1738.0,4.0,3.0,1846.0,4.0,3.0,1672.0
5.0,6.0,50.3,5.0,6.0,52.7,5.0,6.0,353.1,5.0,6.0,1407.0,4.0,6.0,1007.0,4.0,5.0,1886.0
6.0,2.0,35.9,6.0,1.0,45.7,6.0,1.0,642.3,6.0,1.0,1641.0,6.0,1.0,91.5,5.0,1.0,127.1
6.0,3.0,133.9,6.0,3.0,148.9,6.0,2.0,503.6,6.0,2.0,1453.0,6.0,2.0,79.4,5.0,2.0,108.7
6.0,4.0,476.6,6.0,4.0,318.8,6.0,4.0,1502.0,6.0,3.0,2162.0,6.0,3.0,218.8,5.0,3.0,267.0
6.0,5.0,74.1,6.0,5.0,65.2,6.0,5.0,603.0,6.0,5.0,1641.0,6.0,4.0,571.9,5.0,4.0,637.7
