1,北中 元樹,北中 元樹.1,2,出畑 孝典,出畑 孝典.1,3,宮本 夏樹,宮本 夏樹.1,4,森 竜也,森 竜也.1,5,池田　奈津美,池田　奈津美.1,6,松尾 充,松尾 充.1
2.0,3.0,34.6,1.0,3.0,25.0,1.0,2.0,130.5,1.0,2.0,109.9,1.0,2.0,232.1,1.0,2.0,142.1
2.0,4.0,32.3,1.0,4.0,29.4,1.0,4.0,267.4,1.0,3.0,267.7,1.0,3.0,475.9,1.0,3.0,342.4
2.0,5.0,49.4,1.0,5.0,49.0,1.0,5.0,379.9,1.0,5.0,180.1,1.0,4.0,351.6,1.0,4.0,301.7
2.0,6.0,20.1,1.0,6.0,12.6,1.0,6.0,161.7,1.0,6.0,138.6,1.0,6.0,328.5,1.0,5.0,468.8
3.0,2.0,75.1,3.0,1.0,33.3,2.0,1.0,97.0,2.0,1.0,110.2,2.0,1.0,248.6,2.0,1.0,92.8
3.0,4.0,150.8,3.0,4.0,42.1,2.0,4.0,125.3,2.0,3.0,137.7,2.0,3.0,268.4,2.0,3.0,58.9
3.0,5.0,193.7,3.0,5.0,70.1,2.0,5.0,174.6,2.0,5.0,109.0,2.0,4.0,272.8,2.0,4.0,77.5
3.0,6.0,99.2,3.0,6.0,12.3,2.0,6.0,45.3,2.0,6.0,54.4,2.0,6.0,170.8,2.0,5.0,140.8
4.0,2.0,47.4,4.0,1.0,62.1,4.0,1.0,470.8,3.0,1.0,491.7,3.0,1.0,703.3,3.0,1.0,312.8
4.0,3.0,121.5,4.0,3.0,68.6,4.0,2.0,270.8,3.0,2.0,275.4,3.0,2.0,374.7,3.0,2.0,92.9
4.0,5.0,83.9,4.0,5.0,81.9,4.0,5.0,668.4,3.0,5.0,491.1,3.0,4.0,854.8,3.0,4.0,325.8
4.0,6.0,71.4,4.0,6.0,25.1,4.0,6.0,322.8,3.0,6.0,292.4,3.0,6.0,513.8,3.0,5.0,418.1
5.0,2.0,79.8,5.0,1.0,123.9,5.0,1.0,638.6,5.0,1.0,291.6,4.0,1.0,477.9,4.0,1.0,345.6
5.0,3.0,163.1,5.0,3.0,128.3,5.0,2.0,323.2,5.0,2.0,177.5,4.0,2.0,330.4,4.0,2.0,125.3
5.0,4.0,119.4,5.0,4.0,132.8,5.0,4.0,649.8,5.0,3.0,421.3,4.0,3.0,665.4,4.0,3.0,353.3
5.0,6.0,123.8,5.0,6.0,71.4,5.0,6.0,458.7,5.0,6.0,212.8,4.0,6.0,399.3,4.0,5.0,423.3
6.0,2.0,51.7,6.0,1.0,20.0,6.0,1.0,178.2,6.0,1.0,210.2,6.0,1.0,632.2,5.0,1.0,652.7
6.0,3.0,134.0,6.0,3.0,13.0,6.0,2.0,65.4,6.0,2.0,83.2,6.0,2.0,274.2,5.0,2.0,303.6
6.0,4.0,124.0,6.0,4.0,20.5,6.0,4.0,205.5,6.0,3.0,250.1,6.0,3.0,580.2,5.0,3.0,643.2
6.0,5.0,187.0,6.0,5.0,44.0,6.0,5.0,289.2,6.0,5.0,229.9,6.0,4.0,498.3,5.0,4.0,561.2
