1,中山 将,中山 将.1,2,渡邉 英児,渡邉 英児.1,3,水摩 敦,水摩 敦.1,4,川上 清人,川上 清人.1,5,岡村 将也,岡村 将也.1,6,大田 直弥,大田 直弥.1
2.0,3.0,7.7,1.0,3.0,35.3,1.0,2.0,16.2,1.0,2.0,461.6,1.0,2.0,179.1,1.0,2.0,2120.0
2.0,4.0,37.3,1.0,4.0,136.9,1.0,4.0,38.4,1.0,3.0,441.1,1.0,3.0,123.2,1.0,3.0,1657.0
2.0,5.0,17.4,1.0,5.0,68.3,1.0,5.0,14.3,1.0,5.0,444.0,1.0,4.0,462.8,1.0,4.0,1507.0
2.0,6.0,63.0,1.0,6.0,224.4,1.0,6.0,59.1,1.0,6.0,566.9,1.0,6.0,388.5,1.0,5.0,3295.0
3.0,2.0,6.3,3.0,1.0,54.1,2.0,1.0,33.5,2.0,1.0,667.9,2.0,1.0,279.9,2.0,1.0,1585.0
3.0,4.0,20.8,3.0,4.0,176.8,2.0,4.0,95.6,2.0,3.0,830.1,2.0,3.0,266.4,2.0,3.0,1841.0
3.0,5.0,7.8,3.0,5.0,77.6,2.0,5.0,38.7,2.0,5.0,898.3,2.0,4.0,852.1,2.0,4.0,3237.0
3.0,6.0,35.6,3.0,6.0,223.6,2.0,6.0,115.5,2.0,6.0,1046.0,2.0,6.0,597.2,2.0,5.0,3315.0
4.0,2.0,82.9,4.0,1.0,376.2,4.0,1.0,83.9,3.0,1.0,413.8,3.0,1.0,137.3,3.0,1.0,1652.0
4.0,3.0,76.4,4.0,3.0,414.4,4.0,2.0,120.5,3.0,2.0,565.7,3.0,2.0,195.7,3.0,2.0,2223.0
4.0,5.0,113.4,4.0,5.0,552.5,4.0,5.0,66.8,3.0,5.0,355.4,3.0,4.0,345.1,3.0,4.0,2834.0
4.0,6.0,205.3,4.0,6.0,913.3,4.0,6.0,128.3,3.0,6.0,591.4,3.0,6.0,372.4,3.0,5.0,2251.0
5.0,2.0,34.1,5.0,1.0,208.0,5.0,1.0,30.0,5.0,1.0,779.3,4.0,1.0,1030.0,4.0,1.0,3964.0
5.0,3.0,26.0,5.0,3.0,189.8,5.0,2.0,44.3,5.0,2.0,1156.0,4.0,2.0,1581.0,4.0,2.0,4341.0
5.0,4.0,107.7,5.0,4.0,540.0,5.0,4.0,58.9,5.0,3.0,733.3,4.0,3.0,899.7,4.0,3.0,3907.0
5.0,6.0,120.5,5.0,6.0,597.2,5.0,6.0,67.7,5.0,6.0,928.8,4.0,6.0,1163.0,4.0,5.0,3907.0
6.0,2.0,299.7,6.0,1.0,837.7,6.0,1.0,213.7,6.0,1.0,1344.0,6.0,1.0,1024.0,5.0,1.0,2170.0
6.0,3.0,229.7,6.0,3.0,876.7,6.0,2.0,300.2,6.0,2.0,1873.0,6.0,2.0,933.5,5.0,2.0,4597.0
6.0,4.0,455.8,6.0,4.0,1378.0,6.0,4.0,269.3,6.0,3.0,1764.0,6.0,3.0,1132.0,5.0,3.0,2762.0
6.0,5.0,332.3,6.0,5.0,1257.0,6.0,5.0,201.5,6.0,5.0,1742.0,6.0,4.0,1536.0,5.0,4.0,3575.0
