1,田中 駿兵,田中 駿兵.1,2,富山 弘幸,富山 弘幸.1,3,森 智哉,森 智哉.1,4,塩田 北斗,塩田 北斗.1,5,新田 泰章,新田 泰章.1,6,高山 敬悟,高山 敬悟.1
2.0,3.0,85.7,1.0,3.0,148.3,1.0,2.0,206.2,1.0,2.0,40.0,1.0,2.0,226.3,1.0,2.0,1918.0
2.0,4.0,36.5,1.0,4.0,74.2,1.0,4.0,83.8,1.0,3.0,58.0,1.0,3.0,263.5,1.0,3.0,2411.0
2.0,5.0,84.7,1.0,5.0,142.6,1.0,5.0,148.7,1.0,5.0,26.5,1.0,4.0,121.5,1.0,4.0,1673.0
2.0,6.0,373.8,1.0,6.0,491.2,1.0,6.0,542.9,1.0,6.0,114.5,1.0,6.0,429.4,1.0,5.0,1961.0
3.0,2.0,94.0,3.0,1.0,172.4,2.0,1.0,242.4,2.0,1.0,44.6,2.0,1.0,293.9,2.0,1.0,2709.0
3.0,4.0,46.9,3.0,4.0,56.7,2.0,4.0,70.9,2.0,3.0,38.7,2.0,3.0,177.9,2.0,3.0,1863.0
3.0,5.0,92.2,3.0,5.0,91.3,2.0,5.0,113.3,2.0,5.0,17.2,2.0,4.0,72.0,2.0,4.0,1095.0
3.0,6.0,378.6,3.0,6.0,371.1,2.0,6.0,405.5,2.0,6.0,87.6,2.0,6.0,413.8,2.0,5.0,1787.0
4.0,2.0,28.0,4.0,1.0,60.7,4.0,1.0,74.0,3.0,1.0,71.1,3.0,1.0,320.1,3.0,1.0,2654.0
4.0,3.0,36.6,4.0,3.0,44.8,4.0,2.0,54.8,3.0,2.0,43.8,3.0,2.0,202.4,3.0,2.0,2037.0
4.0,5.0,26.2,4.0,5.0,27.3,4.0,5.0,34.4,3.0,5.0,25.2,3.0,4.0,99.2,3.0,4.0,1228.0
4.0,6.0,136.5,4.0,6.0,140.3,4.0,6.0,159.8,3.0,6.0,105.7,3.0,6.0,526.6,3.0,5.0,1812.0
5.0,2.0,103.7,5.0,1.0,170.9,5.0,1.0,206.9,5.0,1.0,18.2,4.0,1.0,68.4,4.0,1.0,995.4
5.0,3.0,133.8,5.0,3.0,138.6,5.0,2.0,147.8,5.0,2.0,11.3,4.0,2.0,39.6,4.0,2.0,826.4
5.0,4.0,57.8,5.0,4.0,50.9,5.0,4.0,65.0,5.0,3.0,16.8,4.0,3.0,56.2,4.0,3.0,976.9
5.0,6.0,340.4,5.0,6.0,312.4,5.0,6.0,339.5,5.0,6.0,20.0,4.0,6.0,80.4,4.0,5.0,446.1
6.0,2.0,836.9,6.0,1.0,999.2,6.0,1.0,1340.0,6.0,1.0,187.7,6.0,1.0,834.3,5.0,1.0,1961.0
6.0,3.0,873.1,6.0,3.0,980.6,6.0,2.0,1123.0,6.0,2.0,123.2,6.0,2.0,695.2,5.0,2.0,1728.0
6.0,4.0,511.2,6.0,4.0,483.1,6.0,4.0,514.3,6.0,3.0,167.1,6.0,3.0,798.8,5.0,3.0,1812.0
6.0,5.0,725.9,6.0,5.0,650.5,6.0,5.0,645.7,6.0,5.0,64.5,6.0,4.0,296.6,5.0,4.0,566.3
