1,市川 美宏,市川 美宏.1,2,岩田 凌,岩田 凌.1,3,岡部 浩,岡部 浩.1,4,中嶋 達也,中嶋 達也.1,5,高濱 芳久,高濱 芳久.1,6,樫葉 次郎,樫葉 次郎.1
2.0,3.0,30.0,1.0,3.0,134.4,1.0,2.0,92.6,1.0,2.0,105.3,1.0,2.0,205.5,1.0,2.0,906.9
2.0,4.0,51.3,1.0,4.0,154.6,1.0,4.0,25.6,1.0,3.0,49.4,1.0,3.0,82.9,1.0,3.0,574.0
2.0,5.0,60.2,1.0,5.0,203.9,1.0,5.0,32.0,1.0,5.0,45.2,1.0,4.0,92.4,1.0,4.0,629.8
2.0,6.0,118.2,1.0,6.0,281.0,1.0,6.0,77.4,1.0,6.0,79.2,1.0,6.0,114.9,1.0,5.0,680.2
3.0,2.0,25.0,3.0,1.0,283.4,2.0,1.0,224.5,2.0,1.0,214.5,2.0,1.0,365.7,2.0,1.0,1046.0
3.0,4.0,9.9,3.0,4.0,376.8,2.0,4.0,263.6,2.0,3.0,292.5,2.0,3.0,434.6,2.0,3.0,1432.0
3.0,5.0,11.5,3.0,5.0,373.7,2.0,5.0,233.3,2.0,5.0,258.1,2.0,4.0,489.3,2.0,4.0,1248.0
3.0,6.0,19.0,3.0,6.0,596.7,2.0,6.0,417.3,2.0,6.0,342.6,2.0,6.0,599.3,2.0,5.0,1360.0
4.0,2.0,38.9,4.0,1.0,340.9,4.0,1.0,41.0,3.0,1.0,63.7,3.0,1.0,105.9,3.0,1.0,467.5
4.0,3.0,13.8,4.0,3.0,422.5,4.0,2.0,152.3,3.0,2.0,208.0,3.0,2.0,305.7,3.0,2.0,1333.0
4.0,5.0,16.4,4.0,5.0,446.0,4.0,5.0,40.4,3.0,5.0,64.6,3.0,4.0,113.6,3.0,4.0,872.1
4.0,6.0,42.8,4.0,6.0,723.6,4.0,6.0,83.8,3.0,6.0,110.0,3.0,6.0,184.0,3.0,5.0,919.2
5.0,2.0,63.9,5.0,1.0,564.5,5.0,1.0,62.2,5.0,1.0,46.8,4.0,1.0,87.7,4.0,1.0,660.4
5.0,3.0,21.8,5.0,3.0,539.8,5.0,2.0,198.6,5.0,2.0,134.5,4.0,2.0,293.2,4.0,2.0,1374.0
5.0,4.0,31.9,5.0,4.0,680.2,5.0,4.0,60.0,5.0,3.0,61.3,4.0,3.0,103.9,4.0,3.0,1071.0
5.0,6.0,43.7,5.0,6.0,866.5,5.0,6.0,116.5,5.0,6.0,55.5,4.0,6.0,112.4,4.0,5.0,632.7
6.0,2.0,262.6,6.0,1.0,1022.0,6.0,1.0,240.7,6.0,1.0,160.0,6.0,1.0,237.4,5.0,1.0,697.6
6.0,3.0,71.0,6.0,3.0,1071.0,6.0,2.0,704.9,6.0,2.0,393.2,6.0,2.0,479.0,5.0,2.0,877.7
6.0,4.0,127.1,6.0,4.0,1106.0,6.0,4.0,212.2,6.0,3.0,210.9,6.0,3.0,257.6,5.0,3.0,739.3
6.0,5.0,113.6,6.0,5.0,1124.0,6.0,5.0,233.3,6.0,5.0,132.4,6.0,4.0,186.8,5.0,4.0,498.3
