1,近藤 友宝,近藤 友宝.1,2,幸野 史明,幸野 史明.1,3,森野 正弘,森野 正弘.1,4,白石 有美,白石 有美.1,5,太田 潮,太田 潮.1,6,山本 修一,山本 修一.1
2.0,3.0,25.9,1.0,3.0,30.8,1.0,2.0,19.5,1.0,2.0,775.4,1.0,2.0,474.4,1.0,2.0,152.5
2.0,4.0,184.5,1.0,4.0,230.9,1.0,4.0,92.9,1.0,3.0,594.3,1.0,3.0,287.4,1.0,3.0,62.6
2.0,5.0,101.4,1.0,5.0,102.9,1.0,5.0,43.1,1.0,5.0,820.9,1.0,4.0,1040.0,1.0,4.0,487.6
2.0,6.0,36.6,1.0,6.0,39.6,1.0,6.0,10.7,1.0,6.0,546.7,1.0,6.0,254.0,1.0,5.0,270.7
3.0,2.0,16.2,3.0,1.0,34.1,2.0,1.0,33.5,2.0,1.0,1029.0,2.0,1.0,620.6,2.0,1.0,235.6
3.0,4.0,79.5,3.0,4.0,135.1,2.0,4.0,121.3,2.0,3.0,874.7,2.0,3.0,336.8,2.0,3.0,120.5
3.0,5.0,43.1,3.0,5.0,54.4,2.0,5.0,47.0,2.0,5.0,1222.0,2.0,4.0,1513.0,2.0,4.0,691.1
3.0,6.0,13.3,3.0,6.0,21.9,2.0,6.0,14.8,2.0,6.0,647.9,2.0,6.0,248.3,2.0,5.0,327.4
4.0,2.0,278.8,4.0,1.0,516.4,4.0,1.0,214.0,3.0,1.0,663.3,3.0,1.0,297.8,3.0,1.0,64.2
4.0,3.0,269.6,4.0,3.0,447.8,4.0,2.0,229.2,3.0,2.0,900.1,3.0,2.0,301.3,3.0,2.0,79.4
4.0,5.0,456.6,4.0,5.0,752.5,4.0,5.0,225.3,3.0,5.0,769.0,3.0,4.0,874.7,3.0,4.0,283.0
4.0,6.0,279.0,4.0,6.0,412.2,4.0,6.0,104.3,3.0,6.0,424.7,3.0,6.0,131.7,3.0,5.0,125.4
5.0,2.0,178.0,5.0,1.0,248.1,5.0,1.0,82.9,5.0,1.0,880.2,4.0,1.0,1320.0,4.0,1.0,1040.0
5.0,3.0,127.3,5.0,3.0,145.8,5.0,2.0,76.9,5.0,2.0,996.2,4.0,2.0,1686.0,4.0,2.0,985.6
5.0,4.0,563.2,5.0,4.0,703.3,5.0,4.0,234.4,5.0,3.0,698.0,4.0,3.0,1211.0,4.0,3.0,564.3
5.0,6.0,153.3,5.0,6.0,128.4,5.0,6.0,39.3,5.0,6.0,439.4,4.0,6.0,708.6,4.0,5.0,828.2
6.0,2.0,59.5,6.0,1.0,94.0,6.0,1.0,13.8,6.0,1.0,574.8,6.0,1.0,294.3,5.0,1.0,385.5
6.0,3.0,32.0,6.0,3.0,47.9,6.0,2.0,16.2,6.0,2.0,616.5,6.0,2.0,255.8,5.0,2.0,349.4
6.0,4.0,270.4,6.0,4.0,364.9,6.0,4.0,82.5,6.0,3.0,440.8,6.0,3.0,171.3,5.0,3.0,199.8
6.0,5.0,141.2,6.0,5.0,123.9,6.0,5.0,32.6,6.0,5.0,489.3,6.0,4.0,655.5,5.0,4.0,692.9
