1,伊藤 玲奈,伊藤 玲奈.1,2,片岡 恵里,片岡 恵里.1,3,小池 礼乃,小池 礼乃.1,4,井上 未都,井上 未都.1,5,犬童 千秋,犬童 千秋.1,6,松瀬 弘美,松瀬 弘美.1
2.0,3.0,17.4,1.0,3.0,23.0,1.0,2.0,33.7,1.0,2.0,248.5,1.0,2.0,80.2,1.0,2.0,672.0
2.0,4.0,61.1,1.0,4.0,64.3,1.0,4.0,96.2,1.0,3.0,286.6,1.0,3.0,71.8,1.0,3.0,573.3
2.0,5.0,30.3,1.0,5.0,26.5,1.0,5.0,23.2,1.0,5.0,266.2,1.0,4.0,246.5,1.0,4.0,1231.0
2.0,6.0,71.0,1.0,6.0,53.8,1.0,6.0,64.8,1.0,6.0,393.7,1.0,6.0,103.3,1.0,5.0,531.7
3.0,2.0,23.8,3.0,1.0,34.2,2.0,1.0,50.4,2.0,1.0,305.7,2.0,1.0,94.2,2.0,1.0,634.8
3.0,4.0,54.1,3.0,4.0,67.9,2.0,4.0,74.7,2.0,3.0,239.1,2.0,3.0,65.7,2.0,3.0,468.0
3.0,5.0,16.9,3.0,5.0,22.6,2.0,5.0,29.0,2.0,5.0,233.4,2.0,4.0,210.3,2.0,4.0,965.6
3.0,6.0,63.0,3.0,6.0,50.8,2.0,6.0,66.5,2.0,6.0,325.8,2.0,6.0,86.7,2.0,5.0,432.7
4.0,2.0,118.9,4.0,1.0,141.1,4.0,1.0,159.9,3.0,1.0,313.6,3.0,1.0,73.7,3.0,1.0,669.5
4.0,3.0,118.1,4.0,3.0,115.5,4.0,2.0,121.9,3.0,2.0,247.9,3.0,2.0,63.3,3.0,2.0,504.0
4.0,5.0,131.5,4.0,5.0,115.6,4.0,5.0,91.5,3.0,5.0,211.3,3.0,4.0,162.2,3.0,4.0,708.3
4.0,6.0,219.7,4.0,6.0,181.4,4.0,6.0,150.0,3.0,6.0,334.7,3.0,6.0,86.3,3.0,5.0,394.5
5.0,2.0,46.5,5.0,1.0,46.7,5.0,1.0,39.8,5.0,1.0,232.5,4.0,1.0,356.9,4.0,1.0,1667.0
5.0,3.0,35.0,5.0,3.0,33.1,5.0,2.0,32.6,5.0,2.0,189.3,4.0,2.0,275.0,4.0,2.0,1265.0
5.0,4.0,132.0,5.0,4.0,93.2,5.0,4.0,73.4,5.0,3.0,207.5,4.0,3.0,229.3,4.0,3.0,787.4
5.0,6.0,74.4,5.0,6.0,49.4,5.0,6.0,44.9,5.0,6.0,181.8,4.0,6.0,244.6,4.0,5.0,1139.0
6.0,2.0,221.0,6.0,1.0,169.5,6.0,1.0,256.5,6.0,1.0,586.1,6.0,1.0,134.9,5.0,1.0,482.8
6.0,3.0,232.8,6.0,3.0,152.6,6.0,2.0,203.1,6.0,2.0,472.8,6.0,2.0,104.4,5.0,2.0,355.5
6.0,4.0,350.1,6.0,4.0,337.8,6.0,4.0,287.5,6.0,3.0,477.7,6.0,3.0,125.7,5.0,3.0,357.6
6.0,5.0,178.9,6.0,5.0,133.0,6.0,5.0,135.6,6.0,5.0,333.5,6.0,4.0,284.0,5.0,4.0,857.3
