1,高橋 英之,高橋 英之.1,2,山本　景士郎,山本　景士郎.1,3,竹田 吉行,竹田 吉行.1,4,市川 猛,市川 猛.1,5,齊藤 廉,齊藤 廉.1,6,羽野 直也,羽野 直也.1
2.0,3.0,15.1,1.0,3.0,61.4,1.0,2.0,106.3,1.0,2.0,675.1,1.0,2.0,1928.0,1.0,2.0,11.7
2.0,4.0,46.0,1.0,4.0,152.5,1.0,4.0,328.4,1.0,3.0,1078.0,1.0,3.0,2052.0,1.0,3.0,13.7
2.0,5.0,197.1,1.0,5.0,336.6,1.0,5.0,805.5,1.0,5.0,1642.0,1.0,4.0,3393.0,1.0,4.0,73.5
2.0,6.0,7.5,1.0,6.0,28.8,1.0,6.0,53.1,1.0,6.0,394.0,1.0,6.0,1325.0,1.0,5.0,78.7
3.0,2.0,20.7,3.0,1.0,131.0,2.0,1.0,173.9,2.0,1.0,865.7,2.0,1.0,1988.0,2.0,1.0,24.3
3.0,4.0,67.8,3.0,4.0,452.9,2.0,4.0,583.8,2.0,3.0,1792.0,2.0,3.0,4105.0,2.0,3.0,41.0
3.0,5.0,278.4,3.0,5.0,1083.0,2.0,5.0,1279.0,2.0,5.0,2314.0,2.0,4.0,3743.0,2.0,4.0,127.5
3.0,6.0,11.0,3.0,6.0,116.9,2.0,6.0,153.5,2.0,6.0,647.6,2.0,6.0,1780.0,2.0,5.0,134.5
4.0,2.0,102.4,4.0,1.0,400.8,4.0,1.0,682.4,3.0,1.0,1611.0,3.0,1.0,2860.0,3.0,1.0,32.9
4.0,3.0,131.8,4.0,3.0,842.8,4.0,2.0,982.7,3.0,2.0,1871.0,3.0,2.0,3689.0,3.0,2.0,48.9
4.0,5.0,512.1,4.0,5.0,1913.0,4.0,5.0,2121.0,3.0,5.0,3349.0,3.0,4.0,4314.0,3.0,4.0,177.1
4.0,6.0,61.9,4.0,6.0,274.8,4.0,6.0,454.5,3.0,6.0,1002.0,3.0,6.0,3222.0,3.0,5.0,248.5
5.0,2.0,534.7,5.0,1.0,1533.0,5.0,1.0,2069.0,5.0,1.0,2378.0,4.0,1.0,3439.0,4.0,1.0,179.6
5.0,3.0,737.8,5.0,3.0,2545.0,5.0,2.0,2994.0,5.0,2.0,3743.0,4.0,2.0,6060.0,4.0,2.0,258.1
5.0,4.0,979.0,5.0,4.0,3393.0,5.0,4.0,3104.0,5.0,3.0,3439.0,4.0,3.0,5194.0,4.0,3.0,334.4
5.0,6.0,388.6,5.0,6.0,1195.0,5.0,6.0,2335.0,5.0,6.0,2069.0,4.0,6.0,2892.0,4.0,5.0,598.9
6.0,2.0,6.9,6.0,1.0,38.2,6.0,1.0,65.5,6.0,1.0,337.1,6.0,1.0,1325.0,5.0,1.0,214.6
6.0,3.0,7.7,6.0,3.0,76.9,6.0,2.0,114.9,6.0,2.0,463.6,6.0,2.0,1430.0,5.0,2.0,285.0
6.0,4.0,40.8,6.0,4.0,167.9,6.0,4.0,283.1,6.0,3.0,703.1,6.0,3.0,2447.0,5.0,3.0,428.5
6.0,5.0,88.1,6.0,5.0,432.8,6.0,5.0,707.0,6.0,5.0,1285.0,6.0,4.0,1943.0,5.0,4.0,634.7
