1,岩崎 正哉,岩崎 正哉.1,2,羽野 諒,羽野 諒.1,3,藤丸 光一,藤丸 光一.1,4,三苫 晃幸,三苫 晃幸.1,5,森 晋太郎,森 晋太郎.1,6,大庭 元明,大庭 元明.1
2.0,3.0,11.6,1.0,3.0,54.0,1.0,2.0,103.7,1.0,2.0,51.1,1.0,2.0,247.7,1.0,2.0,607.1
2.0,4.0,7.5,1.0,4.0,40.7,1.0,4.0,71.7,1.0,3.0,70.4,1.0,3.0,352.4,1.0,3.0,630.5
2.0,5.0,30.4,1.0,5.0,119.3,1.0,5.0,213.9,1.0,5.0,63.8,1.0,4.0,202.0,1.0,4.0,357.6
2.0,6.0,25.4,1.0,6.0,92.4,1.0,6.0,171.6,1.0,6.0,48.5,1.0,6.0,257.0,1.0,5.0,890.2
3.0,2.0,13.1,3.0,1.0,185.8,2.0,1.0,225.3,2.0,1.0,118.2,2.0,1.0,435.7,2.0,1.0,1049.0
3.0,4.0,10.9,3.0,4.0,293.0,2.0,4.0,315.6,2.0,3.0,318.4,2.0,3.0,1057.0,2.0,3.0,1754.0
3.0,5.0,30.6,3.0,5.0,676.3,2.0,5.0,672.1,2.0,5.0,256.7,2.0,4.0,684.8,2.0,4.0,1222.0
3.0,6.0,25.9,3.0,6.0,601.0,2.0,6.0,641.7,2.0,6.0,232.1,2.0,6.0,856.3,2.0,5.0,2299.0
4.0,2.0,8.7,4.0,1.0,121.9,4.0,1.0,154.9,3.0,1.0,164.4,3.0,1.0,832.6,3.0,1.0,887.3
4.0,3.0,12.5,4.0,3.0,300.8,4.0,2.0,322.0,3.0,2.0,337.5,3.0,2.0,1480.0,3.0,2.0,2039.0
4.0,5.0,22.6,4.0,5.0,363.3,4.0,5.0,406.9,3.0,5.0,482.0,3.0,4.0,1302.0,3.0,4.0,1418.0
4.0,6.0,14.7,4.0,6.0,295.2,4.0,6.0,323.1,3.0,6.0,335.4,3.0,6.0,1622.0,3.0,5.0,2610.0
5.0,2.0,62.5,5.0,1.0,430.9,5.0,1.0,573.0,5.0,1.0,99.9,4.0,1.0,254.7,4.0,1.0,426.8
5.0,3.0,80.1,5.0,3.0,1047.0,5.0,2.0,1063.0,5.0,2.0,189.9,4.0,2.0,496.2,4.0,2.0,1107.0
5.0,4.0,55.2,5.0,4.0,664.6,5.0,4.0,813.8,5.0,3.0,366.8,4.0,3.0,805.3,4.0,3.0,1217.0
5.0,6.0,80.5,5.0,6.0,933.2,5.0,6.0,1033.0,5.0,6.0,127.1,4.0,6.0,335.0,4.0,5.0,982.5
6.0,2.0,69.1,6.0,1.0,538.7,6.0,1.0,479.0,6.0,1.0,116.9,6.0,1.0,536.0,5.0,1.0,1198.0
6.0,3.0,86.8,6.0,3.0,973.6,6.0,2.0,1013.0,6.0,2.0,248.3,6.0,2.0,844.3,5.0,2.0,2152.0
6.0,4.0,48.7,6.0,4.0,713.8,6.0,4.0,666.3,6.0,3.0,331.1,6.0,3.0,1179.0,5.0,3.0,2434.0
6.0,5.0,116.2,6.0,5.0,1242.0,6.0,5.0,1228.0,6.0,5.0,189.0,6.0,4.0,584.1,5.0,4.0,1208.0
