1,川原 正明,川原 正明.1,2,志道 吉和,志道 吉和.1,3,盛本 真輔,盛本 真輔.1,4,武井　莉里佳,武井　莉里佳.1,5,北村 征嗣,北村 征嗣.1,6,宇野 弥生,宇野 弥生.1
2.0,3.0,38.7,1.0,3.0,172.7,1.0,2.0,122.3,1.0,2.0,197.1,1.0,2.0,120.2,1.0,2.0,496.0
2.0,4.0,72.6,1.0,4.0,329.4,1.0,4.0,70.5,1.0,3.0,115.8,1.0,3.0,59.3,1.0,3.0,263.7
2.0,5.0,35.3,1.0,5.0,176.9,1.0,5.0,31.3,1.0,5.0,58.8,1.0,4.0,110.3,1.0,4.0,383.3
2.0,6.0,71.1,1.0,6.0,261.3,1.0,6.0,59.1,1.0,6.0,66.0,1.0,6.0,44.2,1.0,5.0,158.3
3.0,2.0,29.5,3.0,1.0,310.8,2.0,1.0,279.4,2.0,1.0,412.5,2.0,1.0,300.1,2.0,1.0,911.9
3.0,4.0,18.9,3.0,4.0,711.9,2.0,4.0,464.8,2.0,3.0,570.7,2.0,3.0,384.0,2.0,3.0,987.5
3.0,5.0,8.9,3.0,5.0,366.0,2.0,5.0,261.3,2.0,5.0,342.6,2.0,4.0,623.8,2.0,4.0,1136.0
3.0,6.0,17.8,3.0,6.0,571.4,2.0,6.0,364.7,2.0,6.0,364.1,2.0,6.0,310.1,2.0,5.0,776.4
4.0,2.0,76.1,4.0,1.0,715.5,4.0,1.0,110.1,3.0,1.0,134.0,3.0,1.0,92.8,3.0,1.0,421.8
4.0,3.0,31.6,4.0,3.0,827.4,4.0,2.0,274.3,3.0,2.0,325.4,3.0,2.0,314.4,3.0,2.0,880.0
4.0,5.0,26.1,4.0,5.0,736.4,4.0,5.0,91.8,3.0,5.0,109.7,3.0,4.0,236.7,3.0,4.0,593.6
4.0,6.0,41.9,4.0,6.0,795.1,4.0,6.0,104.1,3.0,6.0,125.4,3.0,6.0,111.1,3.0,5.0,309.6
5.0,2.0,39.5,5.0,1.0,372.3,5.0,1.0,52.2,5.0,1.0,52.4,4.0,1.0,114.5,4.0,1.0,428.6
5.0,3.0,13.7,5.0,3.0,417.3,5.0,2.0,194.3,5.0,2.0,150.2,4.0,2.0,311.7,4.0,2.0,852.0
5.0,4.0,30.9,5.0,4.0,787.8,5.0,4.0,90.0,5.0,3.0,98.8,4.0,3.0,213.7,4.0,3.0,551.6
5.0,6.0,17.7,5.0,6.0,413.3,5.0,6.0,58.8,5.0,6.0,37.1,4.0,6.0,78.8,4.0,5.0,240.5
6.0,2.0,125.2,6.0,1.0,776.4,6.0,1.0,160.7,6.0,1.0,79.6,6.0,1.0,68.6,5.0,1.0,187.9
6.0,3.0,52.6,6.0,3.0,833.8,6.0,2.0,388.9,6.0,2.0,200.0,6.0,2.0,181.1,5.0,2.0,587.9
6.0,4.0,76.6,6.0,4.0,1045.0,6.0,4.0,183.7,6.0,3.0,137.3,6.0,3.0,108.2,5.0,3.0,269.5
6.0,5.0,41.2,6.0,5.0,634.9,6.0,5.0,129.7,6.0,5.0,60.1,6.0,4.0,106.8,5.0,4.0,236.9
