1,長尾 章平,長尾 章平.1,2,丸尾 義孝,丸尾 義孝.1,3,品川　二千翔,品川　二千翔.1,4,麻生 慎介,麻生 慎介.1,5,泥谷 一毅,泥谷 一毅.1,6,山口 広樹,山口 広樹.1
2.0,3.0,12.8,1.0,3.0,98.0,1.0,2.0,119.0,1.0,2.0,60.8,1.0,2.0,44.9,1.0,2.0,398.5
2.0,4.0,8.2,1.0,4.0,74.6,1.0,4.0,78.1,1.0,3.0,95.5,1.0,3.0,75.9,1.0,3.0,454.6
2.0,5.0,15.9,1.0,5.0,83.9,1.0,5.0,101.7,1.0,5.0,51.7,1.0,4.0,50.6,1.0,4.0,566.0
2.0,6.0,52.5,1.0,6.0,155.4,1.0,6.0,146.4,1.0,6.0,108.2,1.0,6.0,61.5,1.0,5.0,424.3
3.0,2.0,18.3,3.0,1.0,201.5,2.0,1.0,236.9,2.0,1.0,123.8,2.0,1.0,78.6,2.0,1.0,526.8
3.0,4.0,14.9,3.0,4.0,495.7,2.0,4.0,399.5,2.0,3.0,352.6,2.0,3.0,183.6,2.0,3.0,1178.0
3.0,5.0,27.2,3.0,5.0,558.6,2.0,5.0,486.5,2.0,5.0,169.3,2.0,4.0,146.5,2.0,4.0,1040.0
3.0,6.0,54.1,3.0,6.0,582.1,2.0,6.0,672.6,2.0,6.0,264.5,2.0,6.0,119.7,2.0,5.0,764.1
4.0,2.0,12.7,4.0,1.0,166.1,4.0,1.0,158.5,3.0,1.0,203.7,3.0,1.0,181.4,3.0,1.0,630.3
4.0,3.0,20.2,4.0,3.0,464.0,4.0,2.0,335.3,3.0,2.0,432.1,3.0,2.0,339.2,3.0,2.0,1459.0
4.0,5.0,19.6,4.0,5.0,341.6,4.0,5.0,266.6,3.0,5.0,287.5,3.0,4.0,277.5,3.0,4.0,1399.0
4.0,6.0,59.3,4.0,6.0,799.1,4.0,6.0,392.2,3.0,6.0,460.9,3.0,6.0,300.8,3.0,5.0,1215.0
5.0,2.0,25.1,5.0,1.0,168.5,5.0,1.0,205.8,5.0,1.0,68.4,4.0,1.0,78.4,4.0,1.0,775.5
5.0,3.0,38.9,5.0,3.0,438.6,5.0,2.0,469.1,5.0,2.0,122.9,4.0,2.0,155.1,4.0,2.0,1125.0
5.0,4.0,30.2,5.0,4.0,342.6,5.0,4.0,361.5,5.0,3.0,185.3,4.0,3.0,206.5,4.0,3.0,1281.0
5.0,6.0,54.4,5.0,6.0,488.1,5.0,6.0,555.3,5.0,6.0,139.4,4.0,6.0,159.2,4.0,5.0,838.9
6.0,2.0,86.7,6.0,1.0,307.5,6.0,1.0,315.8,6.0,1.0,215.1,6.0,1.0,79.9,5.0,1.0,370.9
6.0,3.0,93.2,6.0,3.0,629.5,6.0,2.0,785.8,6.0,2.0,297.4,6.0,2.0,107.8,5.0,2.0,522.7
6.0,4.0,100.3,6.0,4.0,656.6,6.0,4.0,711.1,6.0,3.0,484.0,6.0,3.0,172.2,5.0,3.0,789.7
6.0,5.0,96.7,6.0,5.0,522.7,6.0,5.0,717.6,6.0,5.0,256.9,6.0,4.0,159.6,5.0,4.0,688.3
