1,角浜 修,角浜 修.1,2,渡邊 哲也,渡邊 哲也.1,3,出畑 孝典,出畑 孝典.1,4,宮武 英司,宮武 英司.1,5,鈴木 智啓,鈴木 智啓.1,6,池田 雄一,池田 雄一.1
2.0,3.0,109.3,1.0,3.0,425.2,1.0,2.0,129.2,1.0,2.0,519.8,1.0,2.0,526.4,1.0,2.0,147.8
2.0,4.0,145.8,1.0,4.0,515.0,1.0,4.0,33.1,1.0,3.0,146.6,1.0,3.0,198.6,1.0,3.0,35.8
2.0,5.0,212.3,1.0,5.0,785.9,1.0,5.0,35.6,1.0,5.0,271.4,1.0,4.0,354.3,1.0,4.0,52.2
2.0,6.0,124.2,1.0,6.0,395.7,1.0,6.0,18.6,1.0,6.0,175.6,1.0,6.0,262.8,1.0,5.0,66.8
3.0,2.0,67.1,3.0,1.0,438.7,2.0,1.0,283.4,2.0,1.0,901.2,2.0,1.0,999.0,2.0,1.0,338.4
3.0,4.0,31.3,3.0,4.0,647.7,2.0,4.0,231.2,2.0,3.0,702.6,2.0,3.0,872.8,2.0,3.0,237.2
3.0,5.0,28.4,3.0,5.0,753.7,2.0,5.0,329.6,2.0,5.0,801.1,2.0,4.0,906.2,2.0,4.0,220.8
3.0,6.0,15.6,3.0,6.0,538.4,2.0,6.0,180.0,2.0,6.0,774.9,2.0,6.0,964.1,2.0,5.0,377.7
4.0,2.0,184.2,4.0,1.0,863.7,4.0,1.0,52.7,3.0,1.0,165.0,3.0,1.0,194.4,3.0,1.0,31.9
4.0,3.0,69.7,4.0,3.0,896.4,4.0,2.0,208.3,3.0,2.0,526.4,3.0,2.0,547.3,3.0,2.0,101.1
4.0,5.0,143.8,4.0,5.0,936.9,4.0,5.0,47.2,3.0,5.0,165.3,3.0,4.0,222.8,3.0,4.0,22.4
4.0,6.0,86.5,4.0,6.0,999.0,4.0,6.0,19.3,3.0,6.0,84.0,3.0,6.0,102.4,3.0,5.0,30.5
5.0,2.0,217.0,5.0,1.0,916.2,5.0,1.0,61.7,5.0,1.0,351.3,4.0,1.0,508.6,4.0,1.0,99.9
5.0,3.0,83.5,5.0,3.0,916.2,5.0,2.0,207.5,5.0,2.0,663.3,4.0,2.0,682.4,4.0,2.0,219.9
5.0,4.0,165.3,5.0,4.0,987.1,5.0,4.0,57.4,5.0,3.0,255.9,4.0,3.0,295.6,4.0,3.0,47.9
5.0,6.0,109.3,5.0,6.0,987.1,5.0,6.0,31.6,5.0,6.0,222.5,4.0,6.0,279.1,4.0,5.0,71.7
6.0,2.0,83.2,6.0,1.0,541.9,6.0,1.0,18.1,6.0,1.0,188.2,6.0,1.0,253.5,5.0,1.0,91.7
6.0,3.0,22.5,6.0,3.0,607.4,6.0,2.0,82.5,6.0,2.0,507.1,6.0,2.0,526.4,5.0,2.0,226.8
6.0,4.0,40.3,6.0,4.0,778.5,6.0,4.0,13.8,6.0,3.0,105.2,6.0,3.0,130.6,5.0,3.0,51.0
6.0,5.0,44.1,6.0,5.0,863.7,6.0,5.0,17.8,6.0,5.0,175.3,6.0,4.0,204.9,5.0,4.0,52.4
