1,松尾 怜実,松尾 怜実.1,2,山本 梨菜,山本 梨菜.1,3,吉田 彩乃,吉田 彩乃.1,4,魚谷 香織,魚谷 香織.1,5,久保田　凪紗,久保田　凪紗.1,6,中曽 瑠華,中曽 瑠華.1
2.0,3.0,21.2,1.0,3.0,28.5,1.0,2.0,104.8,1.0,2.0,17.2,1.0,2.0,2197.0,1.0,2.0,2046.0
2.0,4.0,10.8,1.0,4.0,13.3,1.0,4.0,90.2,1.0,3.0,38.4,1.0,3.0,2174.0,1.0,3.0,2676.0
2.0,5.0,242.2,1.0,5.0,225.9,1.0,5.0,529.8,1.0,5.0,178.2,1.0,4.0,1491.0,1.0,4.0,1951.0
2.0,6.0,181.7,1.0,6.0,175.7,1.0,6.0,468.1,1.0,6.0,106.7,1.0,6.0,3866.0,1.0,5.0,4538.0
3.0,2.0,35.7,3.0,1.0,39.2,2.0,1.0,97.8,2.0,1.0,12.8,2.0,1.0,2940.0,2.0,1.0,2319.0
3.0,4.0,30.2,3.0,4.0,17.1,2.0,4.0,39.8,2.0,3.0,11.9,2.0,3.0,2456.0,2.0,3.0,2007.0
3.0,5.0,250.6,3.0,5.0,250.9,2.0,5.0,469.1,2.0,5.0,97.5,2.0,4.0,1338.0,2.0,4.0,975.5
3.0,6.0,255.2,3.0,6.0,178.5,2.0,6.0,339.4,2.0,6.0,57.8,2.0,6.0,4855.0,2.0,5.0,5353.0
4.0,2.0,12.5,4.0,1.0,11.8,4.0,1.0,71.9,3.0,1.0,50.4,3.0,1.0,2067.0,3.0,1.0,3422.0
4.0,3.0,21.6,4.0,3.0,9.3,4.0,2.0,37.2,3.0,2.0,26.4,3.0,2.0,2609.0,3.0,2.0,2152.0
4.0,5.0,198.8,4.0,5.0,97.2,4.0,5.0,472.3,3.0,5.0,287.5,3.0,4.0,2609.0,3.0,4.0,2345.0
4.0,6.0,121.1,4.0,6.0,59.1,4.0,6.0,280.2,3.0,6.0,166.7,3.0,6.0,3422.0,3.0,5.0,4970.0
5.0,2.0,737.7,5.0,1.0,770.3,5.0,1.0,1523.0,5.0,1.0,306.5,4.0,1.0,2087.0,4.0,1.0,1697.0
5.0,3.0,598.2,5.0,3.0,700.5,5.0,2.0,1273.0,5.0,2.0,287.5,4.0,2.0,1535.0,4.0,2.0,888.4
5.0,4.0,638.4,5.0,4.0,556.7,5.0,4.0,1296.0,5.0,3.0,452.8,4.0,3.0,2269.0,4.0,3.0,1558.0
5.0,6.0,1313.0,5.0,6.0,1491.0,5.0,6.0,3211.0,5.0,6.0,374.8,4.0,6.0,2642.0,4.0,5.0,2427.0
6.0,2.0,710.1,6.0,1.0,469.1,6.0,1.0,1153.0,6.0,1.0,164.1,6.0,1.0,4744.0,5.0,1.0,4442.0
6.0,3.0,767.5,6.0,3.0,589.7,6.0,2.0,919.7,6.0,2.0,129.8,6.0,2.0,4538.0,5.0,2.0,4442.0
6.0,4.0,615.8,6.0,4.0,330.3,6.0,4.0,838.4,6.0,3.0,243.6,6.0,3.0,4744.0,5.0,3.0,3939.0
6.0,5.0,1304.0,6.0,5.0,1683.0,6.0,5.0,2982.0,6.0,5.0,410.1,6.0,4.0,3025.0,5.0,4.0,3313.0
