1,森林 太,森林 太.1,2,近藤 友宝,近藤 友宝.1,3,竹田 吉行,竹田 吉行.1,4,大野 芳顕,大野 芳顕.1,5,伊藤 将吉,伊藤 将吉.1,6,村田 友也,村田 友也.1
2.0,3.0,43.2,1.0,3.0,93.2,1.0,2.0,120.1,1.0,2.0,68.4,1.0,2.0,59.2,1.0,2.0,1546.0
2.0,4.0,44.6,1.0,4.0,79.1,1.0,4.0,54.3,1.0,3.0,61.7,1.0,3.0,49.8,1.0,3.0,2631.0
2.0,5.0,46.5,1.0,5.0,85.9,1.0,5.0,59.7,1.0,5.0,29.7,1.0,4.0,29.9,1.0,4.0,1973.0
2.0,6.0,260.8,1.0,6.0,810.6,1.0,6.0,537.5,1.0,6.0,147.7,1.0,6.0,127.9,1.0,5.0,1442.0
3.0,2.0,38.9,3.0,1.0,162.3,2.0,1.0,177.4,2.0,1.0,155.2,2.0,1.0,130.7,2.0,1.0,2541.0
3.0,4.0,26.6,3.0,4.0,89.9,2.0,4.0,89.9,2.0,3.0,174.9,2.0,3.0,120.4,2.0,3.0,2999.0
3.0,5.0,26.5,3.0,5.0,101.6,2.0,5.0,96.8,2.0,5.0,62.9,2.0,4.0,79.0,2.0,4.0,3060.0
3.0,6.0,322.5,3.0,6.0,579.0,2.0,6.0,460.0,2.0,6.0,259.9,2.0,6.0,292.3,2.0,5.0,3657.0
4.0,2.0,47.3,4.0,1.0,144.7,4.0,1.0,75.9,3.0,1.0,94.2,3.0,1.0,81.4,3.0,1.0,3749.0
4.0,3.0,30.8,4.0,3.0,127.7,4.0,2.0,107.3,3.0,2.0,142.0,3.0,2.0,113.7,3.0,2.0,3408.0
4.0,5.0,17.5,4.0,5.0,72.4,4.0,5.0,38.1,3.0,5.0,44.6,3.0,4.0,47.6,3.0,4.0,2272.0
4.0,6.0,151.0,4.0,6.0,635.4,4.0,6.0,337.0,3.0,6.0,278.7,3.0,6.0,239.9,3.0,5.0,2940.0
5.0,2.0,45.3,5.0,1.0,143.5,5.0,1.0,83.6,5.0,1.0,17.4,4.0,1.0,25.0,4.0,1.0,937.3
5.0,3.0,31.9,5.0,3.0,127.9,5.0,2.0,103.2,5.0,2.0,30.6,4.0,2.0,43.6,4.0,2.0,2272.0
5.0,4.0,21.1,5.0,4.0,83.0,5.0,4.0,45.7,5.0,3.0,23.0,4.0,3.0,26.7,4.0,3.0,2380.0
5.0,6.0,179.1,5.0,6.0,450.3,5.0,6.0,303.5,5.0,6.0,36.4,4.0,6.0,44.6,4.0,5.0,437.2
6.0,2.0,638.1,6.0,1.0,1874.0,6.0,1.0,1648.0,6.0,1.0,429.7,6.0,1.0,302.9,5.0,1.0,1922.0
6.0,3.0,815.0,6.0,3.0,1806.0,6.0,2.0,1388.0,6.0,2.0,524.3,6.0,2.0,398.8,5.0,2.0,2726.0
6.0,4.0,446.3,6.0,4.0,1595.0,6.0,4.0,999.8,6.0,3.0,627.4,6.0,3.0,405.3,5.0,3.0,2499.0
6.0,5.0,549.3,6.0,5.0,1401.0,6.0,5.0,824.0,6.0,5.0,166.0,6.0,4.0,169.0,5.0,4.0,430.9
