1,森定 晃史,森定 晃史.1,2,黒野 元基,黒野 元基.1,3,高山 智至,高山 智至.1,4,西橋 奈未,西橋 奈未.1,5,梅木 敬太,梅木 敬太.1,6,中本 大樹,中本 大樹.1
2.0,3.0,6.6,1.0,3.0,34.7,1.0,2.0,202.9,1.0,2.0,32.7,1.0,2.0,129.2,1.0,2.0,576.5
2.0,4.0,3.9,1.0,4.0,17.8,1.0,4.0,217.3,1.0,3.0,100.6,1.0,3.0,221.4,1.0,3.0,1556.0
2.0,5.0,15.7,1.0,5.0,45.5,1.0,5.0,270.9,1.0,5.0,56.7,1.0,4.0,150.5,1.0,4.0,552.6
2.0,6.0,53.2,1.0,6.0,118.6,1.0,6.0,574.6,1.0,6.0,114.8,1.0,6.0,288.0,1.0,5.0,1377.0
3.0,2.0,20.8,3.0,1.0,182.2,2.0,1.0,327.7,2.0,1.0,54.4,2.0,1.0,226.4,2.0,1.0,1045.0
3.0,4.0,23.3,3.0,4.0,241.3,2.0,4.0,440.4,2.0,3.0,213.4,2.0,3.0,595.3,2.0,3.0,2868.0
3.0,5.0,45.1,3.0,5.0,324.9,2.0,5.0,607.8,2.0,5.0,129.0,2.0,4.0,343.2,2.0,4.0,1416.0
3.0,6.0,150.0,3.0,6.0,664.8,2.0,6.0,1048.0,2.0,6.0,227.5,2.0,6.0,620.8,2.0,5.0,2142.0
4.0,2.0,8.4,4.0,1.0,50.6,4.0,1.0,404.9,3.0,1.0,363.0,3.0,1.0,638.0,3.0,1.0,2821.0
4.0,3.0,21.7,4.0,3.0,152.1,4.0,2.0,544.8,3.0,2.0,511.1,3.0,2.0,887.6,3.0,2.0,3243.0
4.0,5.0,25.3,4.0,5.0,160.3,4.0,5.0,593.2,3.0,5.0,624.2,3.0,4.0,1023.0,3.0,4.0,2669.0
4.0,6.0,75.8,4.0,6.0,310.7,4.0,6.0,859.0,3.0,6.0,861.2,3.0,6.0,1399.0,3.0,5.0,3369.0
5.0,2.0,39.6,5.0,1.0,224.4,5.0,1.0,544.0,5.0,1.0,89.8,4.0,1.0,244.2,4.0,1.0,915.7
5.0,3.0,66.2,5.0,3.0,503.7,5.0,2.0,767.8,5.0,2.0,119.4,4.0,2.0,345.3,4.0,2.0,1563.0
5.0,4.0,51.0,5.0,4.0,327.1,5.0,4.0,781.6,5.0,3.0,313.8,4.0,3.0,672.6,4.0,3.0,2669.0
5.0,6.0,166.3,5.0,6.0,565.2,5.0,6.0,1176.0,5.0,6.0,203.3,4.0,6.0,506.6,4.0,5.0,1960.0
6.0,2.0,253.7,6.0,1.0,603.6,6.0,1.0,1295.0,6.0,1.0,305.2,6.0,1.0,687.2,5.0,1.0,2253.0
6.0,3.0,457.2,6.0,3.0,1026.0,6.0,2.0,1761.0,6.0,2.0,526.6,6.0,2.0,816.6,5.0,2.0,2479.0
6.0,4.0,254.6,6.0,4.0,809.0,6.0,4.0,1476.0,6.0,3.0,796.0,6.0,3.0,1262.0,5.0,3.0,2868.0
6.0,5.0,400.7,6.0,5.0,920.6,6.0,5.0,1917.0,6.0,5.0,471.5,6.0,4.0,743.1,5.0,4.0,1798.0
