1,山下 流心,山下 流心.1,2,田中　太一郎,田中　太一郎.1,3,郷原 章平,郷原 章平.1,4,松田 竜馬,松田 竜馬.1,5,上村　慎太郎,上村　慎太郎.1,6,小林 京平,小林 京平.1
2.0,3.0,14.2,1.0,3.0,34.4,1.0,2.0,20.7,1.0,2.0,85.2,1.0,2.0,652.6,1.0,2.0,1547.0
2.0,4.0,22.1,1.0,4.0,46.3,1.0,4.0,11.6,1.0,3.0,48.6,1.0,3.0,377.3,1.0,3.0,1507.0
2.0,5.0,67.1,1.0,5.0,137.2,1.0,5.0,35.6,1.0,5.0,99.3,1.0,4.0,688.0,1.0,4.0,1730.0
2.0,6.0,139.1,1.0,6.0,319.5,1.0,6.0,101.8,1.0,6.0,225.6,1.0,6.0,1276.0,1.0,5.0,1949.0
3.0,2.0,9.4,3.0,1.0,48.1,2.0,1.0,47.7,2.0,1.0,131.1,2.0,1.0,1116.0,2.0,1.0,2457.0
3.0,4.0,6.7,3.0,4.0,61.3,2.0,4.0,45.3,2.0,3.0,116.5,2.0,3.0,1095.0,2.0,3.0,2758.0
3.0,5.0,24.3,3.0,5.0,153.5,2.0,5.0,104.9,2.0,5.0,230.2,2.0,4.0,1454.0,2.0,4.0,3178.0
3.0,6.0,72.6,3.0,6.0,426.2,2.0,6.0,197.9,2.0,6.0,367.8,2.0,6.0,2564.0,2.0,5.0,3440.0
4.0,2.0,22.6,4.0,1.0,92.4,4.0,1.0,18.1,3.0,1.0,49.0,3.0,1.0,429.3,3.0,1.0,1839.0
4.0,3.0,14.6,4.0,3.0,92.2,4.0,2.0,30.3,3.0,2.0,76.7,3.0,2.0,937.2,3.0,2.0,2707.0
4.0,5.0,45.2,4.0,5.0,285.2,4.0,5.0,35.6,3.0,5.0,86.6,3.0,4.0,477.0,3.0,4.0,1484.0
4.0,6.0,112.8,4.0,6.0,551.7,4.0,6.0,98.8,3.0,6.0,212.3,3.0,6.0,1239.0,3.0,5.0,2016.0
5.0,2.0,152.6,5.0,1.0,526.8,5.0,1.0,110.6,5.0,1.0,204.7,4.0,1.0,837.8,4.0,1.0,2478.0
5.0,3.0,101.9,5.0,3.0,343.6,5.0,2.0,170.5,5.0,2.0,370.1,4.0,2.0,1228.0,4.0,2.0,3248.0
5.0,4.0,146.9,5.0,4.0,676.8,5.0,4.0,98.1,5.0,3.0,181.6,4.0,3.0,525.9,4.0,3.0,1989.0
5.0,6.0,377.3,5.0,6.0,1522.0,5.0,6.0,205.4,5.0,6.0,478.5,4.0,6.0,1782.0,4.0,5.0,2658.0
6.0,2.0,454.7,6.0,1.0,1183.0,6.0,1.0,362.7,6.0,1.0,663.0,6.0,1.0,2044.0,5.0,1.0,2895.0
6.0,3.0,377.3,6.0,3.0,1530.0,6.0,2.0,506.7,6.0,2.0,916.6,6.0,2.0,3440.0,5.0,2.0,3440.0
6.0,4.0,454.0,6.0,4.0,1440.0,6.0,4.0,339.2,6.0,3.0,605.3,6.0,3.0,1761.0,5.0,3.0,2682.0
6.0,5.0,681.6,6.0,5.0,2103.0,6.0,5.0,366.4,6.0,5.0,840.2,6.0,4.0,2232.0,5.0,4.0,2658.0
