1,竹田 和哉,竹田 和哉.1,2,中田 元泰,中田 元泰.1,3,濱本 優一,濱本 優一.1,4,間嶋 仁志,間嶋 仁志.1,5,柴田 朋哉,柴田 朋哉.1,6,金子 萌,金子 萌.1
2.0,3.0,5.1,1.0,3.0,22.0,1.0,2.0,129.1,1.0,2.0,187.6,1.0,2.0,100.6,1.0,2.0,567.4
2.0,4.0,6.6,1.0,4.0,21.8,1.0,4.0,220.8,1.0,3.0,363.7,1.0,3.0,249.6,1.0,3.0,1396.0
2.0,5.0,9.6,1.0,5.0,25.5,1.0,5.0,263.3,1.0,5.0,364.9,1.0,4.0,268.6,1.0,4.0,1388.0
2.0,6.0,14.8,1.0,6.0,36.9,1.0,6.0,310.4,1.0,6.0,343.1,1.0,6.0,169.0,1.0,5.0,999.8
3.0,2.0,11.9,3.0,1.0,86.9,2.0,1.0,192.1,2.0,1.0,280.3,2.0,1.0,165.7,2.0,1.0,704.8
3.0,4.0,25.2,3.0,4.0,165.0,2.0,4.0,370.8,2.0,3.0,576.7,2.0,3.0,461.7,2.0,3.0,1508.0
3.0,5.0,30.6,3.0,5.0,230.4,2.0,5.0,464.6,2.0,5.0,633.1,2.0,4.0,488.6,2.0,4.0,1267.0
3.0,6.0,41.6,3.0,6.0,246.8,2.0,6.0,472.8,2.0,6.0,563.1,2.0,6.0,291.7,2.0,5.0,1392.0
4.0,2.0,19.3,4.0,1.0,96.5,4.0,1.0,483.9,3.0,1.0,638.4,3.0,1.0,703.7,3.0,1.0,2063.0
4.0,3.0,39.9,4.0,3.0,194.9,4.0,2.0,578.2,3.0,2.0,671.5,3.0,2.0,897.1,3.0,2.0,1700.0
4.0,5.0,45.2,4.0,5.0,232.1,4.0,5.0,932.1,3.0,5.0,1285.0,3.0,4.0,1587.0,3.0,4.0,2225.0
4.0,6.0,51.2,4.0,6.0,237.6,4.0,6.0,902.4,3.0,6.0,1109.0,3.0,6.0,1282.0,3.0,5.0,3088.0
5.0,2.0,26.9,5.0,1.0,97.0,5.0,1.0,747.8,5.0,1.0,524.1,4.0,1.0,584.2,4.0,1.0,1794.0
5.0,3.0,53.2,5.0,3.0,280.0,5.0,2.0,972.0,5.0,2.0,588.7,4.0,2.0,782.6,4.0,2.0,1570.0
5.0,4.0,65.1,5.0,4.0,298.6,5.0,4.0,1315.0,5.0,3.0,1194.0,4.0,3.0,1343.0,4.0,3.0,2376.0
5.0,6.0,52.6,5.0,6.0,198.1,5.0,6.0,1351.0,5.0,6.0,598.8,4.0,6.0,804.8,4.0,5.0,2718.0
6.0,2.0,72.6,6.0,1.0,209.5,6.0,1.0,1043.0,6.0,1.0,673.4,6.0,1.0,357.9,5.0,1.0,1020.0
6.0,3.0,127.6,6.0,3.0,492.3,6.0,2.0,1002.0,6.0,2.0,699.4,6.0,2.0,442.4,5.0,2.0,1179.0
6.0,4.0,146.4,6.0,4.0,490.2,6.0,4.0,1409.0,6.0,3.0,1375.0,6.0,3.0,918.9,5.0,3.0,2192.0
6.0,5.0,109.5,6.0,5.0,368.7,6.0,5.0,1559.0,6.0,5.0,1073.0,6.0,4.0,813.5,5.0,4.0,1868.0
