1,桑原 将光,桑原 将光.1,2,森作 雄大,森作 雄大.1,3,永嶋 裕一,永嶋 裕一.1,4,表 憲一,表 憲一.1,5,渡邉 和将,渡邉 和将.1,6,大熊 辰弥,大熊 辰弥.1
2.0,3.0,20.6,1.0,3.0,69.0,1.0,2.0,163.0,1.0,2.0,212.3,1.0,2.0,13.4,1.0,2.0,2364.0
2.0,4.0,22.5,1.0,4.0,68.1,1.0,4.0,196.4,1.0,3.0,385.4,1.0,3.0,17.2,1.0,3.0,2755.0
2.0,5.0,9.9,1.0,5.0,34.7,1.0,5.0,61.8,1.0,5.0,122.4,1.0,4.0,28.9,1.0,4.0,3858.0
2.0,6.0,175.4,1.0,6.0,500.0,1.0,6.0,717.3,1.0,6.0,791.6,1.0,6.0,75.9,1.0,5.0,1681.0
3.0,2.0,24.9,3.0,1.0,177.1,2.0,1.0,257.5,2.0,1.0,368.3,2.0,1.0,26.3,2.0,1.0,2599.0
3.0,4.0,35.1,3.0,4.0,307.5,2.0,4.0,433.7,2.0,3.0,898.3,2.0,3.0,49.8,2.0,3.0,3004.0
3.0,5.0,12.5,3.0,5.0,142.9,2.0,5.0,188.3,2.0,5.0,273.3,2.0,4.0,58.2,2.0,4.0,4699.0
3.0,6.0,226.1,3.0,6.0,1281.0,2.0,6.0,1131.0,2.0,6.0,1454.0,2.0,6.0,140.3,2.0,5.0,2476.0
4.0,2.0,43.8,4.0,1.0,223.5,4.0,1.0,552.0,3.0,1.0,954.5,3.0,1.0,40.7,3.0,1.0,5912.0
4.0,3.0,62.2,4.0,3.0,481.0,4.0,2.0,779.8,3.0,2.0,1163.0,3.0,2.0,67.4,3.0,2.0,8727.0
4.0,5.0,29.3,4.0,5.0,174.2,4.0,5.0,368.7,3.0,5.0,562.1,3.0,4.0,111.1,3.0,4.0,8330.0
4.0,6.0,275.8,4.0,6.0,1290.0,4.0,6.0,1658.0,3.0,6.0,2349.0,3.0,6.0,252.6,3.0,5.0,5639.0
5.0,2.0,8.9,5.0,1.0,51.2,5.0,1.0,74.6,5.0,1.0,109.1,4.0,1.0,66.2,4.0,1.0,3778.0
5.0,3.0,11.3,5.0,3.0,97.3,5.0,2.0,140.3,5.0,2.0,162.1,4.0,2.0,92.6,4.0,2.0,5090.0
5.0,4.0,19.4,5.0,4.0,99.4,5.0,4.0,191.6,5.0,3.0,277.0,4.0,3.0,147.5,4.0,3.0,6545.0
5.0,6.0,99.2,5.0,6.0,460.4,5.0,6.0,534.3,5.0,6.0,452.5,4.0,6.0,245.6,4.0,5.0,2563.0
6.0,2.0,547.0,6.0,1.0,1899.0,6.0,1.0,2476.0,6.0,1.0,1593.0,6.0,1.0,199.1,5.0,1.0,1929.0
6.0,3.0,536.6,6.0,3.0,2886.0,6.0,2.0,2656.0,6.0,2.0,2248.0,6.0,2.0,215.9,5.0,2.0,2305.0
6.0,4.0,656.8,6.0,4.0,2013.0,6.0,4.0,3215.0,6.0,3.0,3702.0,6.0,3.0,304.1,5.0,3.0,3132.0
6.0,5.0,425.7,6.0,5.0,1454.0,6.0,5.0,1753.0,6.0,5.0,1090.0,6.0,4.0,351.7,5.0,4.0,2581.0
