1,後藤 浩,後藤 浩.1,2,近藤 友宝,近藤 友宝.1,3,澤崎 雄哉,澤崎 雄哉.1,4,伊藤 紘章,伊藤 紘章.1,5,山口 亮,山口 亮.1,6,服部 幸男,服部 幸男.1
2.0,3.0,20.2,1.0,3.0,87.8,1.0,2.0,100.9,1.0,2.0,351.8,1.0,2.0,778.5,1.0,2.0,39.3
2.0,4.0,58.0,1.0,4.0,193.4,1.0,4.0,68.4,1.0,3.0,202.1,1.0,3.0,499.3,1.0,3.0,22.8
2.0,5.0,52.8,1.0,5.0,221.6,1.0,5.0,70.7,1.0,5.0,218.7,1.0,4.0,898.8,1.0,4.0,47.6
2.0,6.0,16.8,1.0,6.0,76.2,1.0,6.0,28.1,1.0,6.0,163.1,1.0,6.0,445.3,1.0,5.0,46.4
3.0,2.0,19.4,3.0,1.0,168.4,2.0,1.0,176.8,2.0,1.0,706.2,2.0,1.0,1220.0,2.0,1.0,101.9
3.0,4.0,29.2,3.0,4.0,520.3,2.0,4.0,335.1,2.0,3.0,803.8,2.0,3.0,1734.0,2.0,3.0,130.4
3.0,5.0,41.7,3.0,5.0,633.8,2.0,5.0,437.4,2.0,5.0,845.0,2.0,4.0,1475.0,2.0,4.0,191.9
3.0,6.0,8.4,3.0,6.0,212.6,2.0,6.0,180.4,2.0,6.0,558.6,2.0,6.0,1373.0,2.0,5.0,237.1
4.0,2.0,98.3,4.0,1.0,422.5,4.0,1.0,194.2,3.0,1.0,429.8,3.0,1.0,621.8,3.0,1.0,36.2
4.0,3.0,66.1,4.0,3.0,484.6,4.0,2.0,418.9,3.0,2.0,766.4,3.0,2.0,1475.0,3.0,2.0,91.6
4.0,5.0,101.5,4.0,5.0,907.1,4.0,5.0,276.1,3.0,5.0,595.6,3.0,4.0,1392.0,3.0,4.0,89.2
4.0,6.0,54.1,4.0,6.0,408.5,4.0,6.0,153.0,3.0,6.0,397.0,3.0,6.0,617.9,3.0,5.0,84.0
5.0,2.0,132.5,5.0,1.0,564.9,5.0,1.0,285.7,5.0,1.0,293.3,4.0,1.0,978.9,4.0,1.0,75.3
5.0,3.0,85.9,5.0,3.0,874.9,5.0,2.0,477.6,5.0,2.0,646.2,4.0,2.0,1373.0,4.0,2.0,150.7
5.0,4.0,169.0,5.0,4.0,1300.0,5.0,4.0,420.7,5.0,3.0,367.5,4.0,3.0,1336.0,4.0,3.0,113.1
5.0,6.0,82.7,5.0,6.0,823.9,5.0,6.0,261.5,5.0,6.0,294.2,4.0,6.0,803.8,4.0,5.0,110.2
6.0,2.0,14.6,6.0,1.0,132.8,6.0,1.0,38.4,6.0,1.0,245.9,6.0,1.0,464.1,5.0,1.0,123.9
6.0,3.0,8.5,6.0,3.0,180.7,6.0,2.0,117.7,6.0,2.0,499.3,6.0,2.0,1191.0,5.0,2.0,230.4
6.0,4.0,23.0,6.0,4.0,323.1,6.0,4.0,94.2,6.0,3.0,330.6,6.0,3.0,633.8,5.0,3.0,149.8
6.0,5.0,23.4,6.0,5.0,368.9,6.0,5.0,93.1,6.0,5.0,331.7,6.0,4.0,823.9,5.0,4.0,164.7
