1,鈴木 猛,鈴木 猛.1,2,井川 大作,井川 大作.1,3,池田 雄一,池田 雄一.1,4,伊達 正利,伊達 正利.1,5,木山 誠一,木山 誠一.1,6,岡部 大輔,岡部 大輔.1
2.0,3.0,23.4,1.0,3.0,48.1,1.0,2.0,9.4,1.0,2.0,346.9,1.0,2.0,729.2,1.0,2.0,264.1
2.0,4.0,91.6,1.0,4.0,162.3,1.0,4.0,18.1,1.0,3.0,233.3,1.0,3.0,493.0,1.0,3.0,122.1
2.0,5.0,161.5,1.0,5.0,241.6,1.0,5.0,40.6,1.0,5.0,414.2,1.0,4.0,695.9,1.0,4.0,520.4
2.0,6.0,78.6,1.0,6.0,124.2,1.0,6.0,10.8,1.0,6.0,345.9,1.0,6.0,599.9,1.0,5.0,817.3
3.0,2.0,13.0,3.0,1.0,44.9,2.0,1.0,15.6,2.0,1.0,566.4,2.0,1.0,1485.0,2.0,1.0,403.2
3.0,4.0,22.2,3.0,4.0,75.2,2.0,4.0,31.3,2.0,3.0,516.0,2.0,3.0,780.7,2.0,3.0,292.0
3.0,5.0,42.5,3.0,5.0,114.5,2.0,5.0,64.4,2.0,5.0,990.1,2.0,4.0,1602.0,2.0,4.0,751.7
3.0,6.0,15.4,3.0,6.0,56.0,2.0,6.0,17.7,2.0,6.0,724.9,2.0,6.0,1006.0,2.0,5.0,1040.0
4.0,2.0,131.9,4.0,1.0,304.4,4.0,1.0,32.5,3.0,1.0,212.9,3.0,1.0,431.8,3.0,1.0,111.7
4.0,3.0,68.0,4.0,3.0,219.8,4.0,2.0,42.7,3.0,2.0,302.2,3.0,2.0,579.9,3.0,2.0,186.7
4.0,5.0,295.6,4.0,5.0,647.8,4.0,5.0,58.0,3.0,5.0,370.1,3.0,4.0,796.0,3.0,4.0,273.0
4.0,6.0,146.0,4.0,6.0,340.1,4.0,6.0,28.4,3.0,6.0,199.3,3.0,6.0,529.5,3.0,5.0,499.1
5.0,2.0,434.9,5.0,1.0,695.9,5.0,1.0,92.4,5.0,1.0,658.3,4.0,1.0,1040.0,4.0,1.0,922.6
5.0,3.0,179.1,5.0,3.0,382.9,5.0,2.0,102.0,5.0,2.0,1449.0,4.0,2.0,2214.0,4.0,2.0,1107.0
5.0,4.0,507.4,5.0,4.0,882.5,5.0,4.0,98.9,5.0,3.0,817.3,4.0,3.0,1399.0,4.0,3.0,487.1
5.0,6.0,380.5,5.0,6.0,647.8,5.0,6.0,66.5,5.0,6.0,895.5,4.0,6.0,1368.0,4.0,5.0,1581.0
6.0,2.0,118.1,6.0,1.0,253.2,6.0,1.0,22.4,6.0,1.0,548.6,6.0,1.0,1623.0,5.0,1.0,1691.0
6.0,3.0,56.1,6.0,3.0,167.7,6.0,2.0,28.5,6.0,2.0,857.6,6.0,2.0,1323.0,5.0,2.0,1602.0
6.0,4.0,181.2,6.0,4.0,457.8,6.0,4.0,38.8,6.0,3.0,483.2,6.0,3.0,895.5,5.0,3.0,747.1
6.0,5.0,369.0,6.0,5.0,712.2,6.0,5.0,66.5,6.0,5.0,998.2,6.0,4.0,1645.0,5.0,4.0,1996.0
